MANDT,VBELN,POSNR,GBSTA,LFSTA
100,0000000071,000020,C,C
100,0000000072,000010,C,C
100,0000000072,000020,C,C
100,0000000072,000030,C,C
100,0000000073,000010,C,C
100,0000000073,000020,C,C
100,0000000073,000030,C,C
100,0000000074,000010,C,C
100,0000000074,000020,C,C
100,0000000075,000010,C,C
100,0000000075,000020,C,C
100,0000000076,000010,C,C
100,0000000076,000020,C,C
100,0000000076,000030,C,C
100,0000000077,000010,C,C
100,0000000077,000020,C,C
100,0000000077,000030,C,C
100,0000000078,000010,C,C
100,0000000078,000020,C,C
100,0000000078,000030,C,C
100,0000000078,000040,C,C
100,0000000079,000010,C,C
100,0000000079,000020,C,C
100,0000000079,000030,C,C
100,0000000079,000040,C,C
100,0000000080,000010,C,C
100,0000000080,000020,C,C
100,0000000081,000010,C,C
100,0000000081,000020,C,C
100,0000000081,000030,C,C
100,0000000082,000010,C,C
100,0000000082,000020,C,C
100,0000000082,000030,C,C
100,0000000082,000040,C,C
100,0000000083,000010,C,C
100,0000000083,000020,C,C
100,0000000083,000030,C,C
100,0000000084,000010,C,C
100,0000000084,000020,C,C
100,0000000084,000030,C,C
100,0000000085,000010,C,C
100,0000000085,000020,C,C
100,0000000085,000030,C,C
100,0000000086,000010,C,C
100,0000000086,000020,C,C
100,0000000086,000030,C,C
100,0000000087,000010,C,C
100,0000000087,000020,C,C
100,0000000087,000030,C,C
100,0000000087,000040,C,C
100,0000000088,000010,C,C
100,0000000088,000020,C,C
100,0000000089,000010,C,C
100,0000000089,000020,C,C
100,0000000089,000030,C,C
100,0000000090,000010,C,C
100,0000000090,000020,C,C
100,0000000090,000030,C,C
100,0000000091,000010,C,C
100,0000000091,000020,C,C
100,0000000091,000030,C,C
100,0000000091,000040,C,C
100,0000000092,000010,C,C
100,0000000092,000020,C,C
100,0000000092,000030,C,C
100,0000000093,000010,C,C
100,0000000093,000020,C,C
100,0000000094,000010,C,C
100,0000000094,000020,C,C
100,0000000094,000030,C,C
100,0000000094,000040,C,C
100,0000000095,000010,C,C
100,0000000095,000020,C,C
100,0000000095,000030,C,C
100,0000000096,000010,C,C
100,0000000096,000020,C,C
100,0000000096,000030,C,C
100,0000000096,000040,C,C
100,0000000097,000010,C,C
100,0000000097,000020,C,C
100,0000000098,000010,C,C
100,0000000098,000020,C,C
100,0000000098,000030,C,C
100,0000000099,000010,C,C
100,0000000099,000020,C,C
100,0000000099,000030,C,C
100,0000000100,000010,C,C
100,0000000100,000020,C,C
100,0000000100,000030,C,C
100,0000000101,000010,C,C
100,0000000101,000020,C,C
100,0000000102,000010,C,C
100,0000000102,000020,C,C
100,0000000103,000010,C,C
100,0000000103,000020,C,C
100,0000000104,000010,C,C
100,0000000104,000020,C,C
100,0000000105,000010,C,C
100,0000000105,000020,C,C
100,0000000105,000030,C,C
100,0000000105,000040,C,C
100,0000000106,000010,C,C
100,0000000106,000020,C,C
100,0000000106,000030,C,C
100,0000000107,000010,C,C
100,0000000107,000020,C,C
100,0000000107,000030,C,C
100,0000000107,000040,C,C
100,0000000108,000010,C,C
100,0000000108,000020,C,C
100,0000000109,000010,C,C
100,0000000109,000020,C,C
100,0000000110,000010,C,C
100,0000000110,000020,C,C
100,0000000110,000030,C,C
100,0000000111,000010,C,C
100,0000000111,000020,C,C
100,0000000112,000010,C,C
100,0000000112,000020,C,C
100,0000000112,000030,C,C
100,0000000112,000040,C,C
100,0000000113,000010,C,C
100,0000000113,000020,C,C
100,0000000114,000010,C,C
100,0000000114,000020,C,C
100,0000000114,000030,C,C
100,0000000115,000010,C,C
100,0000000115,000020,C,C
100,0000000116,000010,C,C
100,0000000116,000020,C,C
100,0000000117,000010,C,C
100,0000000117,000020,C,C
100,0000000117,000030,C,C
100,0000000117,000040,C,C
100,0000000118,000010,C,C
100,0000000118,000020,C,C
100,0000000118,000030,C,C
100,0000000118,000040,C,C
100,0000000119,000010,C,C
100,0000000119,000020,C,C
100,0000000120,000010,C,C
100,0000000120,000020,C,C
100,0000000120,000030,C,C
100,0000000121,000010,C,C
100,0000000121,000020,C,C
100,0000000121,000030,C,C
100,0000000122,000010,C,C
100,0000000122,000020,C,C
100,0000000122,000030,C,C
100,0000000122,000040,C,C
100,0000000123,000010,C,C
100,0000000123,000020,C,C
100,0000000123,000030,C,C
100,0000000123,000040,C,C
100,0000000124,000010,C,C
100,0000000124,000020,C,C
100,0000000125,000010,C,C
100,0000000125,000020,C,C
100,0000000125,000030,C,C
100,0000000126,000010,C,C
100,0000000126,000020,C,C
100,0000000126,000030,C,C
100,0000000126,000040,C,C
100,0000000127,000010,C,C
100,0000000127,000020,C,C
100,0000000127,000030,C,C
100,0000000127,000040,C,C
100,0000000128,000010,C,C
100,0000000128,000020,C,C
100,0000000129,000010,C,C
100,0000000129,000020,C,C
100,0000000130,000010,C,C
100,0000000130,000020,C,C
100,0000000130,000030,C,C
100,0000000130,000040,C,C
100,0000000131,000010,C,C
100,0000000131,000020,C,C
100,0000000131,000030,C,C
100,0000000131,000040,C,C
100,0000000132,000010,C,C
100,0000000132,000020,C,C
100,0000000132,000030,C,C
100,0000000132,000040,C,C
100,0000000133,000010,C,C
100,0000000133,000020,C,C
100,0000000134,000010,C,C
100,0000000134,000020,C,C
100,0000000135,000010,C,C
100,0000000135,000020,C,C
100,0000000135,000030,C,C
100,0000000136,000010,C,C
100,0000000136,000020,C,C
100,0000000136,000030,C,C
100,0000000137,000010,C,C
100,0000000137,000020,C,C
100,0000000137,000030,C,C
100,0000000137,000040,C,C
100,0000000138,000010,C,C
100,0000000138,000020,C,C
100,0000000138,000030,C,C
100,0000000138,000040,C,C
100,0000000139,000010,C,C
100,0000000139,000020,C,C
100,0000000139,000030,C,C
100,0000000139,000040,C,C
100,0000000140,000010,C,C
100,0000000140,000020,C,C
100,0000000140,000030,C,C
100,0000000140,000040,C,C
100,0000000141,000010,C,C
100,0000000141,000020,C,C
100,0000000141,000030,C,C
100,0000000142,000010,C,C
100,0000000142,000020,C,C
100,0000000143,000010,C,C
100,0000000143,000020,C,C
100,0000000143,000030,C,C
100,0000000144,000010,C,C
100,0000000144,000020,C,C
100,0000000144,000030,C,C
100,0000000145,000010,C,C
100,0000000145,000020,C,C
100,0000000145,000030,C,C
100,0000000145,000040,C,C
100,0000000146,000010,C,C
100,0000000146,000020,C,C
100,0000000146,000030,C,C
100,0000000147,000010,C,C
100,0000000147,000020,C,C
100,0000000147,000030,C,C
100,0000000148,000010,C,C
100,0000000148,000020,C,C
100,0000000149,000010,C,C
100,0000000149,000020,C,C
100,0000000149,000030,C,C
100,0000000149,000040,C,C
100,0000000150,000010,C,C
100,0000000150,000020,C,C
100,0000000150,000030,C,C
100,0000000150,000040,C,C
100,0000000151,000010,C,C
100,0000000151,000020,C,C
100,0000000151,000030,C,C
100,0000000152,000010,C,C
100,0000000152,000020,C,C
100,0000000152,000030,C,C
100,0000000152,000040,C,C
100,0000000153,000010,C,C
100,0000000153,000020,C,C
100,0000000153,000030,C,C
100,0000000154,000010,C,C
100,0000000154,000020,C,C
100,0000000155,000010,C,C
100,0000000155,000020,C,C
100,0000000156,000010,C,C
100,0000000156,000020,C,C
100,0000000157,000010,C,C
100,0000000157,000020,C,C
100,0000000157,000030,C,C
100,0000000158,000010,C,C
100,0000000158,000020,C,C
100,0000000158,000030,C,C
100,0000000158,000040,C,C
100,0000000159,000010,C,C
100,0000000159,000020,C,C
100,0000000159,000030,C,C
100,0000000159,000040,C,C
100,0000000160,000010,C,C
100,0000000160,000020,C,C
100,0000000160,000030,C,C
100,0000000160,000040,C,C
100,0000000161,000010,C,C
100,0000000161,000020,C,C
100,0000000162,000010,C,C
100,0000000162,000020,C,C
100,0000000162,000030,C,C
100,0000000162,000040,C,C
100,0000000163,000010,C,C
100,0000000163,000020,C,C
100,0000000163,000030,C,C
100,0000000164,000010,C,C
100,0000000164,000020,C,C
100,0000000165,000010,C,C
100,0000000165,000020,C,C
100,0000000165,000030,C,C
100,0000000165,000040,C,C
100,0000000166,000010,C,C
100,0000000166,000020,C,C
100,0000000166,000030,C,C
100,0000000167,000010,C,C
100,0000000167,000020,C,C
100,0000000167,000030,C,C
100,0000000168,000010,C,C
100,0000000168,000020,C,C
100,0000000168,000030,C,C
100,0000000168,000040,C,C
100,0000000169,000010,C,C
100,0000000169,000020,C,C
100,0000000170,000010,C,C
100,0000000170,000020,C,C
100,0000000170,000030,C,C
100,0000000170,000040,C,C
100,0000000171,000010,C,C
100,0000000171,000020,C,C
100,0000000171,000030,C,C
100,0000000171,000040,C,C
100,0000000172,000010,C,C
100,0000000172,000020,C,C
100,0000000172,000030,C,C
100,0000000173,000010,C,C
100,0000000173,000020,C,C
100,0000000173,000030,C,C
100,0000000173,000040,C,C
100,0000000174,000010,C,C
100,0000000174,000020,C,C
100,0000000175,000010,C,C
100,0000000175,000020,C,C
100,0000000176,000010,C,C
100,0000000176,000020,C,C
100,0000000176,000030,C,C
100,0000000177,000010,C,C
100,0000000177,000020,C,C
100,0000000177,000030,C,C
100,0000000177,000040,C,C
100,0000000178,000010,C,C
100,0000000178,000020,C,C
100,0000000178,000030,C,C
100,0000000179,000010,C,C
100,0000000179,000020,C,C
100,0000000179,000030,C,C
100,0000000180,000010,C,C
100,0000000180,000020,C,C
100,0000000181,000010,C,C
100,0000000181,000020,C,C
100,0000000181,000030,C,C
100,0000000182,000010,C,C
100,0000000182,000020,C,C
100,0000000182,000030,C,C
100,0000000183,000010,C,C
100,0000000183,000020,C,C
100,0000000184,000010,C,C
100,0000000184,000020,C,C
100,0000000184,000030,C,C
100,0000000185,000010,C,C
100,0000000185,000020,C,C
100,0000000186,000010,C,C
100,0000000186,000020,C,C
100,0000000186,000030,C,C
100,0000000187,000010,C,C
100,0000000187,000020,C,C
100,0000000187,000030,C,C
100,0000000187,000040,C,C
100,0000000188,000010,C,C
100,0000000188,000020,C,C
100,0000000189,000010,C,C
100,0000000189,000020,C,C
100,0000000189,000030,C,C
100,0000000190,000010,C,C
100,0000000190,000020,C,C
100,0000000190,000030,C,C
100,0000000190,000040,C,C
100,0000000191,000010,C,C
100,0000000191,000020,C,C
100,0000000191,000030,C,C
100,0000000192,000010,C,C
100,0000000192,000020,C,C
100,0000000193,000010,C,C
100,0000000193,000020,C,C
100,0000000194,000010,C,C
100,0000000194,000020,C,C
100,0000000194,000030,C,C
100,0000000194,000040,C,C
100,0000000195,000010,C,C
100,0000000195,000020,C,C
100,0000000196,000010,C,C
100,0000000196,000020,C,C
100,0000000196,000030,C,C
100,0000000196,000040,C,C
100,0000000197,000010,C,C
100,0000000197,000020,C,C
100,0000000197,000030,C,C
100,0000000197,000040,C,C
100,0000000198,000010,C,C
100,0000000198,000020,C,C
100,0000000199,000010,C,C
100,0000000199,000020,C,C
100,0000000199,000030,C,C
100,0000000200,000010,C,C
100,0000000200,000020,C,C
100,0000000200,000030,C,C
100,0000000200,000040,C,C
100,0000000201,000010,C,C
100,0000000201,000020,C,C
100,0000000201,000030,C,C
100,0000000202,000010,C,C
100,0000000202,000020,C,C
100,0000000203,000010,C,C
100,0000000203,000020,C,C
100,0000000204,000010,C,C
100,0000000204,000020,C,C
100,0000000205,000010,C,C
100,0000000205,000020,C,C
100,0000000205,000030,C,C
100,0000000206,000010,C,C
100,0000000206,000020,C,C
100,0000000206,000030,C,C
100,0000000206,000040,C,C
100,0000000207,000010,C,C
100,0000000207,000020,C,C
100,0000000208,000010,C,C
100,0000000208,000020,C,C
100,0000000209,000010,C,C
100,0000000209,000020,C,C
100,0000000209,000030,C,C
100,0000000210,000010,C,C
100,0000000210,000020,C,C
100,0000000211,000010,C,C
100,0000000211,000020,C,C
100,0000000211,000030,C,C
100,0000000212,000010,C,C
100,0000000212,000020,C,C
100,0000000212,000030,C,C
100,0000000212,000040,C,C
100,0000000213,000010,C,C
100,0000000213,000020,C,C
100,0000000214,000010,C,C
100,0000000214,000020,C,C
100,0000000214,000030,C,C
100,0000000215,000010,C,C
100,0000000215,000020,C,C
100,0000000215,000030,C,C
100,0000000215,000040,C,C
100,0000000216,000010,C,C
100,0000000216,000020,C,C
100,0000000217,000010,C,C
100,0000000217,000020,C,C
100,0000000217,000030,C,C
100,0000000218,000010,C,C
100,0000000218,000020,C,C
100,0000000219,000010,C,C
100,0000000219,000020,C,C
100,0000000219,000030,C,C
100,0000000220,000010,C,C
100,0000000220,000020,C,C
100,0000000221,000010,C,C
100,0000000221,000020,C,C
100,0000000222,000010,C,C
100,0000000222,000020,C,C
100,0000000222,000030,C,C
100,0000000222,000040,C,C
100,0000000223,000010,C,C
100,0000000223,000020,C,C
100,0000000223,000030,C,C
100,0000000224,000010,C,C
100,0000000224,000020,C,C
100,0000000225,000010,C,C
100,0000000225,000020,C,C
100,0000000226,000010,C,C
100,0000000226,000020,C,C
100,0000000227,000010,C,C
100,0000000227,000020,C,C
100,0000000227,000030,C,C
100,0000000228,000010,C,C
100,0000000228,000020,C,C
100,0000000228,000030,C,C
100,0000000228,000040,C,C
100,0000000229,000010,C,C
100,0000000229,000020,C,C
100,0000000229,000030,C,C
100,0000000229,000040,C,C
100,0000000230,000010,C,C
100,0000000230,000020,C,C
100,0000000230,000030,C,C
100,0000000231,000010,C,C
100,0000000231,000020,C,C
100,0000000232,000010,C,C
100,0000000232,000020,C,C
100,0000000232,000030,C,C
100,0000000232,000040,C,C
100,0000000233,000010,C,C
100,0000000233,000020,C,C
100,0000000233,000030,C,C
100,0000000234,000010,C,C
100,0000000234,000020,C,C
100,0000000235,000010,C,C
100,0000000235,000020,C,C
100,0000000235,000030,C,C
100,0000000236,000010,C,C
100,0000000236,000020,C,C
100,0000000236,000030,C,C
100,0000000236,000040,C,C
100,0000000237,000010,C,C
100,0000000237,000020,C,C
100,0000000238,000010,C,C
100,0000000238,000020,C,C
100,0000000238,000030,C,C
100,0000000238,000040,C,C
100,0000000239,000010,C,C
100,0000000239,000020,C,C
100,0000000239,000030,C,C
100,0000000240,000010,C,C
100,0000000240,000020,C,C
100,0000000240,000030,C,C
100,0000000241,000010,C,C
100,0000000241,000020,C,C
100,0000000242,000010,C,C
100,0000000242,000020,C,C
100,0000000242,000030,C,C
100,0000000243,000010,C,C
100,0000000243,000020,C,C
100,0000000244,000010,C,C
100,0000000244,000020,C,C
100,0000000245,000010,C,C
100,0000000245,000020,C,C
100,0000000246,000010,C,C
100,0000000246,000020,C,C
100,0000000246,000030,C,C
100,0000000246,000040,C,C
100,0000000247,000010,C,C
100,0000000247,000020,C,C
100,0000000247,000030,C,C
100,0000000247,000040,C,C
100,0000000248,000010,C,C
100,0000000248,000020,C,C
100,0000000248,000030,C,C
100,0000000249,000010,C,C
100,0000000249,000020,C,C
100,0000000249,000030,C,C
100,0000000250,000010,C,C
100,0000000250,000020,C,C
100,0000000251,000010,C,C
100,0000000251,000020,C,C
100,0000000251,000030,C,C
100,0000000252,000010,C,C
100,0000000252,000020,C,C
100,0000000252,000030,C,C
100,0000000252,000040,C,C
100,0000000253,000010,C,C
100,0000000253,000020,C,C
100,0000000253,000030,C,C
100,0000000253,000040,C,C
100,0000000254,000010,C,C
100,0000000254,000020,C,C
100,0000000255,000010,C,C
100,0000000255,000020,C,C
100,0000000255,000030,C,C
100,0000000256,000010,C,C
100,0000000256,000020,C,C
100,0000000256,000030,C,C
100,0000000256,000040,C,C
100,0000000257,000010,C,C
100,0000000257,000020,C,C
100,0000000258,000010,C,C
100,0000000258,000020,C,C
100,0000000258,000030,C,C
100,0000000258,000040,C,C
100,0000000259,000010,C,C
100,0000000259,000020,C,C
100,0000000259,000030,C,C
100,0000000259,000040,C,C
100,0000000260,000010,C,C
100,0000000260,000020,C,C
100,0000000261,000010,C,C
100,0000000261,000020,C,C
100,0000000262,000010,C,C
100,0000000262,000020,C,C
100,0000000263,000010,C,C
100,0000000263,000020,C,C
100,0000000263,000030,C,C
100,0000000263,000040,C,C
100,0000000264,000010,C,C
100,0000000264,000020,C,C
100,0000000264,000030,C,C
100,0000000264,000040,C,C
100,0000000265,000010,C,C
100,0000000265,000020,C,C
100,0000000265,000030,C,C
100,0000000266,000010,C,C
100,0000000266,000020,C,C
100,0000000266,000030,C,C
100,0000000267,000010,C,C
100,0000000267,000020,C,C
100,0000000268,000010,C,C
100,0000000268,000020,C,C
100,0000000268,000030,C,C
100,0000000268,000040,C,C
100,0000000269,000010,C,C
100,0000000269,000020,C,C
100,0000000269,000030,C,C
100,0000000270,000010,C,C
100,0000000270,000020,C,C
100,0000000270,000030,C,C
100,0000000271,000010,C,C
100,0000000271,000020,C,C
100,0000000271,000030,C,C
100,0000000272,000010,C,C
100,0000000272,000020,C,C
100,0000000272,000030,C,C
100,0000000273,000010,C,C
100,0000000273,000020,C,C
100,0000000273,000030,C,C
100,0000000273,000040,C,C
100,0000000274,000010,C,C
100,0000000274,000020,C,C
100,0000000274,000030,C,C
100,0000000274,000040,C,C
100,0000000275,000010,C,C
100,0000000275,000020,C,C
100,0000000275,000030,C,C
100,0000000275,000040,C,C
100,0000000276,000010,C,C
100,0000000276,000020,C,C
100,0000000276,000030,C,C
100,0000000277,000010,C,C
100,0000000277,000020,C,C
100,0000000278,000010,C,C
100,0000000278,000020,C,C
100,0000000279,000010,C,C
100,0000000279,000020,C,C
100,0000000279,000030,C,C
100,0000000279,000040,C,C
100,0000000280,000010,C,C
100,0000000280,000020,C,C
100,0000000280,000030,C,C
100,0000000280,000040,C,C
100,0000000281,000010,C,C
100,0000000281,000020,C,C
100,0000000281,000030,C,C
100,0000000282,000010,C,C
100,0000000282,000020,C,C
100,0000000283,000010,C,C
100,0000000283,000020,C,C
100,0000000283,000030,C,C
100,0000000284,000010,C,C
100,0000000284,000020,C,C
100,0000000285,000010,C,C
100,0000000285,000020,C,C
100,0000000285,000030,C,C
100,0000000286,000010,C,C
100,0000000286,000020,C,C
100,0000000286,000030,C,C
100,0000000287,000010,C,C
100,0000000287,000020,C,C
100,0000000288,000010,C,C
100,0000000288,000020,C,C
100,0000000288,000030,C,C
100,0000000289,000010,C,C
100,0000000289,000020,C,C
100,0000000289,000030,C,C
100,0000000290,000010,C,C
100,0000000290,000020,C,C
100,0000000290,000030,C,C
100,0000000291,000010,C,C
100,0000000291,000020,C,C
100,0000000291,000030,C,C
100,0000000291,000040,C,C
100,0000000292,000010,C,C
100,0000000292,000020,C,C
100,0000000293,000010,C,C
100,0000000293,000020,C,C
100,0000000293,000030,C,C
100,0000000293,000040,C,C
100,0000000294,000010,C,C
100,0000000294,000020,C,C
100,0000000295,000010,C,C
100,0000000295,000020,C,C
100,0000000295,000030,C,C
100,0000000295,000040,C,C
100,0000000296,000010,C,C
100,0000000296,000020,C,C
100,0000000297,000010,C,C
100,0000000297,000020,C,C
100,0000000298,000010,C,C
100,0000000298,000020,C,C
100,0000000298,000030,C,C
100,0000000298,000040,C,C
100,0000000299,000010,C,C
100,0000000299,000020,C,C
100,0000000299,000030,C,C
100,0000000299,000040,C,C
100,0000000300,000010,C,C
100,0000000300,000020,C,C
100,0000000300,000030,C,C
100,0000000301,000010,C,C
100,0000000301,000020,C,C
100,0000000301,000030,C,C
100,0000000302,000010,C,C
100,0000000302,000020,C,C
100,0000000302,000030,C,C
100,0000000302,000040,C,C
100,0000000303,000010,C,C
100,0000000303,000020,C,C
100,0000000303,000030,C,C
100,0000000304,000010,C,C
100,0000000304,000020,C,C
100,0000000305,000010,C,C
100,0000000305,000020,C,C
100,0000000306,000010,C,C
100,0000000306,000020,C,C
100,0000000306,000030,C,C
100,0000000307,000010,C,C
100,0000000307,000020,C,C
100,0000000308,000010,C,C
100,0000000308,000020,C,C
100,0000000309,000010,C,C
100,0000000309,000020,C,C
100,0000000309,000030,C,C
100,0000000309,000040,C,C
100,0000000310,000010,C,C
100,0000000310,000020,C,C
100,0000000310,000030,C,C
100,0000000310,000040,C,C
100,0000000311,000010,C,C
100,0000000311,000020,C,C
100,0000000311,000030,C,C
100,0000000312,000010,C,C
100,0000000312,000020,C,C
100,0000000313,000010,C,C
100,0000000313,000020,C,C
100,0000000313,000030,C,C
100,0000000313,000040,C,C
100,0000000314,000010,C,C
100,0000000314,000020,C,C
100,0000000314,000030,C,C
100,0000000315,000010,C,C
100,0000000315,000020,C,C
100,0000000315,000030,C,C
100,0000000316,000010,C,C
100,0000000316,000020,C,C
100,0000000316,000030,C,C
100,0000000316,000040,C,C
100,0000000317,000010,C,C
100,0000000317,000020,C,C
100,0000000317,000030,C,C
100,0000000318,000010,C,C
100,0000000318,000020,C,C
100,0000000319,000010,C,C
100,0000000319,000020,C,C
100,0000000320,000010,C,C
100,0000000320,000020,C,C
100,0000000320,000030,C,C
100,0000000320,000040,C,C
100,0000000321,000010,C,C
100,0000000321,000020,C,C
100,0000000321,000030,C,C
100,0000000322,000010,C,C
100,0000000322,000020,C,C
100,0000000322,000030,C,C
100,0000000323,000010,C,C
100,0000000323,000020,C,C
100,0000000323,000030,C,C
100,0000000323,000040,C,C
100,0000000324,000010,C,C
100,0000000324,000020,C,C
100,0000000325,000010,C,C
100,0000000325,000020,C,C
100,0000000325,000030,C,C
100,0000000325,000040,C,C
100,0000000326,000010,C,C
100,0000000326,000020,C,C
100,0000000326,000030,C,C
100,0000000326,000040,C,C
100,0000000327,000010,C,C
100,0000000327,000020,C,C
100,0000000327,000030,C,C
100,0000000327,000040,C,C
100,0000000328,000010,C,C
100,0000000328,000020,C,C
100,0000000328,000030,C,C
100,0000000329,000010,C,C
100,0000000329,000020,C,C
100,0000000330,000010,C,C
100,0000000330,000020,C,C
100,0000000330,000030,C,C
100,0000000330,000040,C,C
100,0000000331,000010,C,C
100,0000000331,000020,C,C
100,0000000331,000030,C,C
100,0000000331,000040,C,C
100,0000000332,000010,C,C
100,0000000332,000020,C,C
100,0000000332,000030,C,C
100,0000000333,000010,C,C
100,0000000333,000020,C,C
