MANDT,EBELN,EBELP,ETENR,EINDT,MENGE
100,4500000058,00020,0001,20220829,47410
100,4500000058,00030,0001,20220831,48628
100,4500000059,00010,0001,20240719,31011
100,4500000060,00010,0001,20230202,13261
100,4500000060,00020,0001,20230212,37019
100,4500000061,00010,0001,20240210,3395
100,4500000061,00020,0001,20240302,39721
100,4500000062,00010,0001,20220927,11780
100,4500000062,00020,0001,20220928,25414
100,4500000062,00030,0001,20220927,40779
100,4500000062,00040,0001,20221009,8807
100,4500000063,00010,0001,20250711,31297
100,4500000063,00020,0001,20250702,22602
100,4500000064,00010,0001,20250204,41865
100,4500000065,00010,0001,20240501,41352
100,4500000066,00010,0001,20230513,28717
100,4500000066,00020,0001,20230522,46090
100,4500000067,00010,0001,20230219,46082
100,4500000067,00020,0001,20230309,7511
100,4500000067,00030,0001,20230216,33093
100,4500000068,00010,0001,20220619,41933
100,4500000068,00020,0001,20220616,13735
100,4500000068,00030,0001,20220617,8162
100,4500000069,00010,0001,20260106,46138
100,4500000069,00020,0001,20251229,43909
100,4500000070,00010,0001,20251120,35427
100,4500000070,00020,0001,20251117,15085
100,4500000071,00010,0001,20250124,36229
100,4500000072,00010,0001,20251027,41753
100,4500000072,00020,0001,20251022,32421
100,4500000073,00010,0001,20240405,8443
100,4500000073,00020,0001,20240407,5722
100,4500000073,00030,0001,20240412,48029
100,4500000073,00040,0001,20240403,26151
100,4500000074,00010,0001,20231212,24697
100,4500000075,00010,0001,20220815,19755
100,4500000075,00020,0001,20220820,26243
100,4500000076,00010,0001,20231113,39678
100,4500000076,00020,0001,20231118,16074
100,4500000077,00010,0001,20240809,1079
100,4500000077,00020,0001,20240809,20181
100,4500000077,00030,0001,20240821,3928
100,4500000078,00010,0001,20250411,11104
100,4500000079,00010,0001,20250413,11274
100,4500000080,00010,0001,20220210,20887
100,4500000080,00020,0001,20220206,49539
100,4500000080,00030,0001,20220128,6603
100,4500000081,00010,0001,20231127,37518
100,4500000082,00010,0001,20230519,8353
100,4500000082,00020,0001,20230526,42912
100,4500000082,00030,0001,20230514,29298
100,4500000083,00010,0001,20220411,1421
100,4500000084,00010,0001,20240506,26601
100,4500000084,00020,0001,20240502,36363
100,4500000085,00010,0001,20231005,9710
100,4500000085,00020,0001,20231004,29160
100,4500000085,00030,0001,20230921,9969
100,4500000085,00040,0001,20230920,26265
100,4500000086,00010,0001,20240102,46367
100,4500000086,00020,0001,20240104,44524
100,4500000086,00030,0001,20231228,12032
100,4500000087,00010,0001,20240105,29628
100,4500000087,00020,0001,20240110,11318
100,4500000087,00030,0001,20240116,28312
100,4500000087,00040,0001,20240117,19664
100,4500000088,00010,0001,20251117,32692
100,4500000088,00020,0001,20251126,11842
100,4500000088,00030,0001,20251123,48845
100,4500000089,00010,0001,20230106,29240
100,4500000089,00020,0001,20230123,8088
100,4500000090,00010,0001,20251122,45835
100,4500000090,00020,0001,20251119,38171
100,4500000090,00030,0001,20251115,39299
100,4500000091,00010,0001,20251211,44059
100,4500000091,00020,0001,20260101,14114
100,4500000092,00010,0001,20240212,43647
100,4500000093,00010,0001,20230313,48804
100,4500000093,00020,0001,20230324,10352
100,4500000094,00010,0001,20250208,6634
100,4500000094,00020,0001,20250206,43864
100,4500000094,00030,0001,20250210,6427
100,4500000095,00010,0001,20240830,31599
100,4500000095,00020,0001,20240811,27370
100,4500000095,00030,0001,20240824,29764
100,4500000096,00010,0001,20230715,6868
100,4500000096,00020,0001,20230709,33829
100,4500000097,00010,0001,20250729,12516
100,4500000097,00020,0001,20250717,28907
100,4500000097,00030,0001,20250728,32407
100,4500000098,00010,0001,20231125,8827
100,4500000098,00020,0001,20231214,20388
100,4500000099,00010,0001,20230925,46061
100,4500000099,00020,0001,20230903,7741
100,4500000099,00030,0001,20230910,24104
100,4500000100,00010,0001,20221209,7567
100,4500000100,00020,0001,20221212,3418
100,4500000101,00010,0001,20250218,47659
100,4500000102,00010,0001,20221008,9612
100,4500000102,00020,0001,20221002,43323
100,4500000102,00030,0001,20221008,45596
100,4500000103,00010,0001,20230121,32124
100,4500000104,00010,0001,20251124,34450
100,4500000104,00020,0001,20251122,43488
100,4500000104,00030,0001,20251109,26114
100,4500000105,00010,0001,20240209,25954
100,4500000105,00020,0001,20240206,8480
100,4500000106,00010,0001,20230629,41986
100,4500000106,00020,0001,20230622,12794
100,4500000107,00010,0001,20241215,25465
100,4500000107,00020,0001,20241221,29917
100,4500000108,00010,0001,20231009,29148
100,4500000108,00020,0001,20230927,16875
100,4500000108,00030,0001,20231002,18885
100,4500000108,00040,0001,20231019,21743
100,4500000109,00010,0001,20230417,19863
100,4500000110,00010,0001,20241002,47092
100,4500000110,00020,0001,20240926,1180
100,4500000110,00030,0001,20241010,19492
100,4500000111,00010,0001,20250403,11438
100,4500000111,00020,0001,20250421,45813
100,4500000111,00030,0001,20250412,35683
100,4500000112,00010,0001,20240218,32535
100,4500000113,00010,0001,20250217,11323
100,4500000114,00010,0001,20240724,14116
100,4500000114,00020,0001,20240720,35643
100,4500000114,00030,0001,20240718,37186
100,4500000115,00010,0001,20231009,48361
100,4500000115,00020,0001,20231013,31887
100,4500000116,00010,0001,20240516,14650
100,4500000116,00020,0001,20240511,7339
100,4500000117,00010,0001,20220225,36463
100,4500000118,00010,0001,20231127,22021
100,4500000118,00020,0001,20231209,7622
100,4500000119,00010,0001,20250412,36423
100,4500000120,00010,0001,20230820,48152
100,4500000120,00020,0001,20230830,41846
100,4500000121,00010,0001,20240221,25271
100,4500000122,00010,0001,20250305,47233
100,4500000123,00010,0001,20240116,37100
100,4500000124,00010,0001,20230416,15380
100,4500000124,00020,0001,20230429,4999
100,4500000124,00030,0001,20230418,36907
100,4500000124,00040,0001,20230502,22309
100,4500000125,00010,0001,20240225,13883
100,4500000125,00020,0001,20240228,30781
100,4500000126,00010,0001,20250412,45465
100,4500000126,00020,0001,20250406,28963
100,4500000127,00010,0001,20220510,49352
100,4500000128,00010,0001,20220213,27498
100,4500000129,00010,0001,20250118,38085
100,4500000129,00020,0001,20250106,11350
100,4500000130,00010,0001,20240724,21249
100,4500000130,00020,0001,20240729,20754
100,4500000130,00030,0001,20240723,36146
100,4500000131,00010,0001,20251021,2965
100,4500000132,00010,0001,20250317,16284
100,4500000132,00020,0001,20250328,38441
100,4500000132,00030,0001,20250314,48711
100,4500000133,00010,0001,20220715,47522
100,4500000133,00020,0001,20220712,9877
100,4500000133,00030,0001,20220705,45294
100,4500000134,00010,0001,20230520,43590
100,4500000134,00020,0001,20230514,27181
100,4500000135,00010,0001,20231024,18737
100,4500000136,00010,0001,20220622,36314
100,4500000136,00020,0001,20220620,20452
100,4500000137,00010,0001,20240405,34442
100,4500000137,00020,0001,20240414,16321
100,4500000138,00010,0001,20240521,19608
100,4500000138,00020,0001,20240531,31713
100,4500000138,00030,0001,20240607,38382
100,4500000139,00010,0001,20230610,23500
100,4500000139,00020,0001,20230602,7872
100,4500000139,00030,0001,20230528,28746
100,4500000140,00010,0001,20250326,18600
100,4500000141,00010,0001,20240131,109
100,4500000141,00020,0001,20240129,9938
100,4500000142,00010,0001,20240128,15699
100,4500000142,00020,0001,20240129,39637
100,4500000142,00030,0001,20240202,14513
100,4500000142,00040,0001,20240206,4660
100,4500000143,00010,0001,20240526,35275
100,4500000143,00020,0001,20240616,9606
100,4500000144,00010,0001,20230804,49242
100,4500000144,00020,0001,20230718,29027
100,4500000144,00030,0001,20230726,43119
100,4500000145,00010,0001,20250101,31244
100,4500000145,00020,0001,20241221,19685
100,4500000145,00030,0001,20241227,8527
100,4500000146,00010,0001,20250520,35910
100,4500000147,00010,0001,20220206,30186
100,4500000147,00020,0001,20220211,10035
100,4500000148,00010,0001,20221226,24279
100,4500000148,00020,0001,20221206,38036
100,4500000149,00010,0001,20241204,16230
100,4500000149,00020,0001,20241203,25193
100,4500000150,00010,0001,20230805,46981
100,4500000151,00010,0001,20230923,14048
100,4500000151,00020,0001,20231004,18655
100,4500000151,00030,0001,20230926,19426
100,4500000151,00040,0001,20231003,47467
100,4500000152,00010,0001,20251111,12141
100,4500000152,00020,0001,20251121,5423
100,4500000153,00010,0001,20250602,46030
100,4500000154,00010,0001,20220829,40283
100,4500000154,00020,0001,20220904,36283
100,4500000154,00030,0001,20220901,29967
100,4500000154,00040,0001,20220902,25006
100,4500000155,00010,0001,20230524,6712
100,4500000155,00020,0001,20230509,30719
100,4500000155,00030,0001,20230503,35064
100,4500000156,00010,0001,20231206,1006
100,4500000157,00010,0001,20250626,37548
100,4500000157,00020,0001,20250701,24129
100,4500000157,00030,0001,20250716,13759
100,4500000157,00040,0001,20250706,35833
100,4500000158,00010,0001,20230215,13826
100,4500000158,00020,0001,20230203,34715
100,4500000158,00030,0001,20230206,47283
100,4500000159,00010,0001,20240902,42367
100,4500000159,00020,0001,20240901,44931
100,4500000159,00030,0001,20240919,10809
100,4500000160,00010,0001,20220930,12227
100,4500000160,00020,0001,20220918,13800
100,4500000161,00010,0001,20230606,11881
100,4500000162,00010,0001,20230711,7928
100,4500000162,00020,0001,20230719,5647
100,4500000163,00010,0001,20220512,46012
100,4500000164,00010,0001,20230711,9197
100,4500000165,00010,0001,20220902,24203
100,4500000165,00020,0001,20220908,41519
100,4500000166,00010,0001,20241123,42375
100,4500000167,00010,0001,20250529,37608
100,4500000167,00020,0001,20250517,18661
100,4500000168,00010,0001,20220314,42384
100,4500000168,00020,0001,20220326,46085
100,4500000168,00030,0001,20220312,36810
100,4500000169,00010,0001,20230515,3000
100,4500000169,00020,0001,20230520,1634
100,4500000170,00010,0001,20230502,36441
100,4500000170,00020,0001,20230506,21922
100,4500000171,00010,0001,20251107,40173
100,4500000171,00020,0001,20251112,33489
100,4500000171,00030,0001,20251115,15769
100,4500000172,00010,0001,20251106,39709
100,4500000172,00020,0001,20251112,37857
100,4500000173,00010,0001,20220519,48105
100,4500000174,00010,0001,20220925,933
100,4500000174,00020,0001,20220924,37029
100,4500000175,00010,0001,20250107,14277
100,4500000175,00020,0001,20250107,49760
100,4500000176,00010,0001,20220310,4041
100,4500000176,00020,0001,20220225,28407
100,4500000177,00010,0001,20220608,5114
100,4500000178,00010,0001,20230801,27035
100,4500000179,00010,0001,20240604,3675
100,4500000179,00020,0001,20240620,4408
100,4500000180,00010,0001,20230801,17843
100,4500000180,00020,0001,20230805,5805
100,4500000181,00010,0001,20240108,5111
100,4500000181,00020,0001,20231229,35278
100,4500000182,00010,0001,20251015,47371
100,4500000182,00020,0001,20251027,17999
100,4500000182,00030,0001,20251014,42077
100,4500000183,00010,0001,20240531,31348
100,4500000183,00020,0001,20240611,44137
100,4500000183,00030,0001,20240604,48623
100,4500000184,00010,0001,20240922,16531
100,4500000184,00020,0001,20241005,11654
100,4500000185,00010,0001,20241104,22559
100,4500000185,00020,0001,20241031,24468
100,4500000186,00010,0001,20220521,25412
100,4500000186,00020,0001,20220524,22001
100,4500000186,00030,0001,20220506,35279
100,4500000187,00010,0001,20231216,2973
100,4500000187,00020,0001,20231220,43143
100,4500000187,00030,0001,20231215,22588
100,4500000188,00010,0001,20241129,32448
100,4500000188,00020,0001,20241120,48966
100,4500000189,00010,0001,20220420,26629
100,4500000189,00020,0001,20220425,12709
100,4500000190,00010,0001,20241130,19421
100,4500000190,00020,0001,20241201,1264
100,4500000191,00010,0001,20220710,542
100,4500000192,00010,0001,20220731,6431
100,4500000193,00010,0001,20231009,11249
100,4500000193,00020,0001,20230922,15488
100,4500000194,00010,0001,20230929,38677
100,4500000194,00020,0001,20231002,30866
100,4500000194,00030,0001,20231002,6323
100,4500000195,00010,0001,20230311,23334
100,4500000195,00020,0001,20230321,23966
100,4500000196,00010,0001,20220813,5656
100,4500000196,00020,0001,20220814,42052
100,4500000196,00030,0001,20220818,42069
100,4500000196,00040,0001,20220814,49093
100,4500000197,00010,0001,20240705,15534
100,4500000197,00020,0001,20240626,40433
100,4500000197,00030,0001,20240624,41802
100,4500000198,00010,0001,20231006,5117
100,4500000198,00020,0001,20231010,14070
100,4500000199,00010,0001,20241205,37600
100,4500000199,00020,0001,20241201,10929
100,4500000200,00010,0001,20240507,33508
100,4500000200,00020,0001,20240513,46390
100,4500000201,00010,0001,20220828,49199
100,4500000201,00020,0001,20220817,1115
100,4500000202,00010,0001,20230604,36531
100,4500000202,00020,0001,20230524,12918
100,4500000202,00030,0001,20230517,46762
100,4500000203,00010,0001,20220320,23099
100,4500000203,00020,0001,20220327,24623
100,4500000203,00030,0001,20220315,39940
100,4500000204,00010,0001,20240213,13066
100,4500000204,00020,0001,20240217,25634
100,4500000204,00030,0001,20240202,30769
100,4500000204,00040,0001,20240131,49766
100,4500000205,00010,0001,20251016,46956
100,4500000205,00020,0001,20251008,28227
100,4500000205,00030,0001,20251022,8015
100,4500000205,00040,0001,20251008,36515
100,4500000206,00010,0001,20231115,28726
100,4500000206,00020,0001,20231127,3645
100,4500000206,00030,0001,20231117,36801
100,4500000207,00010,0001,20260102,17392
100,4500000208,00010,0001,20220713,5433
100,4500000208,00020,0001,20220704,30769
100,4500000208,00030,0001,20220706,9432
100,4500000209,00010,0001,20240719,45973
100,4500000209,00020,0001,20240703,31893
100,4500000210,00010,0001,20250303,43574
100,4500000210,00020,0001,20250317,5245
100,4500000211,00010,0001,20220307,1897
100,4500000211,00020,0001,20220305,34474
100,4500000211,00030,0001,20220310,26127
100,4500000212,00010,0001,20241024,3645
100,4500000213,00010,0001,20230514,10798
100,4500000213,00020,0001,20230523,49716
100,4500000214,00010,0001,20230711,40176
100,4500000215,00010,0001,20230921,25153
100,4500000215,00020,0001,20230920,168
100,4500000215,00030,0001,20230916,14768
100,4500000216,00010,0001,20251022,7284
100,4500000217,00010,0001,20241208,5922
100,4500000217,00020,0001,20241125,27968
100,4500000217,00030,0001,20241127,8054
100,4500000218,00010,0001,20230929,35825
100,4500000218,00020,0001,20230927,9130
100,4500000219,00010,0001,20240823,45010
100,4500000219,00020,0001,20240905,5705
100,4500000220,00010,0001,20251210,43932
100,4500000221,00010,0001,20220712,3462
100,4500000221,00020,0001,20220722,13457
100,4500000222,00010,0001,20250818,46763
100,4500000222,00020,0001,20250830,33043
100,4500000223,00010,0001,20240709,1936
100,4500000223,00020,0001,20240705,39773
100,4500000224,00010,0001,20220708,3951
100,4500000224,00020,0001,20220726,23437
100,4500000224,00030,0001,20220708,49186
100,4500000225,00010,0001,20250506,13485
100,4500000225,00020,0001,20250516,44870
100,4500000225,00030,0001,20250509,35871
100,4500000226,00010,0001,20250830,11664
100,4500000226,00020,0001,20250820,26178
100,4500000226,00030,0001,20250826,36744
100,4500000226,00040,0001,20250820,32165
100,4500000227,00010,0001,20240515,43163
100,4500000227,00020,0001,20240428,8749
100,4500000228,00010,0001,20250410,1958
100,4500000228,00020,0001,20250409,49821
100,4500000228,00030,0001,20250417,28930
100,4500000229,00010,0001,20251115,31751
100,4500000229,00020,0001,20251102,44423
100,4500000230,00010,0001,20240519,34496
100,4500000230,00020,0001,20240531,25067
100,4500000231,00010,0001,20240609,15208
100,4500000231,00020,0001,20240528,21749
100,4500000232,00010,0001,20230314,18946
100,4500000232,00020,0001,20230311,1457
100,4500000233,00010,0001,20251028,37318
100,4500000234,00010,0001,20220410,25373
100,4500000235,00010,0001,20250712,26890
100,4500000236,00010,0001,20250525,8163
100,4500000237,00010,0001,20230525,16424
100,4500000237,00020,0001,20230531,46092
100,4500000238,00010,0001,20230326,4571
100,4500000238,00020,0001,20230408,13778
100,4500000239,00010,0001,20221018,9065
100,4500000239,00020,0001,20221030,6648
100,4500000240,00010,0001,20220206,1937
100,4500000240,00020,0001,20220119,43077
100,4500000241,00010,0001,20231103,654
100,4500000241,00020,0001,20231025,39526
100,4500000242,00010,0001,20240127,30810
100,4500000242,00020,0001,20240202,22731
100,4500000242,00030,0001,20240128,18890
100,4500000243,00010,0001,20230720,8502
100,4500000243,00020,0001,20230806,4724
100,4500000243,00030,0001,20230718,3961
100,4500000244,00010,0001,20240919,23937
100,4500000245,00010,0001,20230614,9860
100,4500000245,00020,0001,20230612,2089
100,4500000246,00010,0001,20250730,42656
100,4500000246,00020,0001,20250720,45213
100,4500000247,00010,0001,20240318,47811
100,4500000248,00010,0001,20221122,45048
100,4500000248,00020,0001,20221203,35041
100,4500000248,00030,0001,20221130,5261
100,4500000249,00010,0001,20230420,28726
100,4500000249,00020,0001,20230510,19642
100,4500000250,00010,0001,20240114,46923
100,4500000251,00010,0001,20251201,21522
100,4500000251,00020,0001,20251128,36647
100,4500000252,00010,0001,20230402,9956
100,4500000252,00020,0001,20230411,511
100,4500000253,00010,0001,20250115,47241
100,4500000254,00010,0001,20240129,1105
100,4500000254,00020,0001,20240115,47245
100,4500000254,00030,0001,20240128,20765
100,4500000255,00010,0001,20230828,2056
100,4500000256,00010,0001,20221203,29145
100,4500000256,00020,0001,20221129,21111
100,4500000256,00030,0001,20221201,22852
100,4500000257,00010,0001,20251114,4353
100,4500000257,00020,0001,20251117,484
100,4500000258,00010,0001,20221004,4660
100,4500000258,00020,0001,20221007,40484
100,4500000258,00030,0001,20221008,16031
100,4500000259,00010,0001,20240521,29549
100,4500000260,00010,0001,20230327,15151
100,4500000260,00020,0001,20230410,31136
100,4500000261,00010,0001,20240411,3917
100,4500000261,00020,0001,20240423,43227
100,4500000262,00010,0001,20251218,27602
100,4500000262,00020,0001,20251206,10604
100,4500000262,00030,0001,20251206,3197
100,4500000262,00040,0001,20251224,32979
100,4500000263,00010,0001,20240328,39447
100,4500000264,00010,0001,20220525,11562
100,4500000264,00020,0001,20220525,17716
100,4500000265,00010,0001,20250815,45737
100,4500000266,00010,0001,20250515,23705
100,4500000266,00020,0001,20250511,23498
100,4500000267,00010,0001,20230423,23240
100,4500000267,00020,0001,20230512,4807
100,4500000267,00030,0001,20230424,4995
100,4500000268,00010,0001,20250423,44971
100,4500000269,00010,0001,20250319,27651
100,4500000269,00020,0001,20250406,10507
100,4500000270,00010,0001,20221016,49055
100,4500000271,00010,0001,20240925,529
100,4500000272,00010,0001,20241023,4213
100,4500000272,00020,0001,20241030,44623
100,4500000273,00010,0001,20230822,37074
100,4500000273,00020,0001,20230904,39405
100,4500000274,00010,0001,20250817,31131
100,4500000275,00010,0001,20220425,15044
100,4500000276,00010,0001,20230502,48592
100,4500000276,00020,0001,20230504,7483
100,4500000276,00030,0001,20230430,42930
100,4500000276,00040,0001,20230417,35532
100,4500000277,00010,0001,20251008,8131
100,4500000277,00020,0001,20250922,26311
100,4500000278,00010,0001,20220513,18386
100,4500000278,00020,0001,20220426,2773
100,4500000278,00030,0001,20220516,28843
100,4500000278,00040,0001,20220506,1614
100,4500000279,00010,0001,20231012,10109
100,4500000279,00020,0001,20231002,33698
100,4500000280,00010,0001,20251223,39040
100,4500000280,00020,0001,20251223,33586
100,4500000280,00030,0001,20251215,25147
100,4500000280,00040,0001,20251211,24477
100,4500000281,00010,0001,20240126,28031
100,4500000282,00010,0001,20221102,10913
100,4500000283,00010,0001,20240710,12287
100,4500000283,00020,0001,20240721,11083
100,4500000283,00030,0001,20240708,49091
100,4500000283,00040,0001,20240714,5217
100,4500000284,00010,0001,20230524,26020
100,4500000284,00020,0001,20230611,34135
100,4500000284,00030,0001,20230528,6499
100,4500000285,00010,0001,20251215,48130
100,4500000285,00020,0001,20251212,22719
100,4500000285,00030,0001,20251211,28852
100,4500000285,00040,0001,20251204,25020
100,4500000286,00010,0001,20230724,46798
100,4500000286,00020,0001,20230729,43609
100,4500000287,00010,0001,20250331,46408
100,4500000287,00020,0001,20250329,25876
100,4500000287,00030,0001,20250418,46655
100,4500000288,00010,0001,20241221,32193
100,4500000289,00010,0001,20241114,48145
100,4500000290,00010,0001,20250402,23142
100,4500000290,00020,0001,20250411,32987
100,4500000290,00030,0001,20250405,11260
100,4500000291,00010,0001,20250502,32260
100,4500000292,00010,0001,20220330,16439
100,4500000292,00020,0001,20220406,8028
100,4500000292,00030,0001,20220322,34458
100,4500000293,00010,0001,20230108,1810
100,4500000294,00010,0001,20250831,47892
100,4500000295,00010,0001,20230331,34590
100,4500000295,00020,0001,20230329,12373
100,4500000295,00030,0001,20230401,40649
100,4500000296,00010,0001,20250910,31916
100,4500000296,00020,0001,20250821,25486
100,4500000297,00010,0001,20220520,9362
100,4500000298,00010,0001,20241004,12250
100,4500000298,00020,0001,20240930,34932
100,4500000299,00010,0001,20220502,17572
100,4500000300,00010,0001,20251011,3965
100,4500000301,00010,0001,20241202,32810
100,4500000301,00020,0001,20241118,37130
100,4500000302,00010,0001,20240510,36303
100,4500000302,00020,0001,20240504,3345
100,4500000302,00030,0001,20240515,43405
100,4500000303,00010,0001,20221116,48747
100,4500000304,00010,0001,20241024,2993
100,4500000304,00020,0001,20241020,21275
100,4500000304,00030,0001,20241016,43438
100,4500000305,00010,0001,20240913,4769
100,4500000305,00020,0001,20240923,1669
100,4500000305,00030,0001,20240909,19393
100,4500000306,00010,0001,20250719,15397
100,4500000306,00020,0001,20250703,48582
100,4500000307,00010,0001,20250601,24107
100,4500000308,00010,0001,20240320,6162
100,4500000309,00010,0001,20250901,25398
100,4500000310,00010,0001,20250904,45787
100,4500000310,00020,0001,20250915,40336
100,4500000310,00030,0001,20250923,2089
100,4500000311,00010,0001,20240413,6793
100,4500000311,00020,0001,20240401,7360
100,4500000311,00030,0001,20240329,17276
100,4500000312,00010,0001,20251004,2533
100,4500000312,00020,0001,20250919,5141
100,4500000312,00030,0001,20250926,37426
100,4500000312,00040,0001,20250914,23517
100,4500000313,00010,0001,20250623,21010
100,4500000313,00020,0001,20250706,22218
100,4500000313,00030,0001,20250702,13306
100,4500000313,00040,0001,20250620,18221
100,4500000314,00010,0001,20250504,29791
100,4500000314,00020,0001,20250522,19692
100,4500000315,00010,0001,20250325,42568
100,4500000315,00020,0001,20250318,30391
100,4500000315,00030,0001,20250406,11799
100,4500000315,00040,0001,20250322,36908
100,4500000316,00010,0001,20250927,12215
100,4500000316,00020,0001,20250929,41309
100,4500000316,00030,0001,20250914,44153
100,4500000317,00010,0001,20220526,4280
100,4500000318,00010,0001,20240330,40495
100,4500000318,00020,0001,20240314,9790
100,4500000318,00030,0001,20240311,4641
100,4500000319,00010,0001,20250730,35606
100,4500000319,00020,0001,20250723,8120
100,4500000320,00010,0001,20250901,21320
100,4500000320,00020,0001,20250904,31662
100,4500000320,00030,0001,20250831,39296
100,4500000320,00040,0001,20250903,2437
100,4500000321,00010,0001,20220122,6832
100,4500000322,00010,0001,20231012,37941
100,4500000322,00020,0001,20231025,23829
100,4500000322,00030,0001,20231028,7832
100,4500000323,00010,0001,20250213,23464
100,4500000323,00020,0001,20250207,42110
100,4500000323,00030,0001,20250212,23018
100,4500000324,00010,0001,20251210,9087
100,4500000324,00020,0001,20251216,32902
100,4500000324,00030,0001,20251226,29328
100,4500000324,00040,0001,20251219,39265
100,4500000325,00010,0001,20220224,37873
100,4500000325,00020,0001,20220223,12261
