MANDT,AUFPL,APLZL,VORNR,ARBID,WERKS
100,0000000020,00000003,0030,00000003,0010
100,0000000021,00000001,0010,00000001,0001
100,0000000021,00000002,0020,00000002,0001
100,0000000021,00000003,0030,00000003,0001
100,0000000022,00000001,0010,00000001,0002
100,0000000022,00000002,0020,00000002,0002
100,0000000023,00000001,0010,00000001,0003
100,0000000023,00000002,0020,00000002,0003
100,0000000023,00000003,0030,00000003,0003
100,0000000023,00000004,0040,00000004,0003
100,0000000024,00000001,0010,00000001,0004
100,0000000024,00000002,0020,00000002,0004
100,0000000024,00000003,0030,00000003,0004
100,0000000024,00000004,0040,00000004,0004
100,0000000025,00000001,0010,00000001,0005
100,0000000025,00000002,0020,00000002,0005
100,0000000025,00000003,0030,00000003,0005
100,0000000025,00000004,0040,00000004,0005
100,0000000026,00000001,0010,00000001,0006
100,0000000026,00000002,0020,00000002,0006
100,0000000026,00000003,0030,00000003,0006
100,0000000026,00000004,0040,00000004,0006
100,0000000027,00000001,0010,00000001,0007
100,0000000027,00000002,0020,00000002,0007
100,0000000028,00000001,0010,00000001,0008
100,0000000028,00000002,0020,00000002,0008
100,0000000028,00000003,0030,00000003,0008
100,0000000029,00000001,0010,00000001,0009
100,0000000029,00000002,0020,00000002,0009
100,0000000030,00000001,0010,00000001,0010
100,0000000030,00000002,0020,00000002,0010
100,0000000031,00000001,0010,00000001,0001
100,0000000031,00000002,0020,00000002,0001
100,0000000031,00000003,0030,00000003,0001
100,0000000032,00000001,0010,00000001,0002
100,0000000032,00000002,0020,00000002,0002
100,0000000033,00000001,0010,00000001,0003
100,0000000033,00000002,0020,00000002,0003
100,0000000033,00000003,0030,00000003,0003
100,0000000034,00000001,0010,00000001,0004
100,0000000034,00000002,0020,00000002,0004
100,0000000034,00000003,0030,00000003,0004
100,0000000034,00000004,0040,00000004,0004
100,0000000035,00000001,0010,00000001,0005
100,0000000035,00000002,0020,00000002,0005
100,0000000036,00000001,0010,00000001,0006
100,0000000036,00000002,0020,00000002,0006
100,0000000037,00000001,0010,00000001,0007
100,0000000037,00000002,0020,00000002,0007
100,0000000037,00000003,0030,00000003,0007
100,0000000037,00000004,0040,00000004,0007
100,0000000038,00000001,0010,00000001,0008
100,0000000038,00000002,0020,00000002,0008
100,0000000038,00000003,0030,00000003,0008
100,0000000039,00000001,0010,00000001,0009
100,0000000039,00000002,0020,00000002,0009
100,0000000039,00000003,0030,00000003,0009
100,0000000040,00000001,0010,00000001,0010
100,0000000040,00000002,0020,00000002,0010
100,0000000040,00000003,0030,00000003,0010
100,0000000040,00000004,0040,00000004,0010
100,0000000041,00000001,0010,00000001,0001
100,0000000041,00000002,0020,00000002,0001
100,0000000042,00000001,0010,00000001,0002
100,0000000042,00000002,0020,00000002,0002
100,0000000042,00000003,0030,00000003,0002
100,0000000042,00000004,0040,00000004,0002
100,0000000043,00000001,0010,00000001,0003
100,0000000043,00000002,0020,00000002,0003
100,0000000044,00000001,0010,00000001,0004
100,0000000044,00000002,0020,00000002,0004
100,0000000044,00000003,0030,00000003,0004
100,0000000045,00000001,0010,00000001,0005
100,0000000045,00000002,0020,00000002,0005
100,0000000045,00000003,0030,00000003,0005
100,0000000045,00000004,0040,00000004,0005
100,0000000046,00000001,0010,00000001,0006
100,0000000046,00000002,0020,00000002,0006
100,0000000047,00000001,0010,00000001,0007
100,0000000047,00000002,0020,00000002,0007
100,0000000047,00000003,0030,00000003,0007
100,0000000047,00000004,0040,00000004,0007
100,0000000048,00000001,0010,00000001,0008
100,0000000048,00000002,0020,00000002,0008
100,0000000048,00000003,0030,00000003,0008
100,0000000049,00000001,0010,00000001,0009
100,0000000049,00000002,0020,00000002,0009
100,0000000049,00000003,0030,00000003,0009
100,0000000049,00000004,0040,00000004,0009
100,0000000050,00000001,0010,00000001,0010
100,0000000050,00000002,0020,00000002,0010
100,0000000050,00000003,0030,00000003,0010
100,0000000051,00000001,0010,00000001,0001
100,0000000051,00000002,0020,00000002,0001
100,0000000052,00000001,0010,00000001,0002
100,0000000052,00000002,0020,00000002,0002
100,0000000052,00000003,0030,00000003,0002
100,0000000053,00000001,0010,00000001,0003
100,0000000053,00000002,0020,00000002,0003
100,0000000054,00000001,0010,00000001,0004
100,0000000054,00000002,0020,00000002,0004
100,0000000055,00000001,0010,00000001,0005
100,0000000055,00000002,0020,00000002,0005
100,0000000056,00000001,0010,00000001,0006
100,0000000056,00000002,0020,00000002,0006
100,0000000057,00000001,0010,00000001,0007
100,0000000057,00000002,0020,00000002,0007
100,0000000057,00000003,0030,00000003,0007
100,0000000057,00000004,0040,00000004,0007
100,0000000058,00000001,0010,00000001,0008
100,0000000058,00000002,0020,00000002,0008
100,0000000058,00000003,0030,00000003,0008
100,0000000059,00000001,0010,00000001,0009
100,0000000059,00000002,0020,00000002,0009
100,0000000060,00000001,0010,00000001,0010
100,0000000060,00000002,0020,00000002,0010
100,0000000061,00000001,0010,00000001,0001
100,0000000061,00000002,0020,00000002,0001
100,0000000061,00000003,0030,00000003,0001
100,0000000062,00000001,0010,00000001,0002
100,0000000062,00000002,0020,00000002,0002
100,0000000062,00000003,0030,00000003,0002
100,0000000062,00000004,0040,00000004,0002
100,0000000063,00000001,0010,00000001,0003
100,0000000063,00000002,0020,00000002,0003
100,0000000063,00000003,0030,00000003,0003
100,0000000064,00000001,0010,00000001,0004
100,0000000064,00000002,0020,00000002,0004
100,0000000064,00000003,0030,00000003,0004
100,0000000064,00000004,0040,00000004,0004
100,0000000065,00000001,0010,00000001,0005
100,0000000065,00000002,0020,00000002,0005
100,0000000065,00000003,0030,00000003,0005
100,0000000066,00000001,0010,00000001,0006
100,0000000066,00000002,0020,00000002,0006
100,0000000067,00000001,0010,00000001,0007
100,0000000067,00000002,0020,00000002,0007
100,0000000067,00000003,0030,00000003,0007
100,0000000068,00000001,0010,00000001,0008
100,0000000068,00000002,0020,00000002,0008
100,0000000068,00000003,0030,00000003,0008
100,0000000068,00000004,0040,00000004,0008
100,0000000069,00000001,0010,00000001,0009
100,0000000069,00000002,0020,00000002,0009
100,0000000070,00000001,0010,00000001,0010
100,0000000070,00000002,0020,00000002,0010
100,0000000070,00000003,0030,00000003,0010
100,0000000071,00000001,0010,00000001,0001
100,0000000071,00000002,0020,00000002,0001
100,0000000071,00000003,0030,00000003,0001
100,0000000072,00000001,0010,00000001,0002
100,0000000072,00000002,0020,00000002,0002
100,0000000073,00000001,0010,00000001,0003
100,0000000073,00000002,0020,00000002,0003
100,0000000073,00000003,0030,00000003,0003
100,0000000073,00000004,0040,00000004,0003
100,0000000074,00000001,0010,00000001,0004
100,0000000074,00000002,0020,00000002,0004
100,0000000075,00000001,0010,00000001,0005
100,0000000075,00000002,0020,00000002,0005
100,0000000075,00000003,0030,00000003,0005
100,0000000076,00000001,0010,00000001,0006
100,0000000076,00000002,0020,00000002,0006
100,0000000076,00000003,0030,00000003,0006
100,0000000077,00000001,0010,00000001,0007
100,0000000077,00000002,0020,00000002,0007
100,0000000078,00000001,0010,00000001,0008
100,0000000078,00000002,0020,00000002,0008
100,0000000079,00000001,0010,00000001,0009
100,0000000079,00000002,0020,00000002,0009
100,0000000079,00000003,0030,00000003,0009
100,0000000079,00000004,0040,00000004,0009
100,0000000080,00000001,0010,00000001,0010
100,0000000080,00000002,0020,00000002,0010
100,0000000081,00000001,0010,00000001,0001
100,0000000081,00000002,0020,00000002,0001
100,0000000081,00000003,0030,00000003,0001
100,0000000081,00000004,0040,00000004,0001
100,0000000082,00000001,0010,00000001,0002
100,0000000082,00000002,0020,00000002,0002
100,0000000082,00000003,0030,00000003,0002
100,0000000083,00000001,0010,00000001,0003
100,0000000083,00000002,0020,00000002,0003
100,0000000083,00000003,0030,00000003,0003
100,0000000083,00000004,0040,00000004,0003
100,0000000084,00000001,0010,00000001,0004
100,0000000084,00000002,0020,00000002,0004
100,0000000084,00000003,0030,00000003,0004
100,0000000085,00000001,0010,00000001,0005
100,0000000085,00000002,0020,00000002,0005
100,0000000086,00000001,0010,00000001,0006
100,0000000086,00000002,0020,00000002,0006
100,0000000087,00000001,0010,00000001,0007
100,0000000087,00000002,0020,00000002,0007
100,0000000088,00000001,0010,00000001,0008
100,0000000088,00000002,0020,00000002,0008
100,0000000088,00000003,0030,00000003,0008
100,0000000089,00000001,0010,00000001,0009
100,0000000089,00000002,0020,00000002,0009
100,0000000089,00000003,0030,00000003,0009
100,0000000089,00000004,0040,00000004,0009
100,0000000090,00000001,0010,00000001,0010
100,0000000090,00000002,0020,00000002,0010
100,0000000090,00000003,0030,00000003,0010
100,0000000090,00000004,0040,00000004,0010
100,0000000091,00000001,0010,00000001,0001
100,0000000091,00000002,0020,00000002,0001
100,0000000091,00000003,0030,00000003,0001
100,0000000091,00000004,0040,00000004,0001
100,0000000092,00000001,0010,00000001,0002
100,0000000092,00000002,0020,00000002,0002
100,0000000092,00000003,0030,00000003,0002
100,0000000093,00000001,0010,00000001,0003
100,0000000093,00000002,0020,00000002,0003
100,0000000094,00000001,0010,00000001,0004
100,0000000094,00000002,0020,00000002,0004
100,0000000094,00000003,0030,00000003,0004
100,0000000094,00000004,0040,00000004,0004
100,0000000095,00000001,0010,00000001,0005
100,0000000095,00000002,0020,00000002,0005
100,0000000096,00000001,0010,00000001,0006
100,0000000096,00000002,0020,00000002,0006
100,0000000096,00000003,0030,00000003,0006
100,0000000096,00000004,0040,00000004,0006
100,0000000097,00000001,0010,00000001,0007
100,0000000097,00000002,0020,00000002,0007
100,0000000098,00000001,0010,00000001,0008
100,0000000098,00000002,0020,00000002,0008
100,0000000098,00000003,0030,00000003,0008
100,0000000098,00000004,0040,00000004,0008
100,0000000099,00000001,0010,00000001,0009
100,0000000099,00000002,0020,00000002,0009
100,0000000099,00000003,0030,00000003,0009
100,0000000099,00000004,0040,00000004,0009
100,0000000100,00000001,0010,00000001,0010
100,0000000100,00000002,0020,00000002,0010
100,0000000101,00000001,0010,00000001,0001
100,0000000101,00000002,0020,00000002,0001
100,0000000102,00000001,0010,00000001,0002
100,0000000102,00000002,0020,00000002,0002
100,0000000102,00000003,0030,00000003,0002
100,0000000103,00000001,0010,00000001,0003
100,0000000103,00000002,0020,00000002,0003
100,0000000103,00000003,0030,00000003,0003
100,0000000103,00000004,0040,00000004,0003
100,0000000104,00000001,0010,00000001,0004
100,0000000104,00000002,0020,00000002,0004
100,0000000104,00000003,0030,00000003,0004
100,0000000105,00000001,0010,00000001,0005
100,0000000105,00000002,0020,00000002,0005
100,0000000105,00000003,0030,00000003,0005
100,0000000106,00000001,0010,00000001,0006
100,0000000106,00000002,0020,00000002,0006
100,0000000106,00000003,0030,00000003,0006
100,0000000107,00000001,0010,00000001,0007
100,0000000107,00000002,0020,00000002,0007
100,0000000107,00000003,0030,00000003,0007
100,0000000107,00000004,0040,00000004,0007
100,0000000108,00000001,0010,00000001,0008
100,0000000108,00000002,0020,00000002,0008
100,0000000109,00000001,0010,00000001,0009
100,0000000109,00000002,0020,00000002,0009
100,0000000109,00000003,0030,00000003,0009
100,0000000109,00000004,0040,00000004,0009
100,0000000110,00000001,0010,00000001,0010
100,0000000110,00000002,0020,00000002,0010
100,0000000111,00000001,0010,00000001,0001
100,0000000111,00000002,0020,00000002,0001
100,0000000112,00000001,0010,00000001,0002
100,0000000112,00000002,0020,00000002,0002
100,0000000112,00000003,0030,00000003,0002
100,0000000113,00000001,0010,00000001,0003
100,0000000113,00000002,0020,00000002,0003
100,0000000113,00000003,0030,00000003,0003
100,0000000114,00000001,0010,00000001,0004
100,0000000114,00000002,0020,00000002,0004
100,0000000115,00000001,0010,00000001,0005
100,0000000115,00000002,0020,00000002,0005
100,0000000115,00000003,0030,00000003,0005
100,0000000116,00000001,0010,00000001,0006
100,0000000116,00000002,0020,00000002,0006
100,0000000117,00000001,0010,00000001,0007
100,0000000117,00000002,0020,00000002,0007
100,0000000117,00000003,0030,00000003,0007
100,0000000118,00000001,0010,00000001,0008
100,0000000118,00000002,0020,00000002,0008
100,0000000119,00000001,0010,00000001,0009
100,0000000119,00000002,0020,00000002,0009
100,0000000119,00000003,0030,00000003,0009
100,0000000119,00000004,0040,00000004,0009
100,0000000120,00000001,0010,00000001,0010
100,0000000120,00000002,0020,00000002,0010
100,0000000121,00000001,0010,00000001,0001
100,0000000121,00000002,0020,00000002,0001
100,0000000122,00000001,0010,00000001,0002
100,0000000122,00000002,0020,00000002,0002
100,0000000122,00000003,0030,00000003,0002
100,0000000122,00000004,0040,00000004,0002
100,0000000123,00000001,0010,00000001,0003
100,0000000123,00000002,0020,00000002,0003
100,0000000123,00000003,0030,00000003,0003
100,0000000123,00000004,0040,00000004,0003
100,0000000124,00000001,0010,00000001,0004
100,0000000124,00000002,0020,00000002,0004
100,0000000124,00000003,0030,00000003,0004
100,0000000125,00000001,0010,00000001,0005
100,0000000125,00000002,0020,00000002,0005
100,0000000126,00000001,0010,00000001,0006
100,0000000126,00000002,0020,00000002,0006
100,0000000126,00000003,0030,00000003,0006
100,0000000126,00000004,0040,00000004,0006
100,0000000127,00000001,0010,00000001,0007
100,0000000127,00000002,0020,00000002,0007
100,0000000127,00000003,0030,00000003,0007
100,0000000127,00000004,0040,00000004,0007
100,0000000128,00000001,0010,00000001,0008
100,0000000128,00000002,0020,00000002,0008
100,0000000129,00000001,0010,00000001,0009
100,0000000129,00000002,0020,00000002,0009
100,0000000129,00000003,0030,00000003,0009
100,0000000129,00000004,0040,00000004,0009
100,0000000130,00000001,0010,00000001,0010
100,0000000130,00000002,0020,00000002,0010
100,0000000130,00000003,0030,00000003,0010
100,0000000131,00000001,0010,00000001,0001
100,0000000131,00000002,0020,00000002,0001
100,0000000131,00000003,0030,00000003,0001
100,0000000132,00000001,0010,00000001,0002
100,0000000132,00000002,0020,00000002,0002
100,0000000132,00000003,0030,00000003,0002
100,0000000132,00000004,0040,00000004,0002
100,0000000133,00000001,0010,00000001,0003
100,0000000133,00000002,0020,00000002,0003
100,0000000133,00000003,0030,00000003,0003
100,0000000133,00000004,0040,00000004,0003
100,0000000134,00000001,0010,00000001,0004
100,0000000134,00000002,0020,00000002,0004
100,0000000134,00000003,0030,00000003,0004
100,0000000134,00000004,0040,00000004,0004
100,0000000135,00000001,0010,00000001,0005
100,0000000135,00000002,0020,00000002,0005
100,0000000135,00000003,0030,00000003,0005
100,0000000135,00000004,0040,00000004,0005
100,0000000136,00000001,0010,00000001,0006
100,0000000136,00000002,0020,00000002,0006
100,0000000136,00000003,0030,00000003,0006
100,0000000137,00000001,0010,00000001,0007
100,0000000137,00000002,0020,00000002,0007
100,0000000138,00000001,0010,00000001,0008
100,0000000138,00000002,0020,00000002,0008
100,0000000138,00000003,0030,00000003,0008
100,0000000138,00000004,0040,00000004,0008
100,0000000139,00000001,0010,00000001,0009
100,0000000139,00000002,0020,00000002,0009
100,0000000140,00000001,0010,00000001,0010
100,0000000140,00000002,0020,00000002,0010
100,0000000140,00000003,0030,00000003,0010
100,0000000140,00000004,0040,00000004,0010
100,0000000141,00000001,0010,00000001,0001
100,0000000141,00000002,0020,00000002,0001
100,0000000142,00000001,0010,00000001,0002
100,0000000142,00000002,0020,00000002,0002
100,0000000143,00000001,0010,00000001,0003
100,0000000143,00000002,0020,00000002,0003
100,0000000144,00000001,0010,00000001,0004
100,0000000144,00000002,0020,00000002,0004
100,0000000145,00000001,0010,00000001,0005
100,0000000145,00000002,0020,00000002,0005
100,0000000145,00000003,0030,00000003,0005
100,0000000146,00000001,0010,00000001,0006
100,0000000146,00000002,0020,00000002,0006
100,0000000146,00000003,0030,00000003,0006
100,0000000146,00000004,0040,00000004,0006
100,0000000147,00000001,0010,00000001,0007
100,0000000147,00000002,0020,00000002,0007
100,0000000147,00000003,0030,00000003,0007
100,0000000147,00000004,0040,00000004,0007
100,0000000148,00000001,0010,00000001,0008
100,0000000148,00000002,0020,00000002,0008
100,0000000148,00000003,0030,00000003,0008
100,0000000149,00000001,0010,00000001,0009
100,0000000149,00000002,0020,00000002,0009
100,0000000149,00000003,0030,00000003,0009
100,0000000150,00000001,0010,00000001,0010
100,0000000150,00000002,0020,00000002,0010
100,0000000150,00000003,0030,00000003,0010
100,0000000150,00000004,0040,00000004,0010
100,0000000151,00000001,0010,00000001,0001
100,0000000151,00000002,0020,00000002,0001
100,0000000152,00000001,0010,00000001,0002
100,0000000152,00000002,0020,00000002,0002
100,0000000152,00000003,0030,00000003,0002
100,0000000152,00000004,0040,00000004,0002
100,0000000153,00000001,0010,00000001,0003
100,0000000153,00000002,0020,00000002,0003
100,0000000153,00000003,0030,00000003,0003
100,0000000154,00000001,0010,00000001,0004
100,0000000154,00000002,0020,00000002,0004
100,0000000154,00000003,0030,00000003,0004
100,0000000155,00000001,0010,00000001,0005
100,0000000155,00000002,0020,00000002,0005
100,0000000155,00000003,0030,00000003,0005
100,0000000156,00000001,0010,00000001,0006
100,0000000156,00000002,0020,00000002,0006
100,0000000156,00000003,0030,00000003,0006
100,0000000156,00000004,0040,00000004,0006
100,0000000157,00000001,0010,00000001,0007
100,0000000157,00000002,0020,00000002,0007
100,0000000157,00000003,0030,00000003,0007
100,0000000158,00000001,0010,00000001,0008
100,0000000158,00000002,0020,00000002,0008
100,0000000158,00000003,0030,00000003,0008
100,0000000158,00000004,0040,00000004,0008
100,0000000159,00000001,0010,00000001,0009
100,0000000159,00000002,0020,00000002,0009
100,0000000160,00000001,0010,00000001,0010
100,0000000160,00000002,0020,00000002,0010
100,0000000160,00000003,0030,00000003,0010
100,0000000161,00000001,0010,00000001,0001
100,0000000161,00000002,0020,00000002,0001
100,0000000162,00000001,0010,00000001,0002
100,0000000162,00000002,0020,00000002,0002
100,0000000162,00000003,0030,00000003,0002
100,0000000163,00000001,0010,00000001,0003
100,0000000163,00000002,0020,00000002,0003
100,0000000163,00000003,0030,00000003,0003
100,0000000163,00000004,0040,00000004,0003
100,0000000164,00000001,0010,00000001,0004
100,0000000164,00000002,0020,00000002,0004
100,0000000164,00000003,0030,00000003,0004
100,0000000164,00000004,0040,00000004,0004
100,0000000165,00000001,0010,00000001,0005
100,0000000165,00000002,0020,00000002,0005
100,0000000165,00000003,0030,00000003,0005
100,0000000166,00000001,0010,00000001,0006
100,0000000166,00000002,0020,00000002,0006
100,0000000166,00000003,0030,00000003,0006
100,0000000167,00000001,0010,00000001,0007
100,0000000167,00000002,0020,00000002,0007
100,0000000168,00000001,0010,00000001,0008
100,0000000168,00000002,0020,00000002,0008
100,0000000168,00000003,0030,00000003,0008
100,0000000168,00000004,0040,00000004,0008
100,0000000169,00000001,0010,00000001,0009
100,0000000169,00000002,0020,00000002,0009
100,0000000169,00000003,0030,00000003,0009
100,0000000170,00000001,0010,00000001,0010
100,0000000170,00000002,0020,00000002,0010
100,0000000170,00000003,0030,00000003,0010
100,0000000170,00000004,0040,00000004,0010
100,0000000171,00000001,0010,00000001,0001
100,0000000171,00000002,0020,00000002,0001
100,0000000171,00000003,0030,00000003,0001
100,0000000171,00000004,0040,00000004,0001
100,0000000172,00000001,0010,00000001,0002
100,0000000172,00000002,0020,00000002,0002
100,0000000172,00000003,0030,00000003,0002
100,0000000172,00000004,0040,00000004,0002
100,0000000173,00000001,0010,00000001,0003
100,0000000173,00000002,0020,00000002,0003
100,0000000174,00000001,0010,00000001,0004
100,0000000174,00000002,0020,00000002,0004
100,0000000174,00000003,0030,00000003,0004
100,0000000174,00000004,0040,00000004,0004
100,0000000175,00000001,0010,00000001,0005
100,0000000175,00000002,0020,00000002,0005
100,0000000175,00000003,0030,00000003,0005
100,0000000175,00000004,0040,00000004,0005
100,0000000176,00000001,0010,00000001,0006
100,0000000176,00000002,0020,00000002,0006
100,0000000176,00000003,0030,00000003,0006
100,0000000176,00000004,0040,00000004,0006
100,0000000177,00000001,0010,00000001,0007
100,0000000177,00000002,0020,00000002,0007
100,0000000178,00000001,0010,00000001,0008
100,0000000178,00000002,0020,00000002,0008
100,0000000179,00000001,0010,00000001,0009
100,0000000179,00000002,0020,00000002,0009
100,0000000180,00000001,0010,00000001,0010
100,0000000180,00000002,0020,00000002,0010
100,0000000181,00000001,0010,00000001,0001
100,0000000181,00000002,0020,00000002,0001
100,0000000182,00000001,0010,00000001,0002
100,0000000182,00000002,0020,00000002,0002
100,0000000183,00000001,0010,00000001,0003
100,0000000183,00000002,0020,00000002,0003
100,0000000184,00000001,0010,00000001,0004
100,0000000184,00000002,0020,00000002,0004
100,0000000184,00000003,0030,00000003,0004
100,0000000185,00000001,0010,00000001,0005
100,0000000185,00000002,0020,00000002,0005
100,0000000185,00000003,0030,00000003,0005
100,0000000186,00000001,0010,00000001,0006
100,0000000186,00000002,0020,00000002,0006
100,0000000187,00000001,0010,00000001,0007
100,0000000187,00000002,0020,00000002,0007
100,0000000188,00000001,0010,00000001,0008
100,0000000188,00000002,0020,00000002,0008
100,0000000189,00000001,0010,00000001,0009
100,0000000189,00000002,0020,00000002,0009
100,0000000189,00000003,0030,00000003,0009
100,0000000190,00000001,0010,00000001,0010
100,0000000190,00000002,0020,00000002,0010
100,0000000190,00000003,0030,00000003,0010
100,0000000191,00000001,0010,00000001,0001
100,0000000191,00000002,0020,00000002,0001
100,0000000191,00000003,0030,00000003,0001
100,0000000191,00000004,0040,00000004,0001
100,0000000192,00000001,0010,00000001,0002
100,0000000192,00000002,0020,00000002,0002
100,0000000192,00000003,0030,00000003,0002
100,0000000193,00000001,0010,00000001,0003
100,0000000193,00000002,0020,00000002,0003
100,0000000193,00000003,0030,00000003,0003
100,0000000194,00000001,0010,00000001,0004
100,0000000194,00000002,0020,00000002,0004
100,0000000195,00000001,0010,00000001,0005
100,0000000195,00000002,0020,00000002,0005
100,0000000195,00000003,0030,00000003,0005
100,0000000196,00000001,0010,00000001,0006
100,0000000196,00000002,0020,00000002,0006
100,0000000197,00000001,0010,00000001,0007
100,0000000197,00000002,0020,00000002,0007
100,0000000197,00000003,0030,00000003,0007
100,0000000198,00000001,0010,00000001,0008
100,0000000198,00000002,0020,00000002,0008
100,0000000198,00000003,0030,00000003,0008
100,0000000199,00000001,0010,00000001,0009
100,0000000199,00000002,0020,00000002,0009
100,0000000200,00000001,0010,00000001,0010
100,0000000200,00000002,0020,00000002,0010
100,0000000200,00000003,0030,00000003,0010
100,0000000200,00000004,0040,00000004,0010
100,0000000201,00000001,0010,00000001,0001
100,0000000201,00000002,0020,00000002,0001
100,0000000202,00000001,0010,00000001,0002
100,0000000202,00000002,0020,00000002,0002
100,0000000203,00000001,0010,00000001,0003
100,0000000203,00000002,0020,00000002,0003
100,0000000203,00000003,0030,00000003,0003
100,0000000204,00000001,0010,00000001,0004
100,0000000204,00000002,0020,00000002,0004
100,0000000205,00000001,0010,00000001,0005
100,0000000205,00000002,0020,00000002,0005
100,0000000205,00000003,0030,00000003,0005
100,0000000206,00000001,0010,00000001,0006
100,0000000206,00000002,0020,00000002,0006
100,0000000206,00000003,0030,00000003,0006
100,0000000206,00000004,0040,00000004,0006
100,0000000207,00000001,0010,00000001,0007
100,0000000207,00000002,0020,00000002,0007
100,0000000208,00000001,0010,00000001,0008
100,0000000208,00000002,0020,00000002,0008
100,0000000209,00000001,0010,00000001,0009
100,0000000209,00000002,0020,00000002,0009
100,0000000209,00000003,0030,00000003,0009
100,0000000209,00000004,0040,00000004,0009
100,0000000210,00000001,0010,00000001,0010
100,0000000210,00000002,0020,00000002,0010
100,0000000210,00000003,0030,00000003,0010
100,0000000210,00000004,0040,00000004,0010
100,0000000211,00000001,0010,00000001,0001
100,0000000211,00000002,0020,00000002,0001
100,0000000211,00000003,0030,00000003,0001
100,0000000212,00000001,0010,00000001,0002
100,0000000212,00000002,0020,00000002,0002
100,0000000212,00000003,0030,00000003,0002
100,0000000212,00000004,0040,00000004,0002
100,0000000213,00000001,0010,00000001,0003
100,0000000213,00000002,0020,00000002,0003
100,0000000214,00000001,0010,00000001,0004
100,0000000214,00000002,0020,00000002,0004
100,0000000214,00000003,0030,00000003,0004
100,0000000215,00000001,0010,00000001,0005
100,0000000215,00000002,0020,00000002,0005
100,0000000215,00000003,0030,00000003,0005
100,0000000215,00000004,0040,00000004,0005
100,0000000216,00000001,0010,00000001,0006
100,0000000216,00000002,0020,00000002,0006
100,0000000217,00000001,0010,00000001,0007
100,0000000217,00000002,0020,00000002,0007
100,0000000217,00000003,0030,00000003,0007
100,0000000217,00000004,0040,00000004,0007
100,0000000218,00000001,0010,00000001,0008
100,0000000218,00000002,0020,00000002,0008
100,0000000218,00000003,0030,00000003,0008
100,0000000218,00000004,0040,00000004,0008
100,0000000219,00000001,0010,00000001,0009
100,0000000219,00000002,0020,00000002,0009
100,0000000219,00000003,0030,00000003,0009
100,0000000220,00000001,0010,00000001,0010
100,0000000220,00000002,0020,00000002,0010
100,0000000221,00000001,0010,00000001,0001
100,0000000221,00000002,0020,00000002,0001
100,0000000221,00000003,0030,00000003,0001
100,0000000222,00000001,0010,00000001,0002
100,0000000222,00000002,0020,00000002,0002
100,0000000222,00000003,0030,00000003,0002
100,0000000222,00000004,0040,00000004,0002
100,0000000223,00000001,0010,00000001,0003
100,0000000223,00000002,0020,00000002,0003
100,0000000223,00000003,0030,00000003,0003
100,0000000223,00000004,0040,00000004,0003
100,0000000224,00000001,0010,00000001,0004
100,0000000224,00000002,0020,00000002,0004
