MANDT,BUKRS,BELNR,GJAHR,BLART,BUDAT,BLDAT,WAERS,USNAM
100,1000,100000074,2023,DR,20230116,20230116,EUR,USER015
100,1000,100000075,2025,SA,20251013,20251013,EUR,USER049
100,1000,100000076,2022,DR,20220622,20220622,EUR,USER050
100,1000,100000077,2023,DR,20231111,20231111,EUR,USER035
100,1000,100000078,2022,RN,20221116,20221116,EUR,USER017
100,1000,100000079,2024,SA,20241017,20241017,EUR,USER012
100,1000,100000080,2025,SA,20250216,20250216,EUR,USER027
100,1000,100000081,2022,SA,20220601,20220601,EUR,USER024
100,1000,100000082,2022,SA,20220731,20220731,EUR,USER010
100,1000,100000083,2022,RN,20220512,20220512,EUR,USER049
100,1000,100000084,2025,AB,20250626,20250626,EUR,USER005
100,1000,100000085,2024,RN,20240125,20240125,EUR,USER020
100,1000,100000086,2024,RE,20240605,20240605,EUR,USER047
100,1000,100000087,2022,RN,20220906,20220906,EUR,USER045
100,1000,100000088,2024,AB,20240703,20240703,EUR,USER030
100,1000,100000089,2024,RE,20241231,20241231,EUR,USER049
100,1000,100000090,2024,AB,20241228,20241228,EUR,USER023
100,1000,100000091,2025,AB,20250719,20250719,EUR,USER036
100,1000,100000092,2024,AB,20241215,20241215,EUR,USER040
100,1000,100000093,2024,DR,20240905,20240905,EUR,USER023
100,1000,100000094,2022,KR,20220506,20220506,EUR,USER008
100,1000,100000095,2022,KR,20220118,20220118,EUR,USER029
100,1000,100000096,2022,DR,20221215,20221215,EUR,USER045
100,1000,100000097,2023,RE,20230325,20230325,EUR,USER048
100,1000,100000098,2022,RN,20220606,20220606,EUR,USER001
100,1000,100000099,2025,SA,20251103,20251103,EUR,USER041
100,1000,100000100,2024,AB,20241017,20241017,EUR,USER013
100,1000,100000101,2024,KR,20241008,20241008,EUR,USER010
100,1000,100000102,2024,SA,20240129,20240129,EUR,USER039
100,1000,100000103,2023,DR,20230622,20230622,EUR,USER012
100,1000,100000104,2022,RN,20220331,20220331,EUR,USER022
100,1000,100000105,2024,SA,20241011,20241011,EUR,USER020
100,1000,100000106,2024,SA,20240630,20240630,EUR,USER029
100,1000,100000107,2024,RN,20240806,20240806,EUR,USER050
100,1000,100000108,2022,DR,20220427,20220427,EUR,USER009
100,1000,100000109,2025,SA,20251026,20251026,EUR,USER033
100,1000,100000110,2024,RN,20240219,20240219,EUR,USER003
100,1000,100000111,2022,RN,20220921,20220921,EUR,USER023
100,1000,100000112,2025,RE,20250613,20250613,EUR,USER048
100,1000,100000113,2025,RE,20250402,20250402,EUR,USER039
100,1000,100000114,2024,RN,20240604,20240604,EUR,USER020
100,1000,100000115,2025,AB,20250424,20250424,EUR,USER030
100,1000,100000116,2024,DR,20240315,20240315,EUR,USER007
100,1000,100000117,2022,DR,20220727,20220727,EUR,USER020
100,1000,100000118,2023,AB,20231210,20231210,EUR,USER035
100,1000,100000119,2022,KR,20221209,20221209,EUR,USER013
100,1000,100000120,2022,SA,20221220,20221220,EUR,USER025
100,1000,100000121,2022,DR,20221205,20221205,EUR,USER015
100,1000,100000122,2025,AB,20251013,20251013,EUR,USER048
100,1000,100000123,2025,RN,20251128,20251128,EUR,USER047
100,1000,100000124,2023,RE,20231026,20231026,EUR,USER031
100,1000,100000125,2023,RE,20230705,20230705,EUR,USER034
100,1000,100000126,2025,RN,20250327,20250327,EUR,USER005
100,1000,100000127,2023,RE,20230208,20230208,EUR,USER017
100,1000,100000128,2025,RN,20250318,20250318,EUR,USER014
100,1000,100000129,2024,AB,20241211,20241211,EUR,USER043
100,1000,100000130,2025,SA,20250306,20250306,EUR,USER034
100,1000,100000131,2022,SA,20220612,20220612,EUR,USER048
100,1000,100000132,2025,DR,20250505,20250505,EUR,USER015
100,1000,100000133,2023,RE,20230719,20230719,EUR,USER015
100,1000,100000134,2023,SA,20231117,20231117,EUR,USER028
100,1000,100000135,2023,SA,20231019,20231019,EUR,USER041
100,1000,100000136,2022,RN,20221212,20221212,EUR,USER043
100,1000,100000137,2022,SA,20221223,20221223,EUR,USER001
100,1000,100000138,2024,DR,20240614,20240614,EUR,USER040
100,1000,100000139,2024,KR,20240924,20240924,EUR,USER017
100,1000,100000140,2023,SA,20231102,20231102,EUR,USER050
100,1000,100000141,2024,RE,20240927,20240927,EUR,USER012
100,1000,100000142,2025,AB,20251201,20251201,EUR,USER003
100,1000,100000143,2024,KR,20241125,20241125,EUR,USER031
100,1000,100000144,2022,SA,20220302,20220302,EUR,USER039
100,1000,100000145,2024,KR,20240710,20240710,EUR,USER021
100,1000,100000146,2024,KR,20240905,20240905,EUR,USER025
100,1000,100000147,2025,KR,20250427,20250427,EUR,USER008
100,1000,100000148,2025,RN,20250711,20250711,EUR,USER022
100,1000,100000149,2023,SA,20231228,20231228,EUR,USER044
100,1000,100000150,2022,KR,20220529,20220529,EUR,USER009
100,1000,100000151,2024,RN,20240209,20240209,EUR,USER042
100,1000,100000152,2022,AB,20220828,20220828,EUR,USER041
100,1000,100000153,2022,RN,20220629,20220629,EUR,USER032
100,1000,100000154,2024,SA,20241027,20241027,EUR,USER020
100,1000,100000155,2025,RE,20250106,20250106,EUR,USER029
100,1000,100000156,2025,DR,20250627,20250627,EUR,USER032
100,1000,100000157,2022,RN,20220401,20220401,EUR,USER034
100,1000,100000158,2022,DR,20221106,20221106,EUR,USER011
100,1000,100000159,2022,DR,20220307,20220307,EUR,USER002
100,1000,100000160,2025,RE,20250903,20250903,EUR,USER018
100,1000,100000161,2022,RN,20221015,20221015,EUR,USER028
100,1000,100000162,2022,KR,20220202,20220202,EUR,USER020
100,1000,100000163,2022,AB,20220912,20220912,EUR,USER048
100,1000,100000164,2024,AB,20240718,20240718,EUR,USER006
100,1000,100000165,2025,AB,20250505,20250505,EUR,USER020
100,1000,100000166,2025,RN,20250430,20250430,EUR,USER037
100,1000,100000167,2023,AB,20230323,20230323,EUR,USER020
100,1000,100000168,2024,RE,20241010,20241010,EUR,USER035
100,1000,100000169,2023,AB,20230125,20230125,EUR,USER050
100,1000,100000170,2022,AB,20220521,20220521,EUR,USER040
100,1000,100000171,2022,RN,20221208,20221208,EUR,USER029
100,1000,100000172,2025,DR,20251027,20251027,EUR,USER010
100,1000,100000173,2024,RE,20240714,20240714,EUR,USER038
100,1000,100000174,2024,RE,20240123,20240123,EUR,USER009
100,1000,100000175,2023,RN,20230108,20230108,EUR,USER032
100,1000,100000176,2022,AB,20220701,20220701,EUR,USER036
100,1000,100000177,2023,KR,20230702,20230702,EUR,USER005
100,1000,100000178,2022,SA,20220801,20220801,EUR,USER047
100,1000,100000179,2022,KR,20221006,20221006,EUR,USER044
100,1000,100000180,2024,SA,20240602,20240602,EUR,USER027
100,1000,100000181,2023,DR,20230527,20230527,EUR,USER025
100,1000,100000182,2025,SA,20251208,20251208,EUR,USER019
100,1000,100000183,2023,SA,20230910,20230910,EUR,USER008
100,1000,100000184,2025,RE,20250908,20250908,EUR,USER031
100,1000,100000185,2022,KR,20220123,20220123,EUR,USER034
100,1000,100000186,2022,DR,20220317,20220317,EUR,USER037
100,1000,100000187,2023,RE,20230525,20230525,EUR,USER044
100,1000,100000188,2024,KR,20240706,20240706,EUR,USER024
100,1000,100000189,2024,KR,20240401,20240401,EUR,USER009
100,1000,100000190,2022,RN,20220529,20220529,EUR,USER016
100,1000,100000191,2022,SA,20220727,20220727,EUR,USER035
100,1000,100000192,2023,DR,20230826,20230826,EUR,USER005
100,1000,100000193,2024,RN,20240421,20240421,EUR,USER041
100,1000,100000194,2024,RE,20240826,20240826,EUR,USER006
100,1000,100000195,2022,AB,20220902,20220902,EUR,USER035
100,1000,100000196,2025,RN,20251012,20251012,EUR,USER026
100,1000,100000197,2025,KR,20250612,20250612,EUR,USER043
100,1000,100000198,2023,KR,20230114,20230114,EUR,USER030
100,1000,100000199,2023,KR,20230103,20230103,EUR,USER009
100,1000,100000200,2023,DR,20230127,20230127,EUR,USER046
100,1000,100000201,2025,SA,20251226,20251226,EUR,USER041
100,1000,100000202,2025,SA,20250627,20250627,EUR,USER022
100,1000,100000203,2025,SA,20250807,20250807,EUR,USER039
100,1000,100000204,2024,RN,20241204,20241204,EUR,USER050
100,1000,100000205,2024,RE,20240614,20240614,EUR,USER011
100,1000,100000206,2025,RN,20250905,20250905,EUR,USER045
100,1000,100000207,2023,SA,20230812,20230812,EUR,USER023
100,1000,100000208,2023,RE,20230328,20230328,EUR,USER047
100,1000,100000209,2025,KR,20250309,20250309,EUR,USER024
100,1000,100000210,2025,KR,20250213,20250213,EUR,USER006
100,1000,100000211,2023,AB,20230705,20230705,EUR,USER032
100,1000,100000212,2024,DR,20241124,20241124,EUR,USER050
100,1000,100000213,2024,DR,20240214,20240214,EUR,USER004
100,1000,100000214,2023,RN,20230926,20230926,EUR,USER031
100,1000,100000215,2023,RN,20230802,20230802,EUR,USER050
100,1000,100000216,2023,AB,20230707,20230707,EUR,USER024
100,1000,100000217,2023,AB,20230514,20230514,EUR,USER024
100,1000,100000218,2022,RE,20220822,20220822,EUR,USER029
100,1000,100000219,2023,SA,20230110,20230110,EUR,USER048
100,1000,100000220,2023,KR,20231229,20231229,EUR,USER019
100,1000,100000221,2023,SA,20230726,20230726,EUR,USER019
100,1000,100000222,2024,RE,20241229,20241229,EUR,USER026
100,1000,100000223,2023,RN,20230129,20230129,EUR,USER035
100,1000,100000224,2025,RN,20250125,20250125,EUR,USER003
100,1000,100000225,2024,RE,20240606,20240606,EUR,USER013
100,1000,100000226,2024,AB,20240116,20240116,EUR,USER034
100,1000,100000227,2024,DR,20240708,20240708,EUR,USER020
100,1000,100000228,2023,AB,20230815,20230815,EUR,USER006
100,1000,100000229,2025,KR,20250618,20250618,EUR,USER029
100,1000,100000230,2025,DR,20250405,20250405,EUR,USER041
100,1000,100000231,2023,AB,20230429,20230429,EUR,USER005
100,1000,100000232,2024,DR,20241020,20241020,EUR,USER035
100,1000,100000233,2025,AB,20250329,20250329,EUR,USER034
100,1000,100000234,2025,KR,20251211,20251211,EUR,USER038
100,1000,100000235,2025,KR,20251008,20251008,EUR,USER039
100,1000,100000236,2024,AB,20240803,20240803,EUR,USER041
100,1000,100000237,2024,RE,20240125,20240125,EUR,USER037
100,1000,100000238,2025,SA,20250829,20250829,EUR,USER038
100,1000,100000239,2023,KR,20231227,20231227,EUR,USER044
100,1000,100000240,2023,RE,20230115,20230115,EUR,USER037
100,1000,100000241,2022,RE,20221225,20221225,EUR,USER009
100,1000,100000242,2023,SA,20230705,20230705,EUR,USER040
100,1000,100000243,2025,AB,20250502,20250502,EUR,USER039
100,1000,100000244,2024,KR,20241215,20241215,EUR,USER017
100,1000,100000245,2022,RE,20220724,20220724,EUR,USER028
100,1000,100000246,2022,KR,20220917,20220917,EUR,USER038
100,1000,100000247,2025,SA,20250721,20250721,EUR,USER038
100,1000,100000248,2025,RN,20250526,20250526,EUR,USER001
100,1000,100000249,2022,RN,20221114,20221114,EUR,USER032
100,1000,100000250,2023,DR,20231029,20231029,EUR,USER050
100,1000,100000251,2025,DR,20251022,20251022,EUR,USER037
100,1000,100000252,2024,SA,20240428,20240428,EUR,USER011
100,1000,100000253,2024,SA,20240402,20240402,EUR,USER007
100,1000,100000254,2023,AB,20230708,20230708,EUR,USER037
100,1000,100000255,2025,RN,20251015,20251015,EUR,USER024
100,1000,100000256,2022,RE,20220426,20220426,EUR,USER028
100,1000,100000257,2024,RN,20240113,20240113,EUR,USER032
100,1000,100000258,2022,RN,20220331,20220331,EUR,USER003
100,1000,100000259,2022,AB,20221126,20221126,EUR,USER023
100,1000,100000260,2022,DR,20220912,20220912,EUR,USER028
100,1000,100000261,2024,DR,20240707,20240707,EUR,USER001
100,1000,100000262,2022,RE,20220314,20220314,EUR,USER043
100,1000,100000263,2022,DR,20220814,20220814,EUR,USER049
100,1000,100000264,2022,AB,20221116,20221116,EUR,USER037
100,1000,100000265,2024,RN,20240202,20240202,EUR,USER023
100,1000,100000266,2025,AB,20251213,20251213,EUR,USER024
100,1000,100000267,2024,SA,20241011,20241011,EUR,USER032
100,1000,100000268,2025,RE,20250309,20250309,EUR,USER049
100,1000,100000269,2024,RN,20240529,20240529,EUR,USER040
100,1000,100000270,2023,DR,20230129,20230129,EUR,USER033
100,1000,100000271,2024,RN,20240521,20240521,EUR,USER010
100,1000,100000272,2025,RN,20250724,20250724,EUR,USER038
100,1000,100000273,2024,AB,20241231,20241231,EUR,USER035
100,1000,100000274,2023,KR,20230103,20230103,EUR,USER005
100,1000,100000275,2024,RN,20240807,20240807,EUR,USER009
100,1000,100000276,2024,RN,20241210,20241210,EUR,USER044
100,1000,100000277,2024,RN,20240307,20240307,EUR,USER003
100,1000,100000278,2023,SA,20231012,20231012,EUR,USER023
100,1000,100000279,2025,AB,20251227,20251227,EUR,USER035
100,1000,100000280,2024,DR,20240226,20240226,EUR,USER035
100,1000,100000281,2022,AB,20220225,20220225,EUR,USER014
100,1000,100000282,2025,KR,20250224,20250224,EUR,USER002
100,1000,100000283,2025,SA,20250830,20250830,EUR,USER006
100,1000,100000284,2022,RN,20220315,20220315,EUR,USER032
100,1000,100000285,2025,RN,20250914,20250914,EUR,USER015
100,1000,100000286,2023,DR,20230316,20230316,EUR,USER042
100,1000,100000287,2024,SA,20240419,20240419,EUR,USER031
100,1000,100000288,2025,AB,20250205,20250205,EUR,USER034
100,1000,100000289,2024,DR,20240303,20240303,EUR,USER040
100,1000,100000290,2022,KR,20220930,20220930,EUR,USER039
100,1000,100000291,2025,SA,20250305,20250305,EUR,USER040
100,1000,100000292,2025,KR,20251109,20251109,EUR,USER050
100,1000,100000293,2025,RE,20250226,20250226,EUR,USER042
100,1000,100000294,2022,SA,20221126,20221126,EUR,USER011
100,1000,100000295,2022,RE,20220417,20220417,EUR,USER029
100,1000,100000296,2023,DR,20230215,20230215,EUR,USER042
100,1000,100000297,2024,RE,20241219,20241219,EUR,USER009
100,1000,100000298,2024,DR,20240319,20240319,EUR,USER003
100,1000,100000299,2024,DR,20240908,20240908,EUR,USER047
100,1000,100000300,2025,AB,20250722,20250722,EUR,USER025
100,1000,100000301,2023,AB,20231128,20231128,EUR,USER048
100,1000,100000302,2022,SA,20220313,20220313,EUR,USER003
100,1000,100000303,2024,KR,20240308,20240308,EUR,USER036
100,1000,100000304,2024,RE,20240319,20240319,EUR,USER013
100,1000,100000305,2025,DR,20250730,20250730,EUR,USER015
100,1000,100000306,2023,AB,20231229,20231229,EUR,USER026
100,1000,100000307,2024,RE,20241116,20241116,EUR,USER037
100,1000,100000308,2022,DR,20221030,20221030,EUR,USER042
100,1000,100000309,2022,RE,20220517,20220517,EUR,USER009
100,1000,100000310,2025,KR,20250628,20250628,EUR,USER045
100,1000,100000311,2022,KR,20220712,20220712,EUR,USER022
100,1000,100000312,2023,SA,20230816,20230816,EUR,USER034
100,1000,100000313,2025,DR,20250617,20250617,EUR,USER008
100,1000,100000314,2024,SA,20240606,20240606,EUR,USER020
100,1000,100000315,2024,SA,20240423,20240423,EUR,USER008
100,1000,100000316,2024,DR,20240602,20240602,EUR,USER036
100,1000,100000317,2022,DR,20220830,20220830,EUR,USER009
100,1000,100000318,2025,RE,20251124,20251124,EUR,USER036
100,1000,100000319,2024,KR,20240115,20240115,EUR,USER032
100,1000,100000320,2025,SA,20250830,20250830,EUR,USER034
100,1000,100000321,2022,KR,20220214,20220214,EUR,USER047
100,1000,100000322,2025,RE,20250818,20250818,EUR,USER048
100,1000,100000323,2023,KR,20231023,20231023,EUR,USER045
100,1000,100000324,2024,RN,20241031,20241031,EUR,USER016
100,1000,100000325,2024,KR,20240627,20240627,EUR,USER012
100,1000,100000326,2025,KR,20250921,20250921,EUR,USER012
100,1000,100000327,2022,RE,20220502,20220502,EUR,USER033
100,1000,100000328,2025,RN,20250320,20250320,EUR,USER006
100,1000,100000329,2023,RN,20230102,20230102,EUR,USER005
100,1000,100000330,2023,RE,20230716,20230716,EUR,USER040
100,1000,100000331,2022,SA,20220723,20220723,EUR,USER005
100,1000,100000332,2025,KR,20250829,20250829,EUR,USER003
100,1000,100000333,2024,KR,20240516,20240516,EUR,USER045
100,1000,100000334,2022,SA,20220124,20220124,EUR,USER030
100,1000,100000335,2023,AB,20230602,20230602,EUR,USER028
100,1000,100000336,2025,RE,20250529,20250529,EUR,USER031
100,1000,100000337,2025,SA,20251228,20251228,EUR,USER046
100,1000,100000338,2023,AB,20230630,20230630,EUR,USER045
100,1000,100000339,2024,RN,20240227,20240227,EUR,USER001
100,1000,100000340,2025,DR,20251026,20251026,EUR,USER023
100,1000,100000341,2024,KR,20240203,20240203,EUR,USER032
100,1000,100000342,2022,AB,20220828,20220828,EUR,USER036
100,1000,100000343,2022,SA,20220806,20220806,EUR,USER033
100,1000,100000344,2022,RE,20220613,20220613,EUR,USER002
100,1000,100000345,2025,KR,20250921,20250921,EUR,USER012
100,1000,100000346,2023,KR,20231215,20231215,EUR,USER036
100,1000,100000347,2024,AB,20240528,20240528,EUR,USER001
100,1000,100000348,2025,SA,20250531,20250531,EUR,USER013
100,1000,100000349,2025,DR,20251101,20251101,EUR,USER003
100,1000,100000350,2025,SA,20251128,20251128,EUR,USER035
100,1000,100000351,2023,DR,20230301,20230301,EUR,USER009
100,1000,100000352,2022,SA,20220528,20220528,EUR,USER001
100,1000,100000353,2023,RN,20230530,20230530,EUR,USER018
100,1000,100000354,2022,RE,20220212,20220212,EUR,USER022
100,1000,100000355,2023,AB,20230615,20230615,EUR,USER015
100,1000,100000356,2025,DR,20251130,20251130,EUR,USER041
100,1000,100000357,2023,RE,20230721,20230721,EUR,USER045
100,1000,100000358,2025,DR,20250410,20250410,EUR,USER022
100,1000,100000359,2025,AB,20250815,20250815,EUR,USER034
100,1000,100000360,2025,AB,20251107,20251107,EUR,USER035
100,1000,100000361,2024,SA,20241112,20241112,EUR,USER020
100,1000,100000362,2025,DR,20250321,20250321,EUR,USER007
100,1000,100000363,2025,DR,20250325,20250325,EUR,USER040
100,1000,100000364,2024,KR,20240725,20240725,EUR,USER006
100,1000,100000365,2022,AB,20220706,20220706,EUR,USER005
100,1000,100000366,2025,RN,20250724,20250724,EUR,USER009
100,1000,100000367,2025,SA,20250305,20250305,EUR,USER048
100,1000,100000368,2024,DR,20240319,20240319,EUR,USER041
100,1000,100000369,2024,RN,20241203,20241203,EUR,USER006
100,1000,100000370,2024,AB,20240607,20240607,EUR,USER048
100,1000,100000371,2022,DR,20220416,20220416,EUR,USER010
100,1000,100000372,2023,DR,20230108,20230108,EUR,USER013
100,1000,100000373,2025,AB,20250717,20250717,EUR,USER016
100,1000,100000374,2023,RN,20230727,20230727,EUR,USER027
100,1000,100000375,2024,AB,20240507,20240507,EUR,USER013
100,1000,100000376,2025,RN,20250925,20250925,EUR,USER013
100,1000,100000377,2023,RE,20231128,20231128,EUR,USER046
100,1000,100000378,2023,RN,20230112,20230112,EUR,USER045
100,1000,100000379,2023,AB,20230216,20230216,EUR,USER008
100,1000,100000380,2024,AB,20240121,20240121,EUR,USER008
100,1000,100000381,2024,KR,20240405,20240405,EUR,USER041
100,1000,100000382,2022,AB,20221230,20221230,EUR,USER004
100,1000,100000383,2023,AB,20230805,20230805,EUR,USER023
100,1000,100000384,2022,AB,20220215,20220215,EUR,USER022
100,1000,100000385,2022,DR,20220212,20220212,EUR,USER017
100,1000,100000386,2022,RE,20221001,20221001,EUR,USER047
100,1000,100000387,2023,KR,20230212,20230212,EUR,USER012
100,1000,100000388,2022,DR,20220629,20220629,EUR,USER012
100,1000,100000389,2022,RE,20220907,20220907,EUR,USER033
100,1000,100000390,2022,KR,20220618,20220618,EUR,USER032
100,1000,100000391,2022,RN,20220906,20220906,EUR,USER012
100,1000,100000392,2025,AB,20250608,20250608,EUR,USER013
100,1000,100000393,2023,SA,20230115,20230115,EUR,USER025
100,1000,100000394,2023,AB,20230808,20230808,EUR,USER036
100,1000,100000395,2025,RE,20250208,20250208,EUR,USER032
100,1000,100000396,2025,RN,20250403,20250403,EUR,USER030
100,1000,100000397,2025,RN,20250315,20250315,EUR,USER001
100,1000,100000398,2024,DR,20240727,20240727,EUR,USER020
100,1000,100000399,2024,DR,20241231,20241231,EUR,USER015
100,1000,100000400,2024,SA,20240201,20240201,EUR,USER017
100,1000,100000401,2024,AB,20240315,20240315,EUR,USER013
100,1000,100000402,2024,AB,20240128,20240128,EUR,USER015
100,1000,100000403,2022,SA,20220826,20220826,EUR,USER027
100,1000,100000404,2025,RN,20250601,20250601,EUR,USER033
100,1000,100000405,2022,RE,20220713,20220713,EUR,USER014
100,1000,100000406,2022,RE,20220316,20220316,EUR,USER003
100,1000,100000407,2022,RN,20220731,20220731,EUR,USER044
100,1000,100000408,2025,SA,20250513,20250513,EUR,USER025
100,1000,100000409,2025,DR,20251120,20251120,EUR,USER001
100,1000,100000410,2025,RE,20250515,20250515,EUR,USER020
100,1000,100000411,2022,SA,20220725,20220725,EUR,USER042
100,1000,100000412,2025,RN,20251018,20251018,EUR,USER024
100,1000,100000413,2023,AB,20230728,20230728,EUR,USER029
100,1000,100000414,2024,RE,20241213,20241213,EUR,USER009
100,1000,100000415,2022,AB,20220322,20220322,EUR,USER016
100,1000,100000416,2022,RN,20221029,20221029,EUR,USER004
100,1000,100000417,2023,AB,20230408,20230408,EUR,USER029
100,1000,100000418,2023,AB,20231013,20231013,EUR,USER035
100,1000,100000419,2023,RN,20231008,20231008,EUR,USER024
100,1000,100000420,2022,AB,20220924,20220924,EUR,USER043
100,1000,100000421,2023,SA,20230826,20230826,EUR,USER011
100,1000,100000422,2023,SA,20230710,20230710,EUR,USER018
100,1000,100000423,2023,SA,20230710,20230710,EUR,USER033
100,1000,100000424,2025,DR,20250330,20250330,EUR,USER023
100,1000,100000425,2024,SA,20240704,20240704,EUR,USER036
100,1000,100000426,2022,KR,20220106,20220106,EUR,USER003
100,1000,100000427,2023,DR,20231204,20231204,EUR,USER039
100,1000,100000428,2023,RN,20230918,20230918,EUR,USER025
100,1000,100000429,2022,RE,20220509,20220509,EUR,USER017
100,1000,100000430,2025,RN,20250625,20250625,EUR,USER049
100,1000,100000431,2025,SA,20251209,20251209,EUR,USER012
100,1000,100000432,2024,KR,20241006,20241006,EUR,USER010
100,1000,100000433,2025,SA,20251026,20251026,EUR,USER032
100,1000,100000434,2022,RE,20221028,20221028,EUR,USER006
100,1000,100000435,2023,DR,20230214,20230214,EUR,USER041
100,1000,100000436,2023,DR,20230518,20230518,EUR,USER037
100,1000,100000437,2023,RE,20230622,20230622,EUR,USER020
100,1000,100000438,2025,RE,20250314,20250314,EUR,USER044
100,1000,100000439,2024,RN,20240501,20240501,EUR,USER049
100,1000,100000440,2025,KR,20250924,20250924,EUR,USER028
100,1000,100000441,2022,DR,20220426,20220426,EUR,USER011
100,1000,100000442,2024,RE,20241113,20241113,EUR,USER030
100,1000,100000443,2025,SA,20250116,20250116,EUR,USER004
100,1000,100000444,2024,RN,20240512,20240512,EUR,USER022
100,1000,100000445,2025,RE,20250922,20250922,EUR,USER001
100,1000,100000446,2023,DR,20230818,20230818,EUR,USER036
100,1000,100000447,2024,RE,20240426,20240426,EUR,USER049
100,1000,100000448,2024,SA,20241229,20241229,EUR,USER043
