MANDT,INFNR,EKORG,WERKS,NETPR,WAERS,PEINH
100,INF0000095,1000,1000,6.85,EUR,10
100,INF0000096,1000,1000,11.89,EUR,10
100,INF0000097,1000,1200,3.82,EUR,10
100,INF0000098,1000,1300,6.52,EUR,1
100,INF0000099,1000,1400,5.97,EUR,10
100,INF0000100,1000,1300,7.72,EUR,100
100,INF0000101,1000,1000,14.5,EUR,1
100,INF0000102,1000,1400,4.13,EUR,100
100,INF0000103,1000,1000,7.83,EUR,100
100,INF0000104,1000,1000,13.31,EUR,10
100,INF0000105,1000,1000,7.35,EUR,1
100,INF0000106,1000,1400,6.7,EUR,100
100,INF0000107,1000,1200,11.45,EUR,10
100,INF0000108,1000,1000,16.83,EUR,10
100,INF0000109,1000,1000,18.24,EUR,100
100,INF0000110,1000,1100,12.75,EUR,1
100,INF0000111,1000,1400,18.44,EUR,1
100,INF0000112,1000,1200,18.17,EUR,100
100,INF0000113,1000,1100,16.76,EUR,10
100,INF0000114,1000,1400,17.15,EUR,1
100,INF0000115,1000,1400,2.91,EUR,100
100,INF0000116,1000,1400,4.15,EUR,100
100,INF0000117,1000,1100,10.96,EUR,10
100,INF0000118,1000,1400,10.32,EUR,10
100,INF0000119,1000,1000,19.41,EUR,1
100,INF0000120,1000,1200,14.45,EUR,10
100,INF0000121,1000,1400,17.1,EUR,1
100,INF0000122,1000,1300,5.82,EUR,1
100,INF0000123,1000,1100,15.26,EUR,10
100,INF0000124,1000,1300,13.2,EUR,100
100,INF0000125,1000,1300,11.59,EUR,10
100,INF0000126,1000,1300,8.67,EUR,10
100,INF0000127,1000,1100,4.47,EUR,100
100,INF0000128,1000,1300,15.78,EUR,10
100,INF0000129,1000,1100,8.9,EUR,1
100,INF0000130,1000,1200,7.67,EUR,1
100,INF0000131,1000,1400,17.71,EUR,10
100,INF0000132,1000,1100,12.26,EUR,1
100,INF0000133,1000,1100,6.63,EUR,100
100,INF0000134,1000,1300,14.35,EUR,10
100,INF0000135,1000,1400,12.19,EUR,100
100,INF0000136,1000,1400,0.56,EUR,100
100,INF0000137,1000,1300,9.13,EUR,1
100,INF0000138,1000,1300,18.73,EUR,100
100,INF0000139,1000,1400,1.51,EUR,1
100,INF0000140,1000,1100,8.33,EUR,10
100,INF0000141,1000,1400,10.99,EUR,10
100,INF0000142,1000,1100,11.47,EUR,10
100,INF0000143,1000,1100,1.86,EUR,10
100,INF0000144,1000,1000,17.74,EUR,1
100,INF0000145,1000,1200,14.01,EUR,100
100,INF0000146,1000,1400,17.23,EUR,10
100,INF0000147,1000,1000,3.77,EUR,1
100,INF0000148,1000,1300,18.76,EUR,100
100,INF0000149,1000,1000,4.07,EUR,10
100,INF0000150,1000,1400,5.52,EUR,1
100,INF0000151,1000,1200,14.9,EUR,1
100,INF0000152,1000,1100,9.28,EUR,10
100,INF0000153,1000,1100,4.35,EUR,1
100,INF0000154,1000,1200,15.08,EUR,1
100,INF0000155,1000,1000,18.16,EUR,1
100,INF0000156,1000,1000,5.31,EUR,100
100,INF0000157,1000,1100,10.15,EUR,1
100,INF0000158,1000,1000,13.73,EUR,10
100,INF0000159,1000,1300,0.62,EUR,10
100,INF0000160,1000,1300,9.17,EUR,10
100,INF0000161,1000,1100,19.19,EUR,100
100,INF0000162,1000,1200,8.14,EUR,10
100,INF0000163,1000,1100,10.75,EUR,10
100,INF0000164,1000,1100,5.58,EUR,1
100,INF0000165,1000,1200,14.75,EUR,1
100,INF0000166,1000,1300,15.41,EUR,100
100,INF0000167,1000,1200,15.05,EUR,1
100,INF0000168,1000,1400,1.7,EUR,1
100,INF0000169,1000,1100,3.44,EUR,1
100,INF0000170,1000,1000,1.48,EUR,1
100,INF0000171,1000,1100,4.38,EUR,10
100,INF0000172,1000,1000,1.47,EUR,1
100,INF0000173,1000,1200,12.92,EUR,10
100,INF0000174,1000,1400,17.28,EUR,1
100,INF0000175,1000,1100,17.06,EUR,100
100,INF0000176,1000,1300,2.08,EUR,1
100,INF0000177,1000,1200,2.66,EUR,10
100,INF0000178,1000,1400,16.41,EUR,10
100,INF0000179,1000,1300,2.47,EUR,1
100,INF0000180,1000,1300,1.8,EUR,100
100,INF0000181,1000,1400,18.55,EUR,100
100,INF0000182,1000,1200,8.98,EUR,10
100,INF0000183,1000,1200,13.51,EUR,10
100,INF0000184,1000,1100,12.84,EUR,100
100,INF0000185,1000,1000,1.31,EUR,100
100,INF0000186,1000,1000,5.2,EUR,100
100,INF0000187,1000,1400,8.34,EUR,1
100,INF0000188,1000,1400,19.5,EUR,1
100,INF0000189,1000,1300,19.46,EUR,100
100,INF0000190,1000,1100,7.57,EUR,10
100,INF0000191,1000,1200,3.56,EUR,1
100,INF0000192,1000,1400,13.6,EUR,100
100,INF0000193,1000,1100,4.9,EUR,100
100,INF0000194,1000,1400,2.82,EUR,1
100,INF0000195,1000,1400,11.88,EUR,1
100,INF0000196,1000,1000,18.95,EUR,10
100,INF0000197,1000,1100,14.68,EUR,1
100,INF0000198,1000,1300,6.13,EUR,10
100,INF0000199,1000,1000,6.01,EUR,100
100,INF0000200,1000,1000,16.1,EUR,1
100,INF0000201,1000,1000,16.39,EUR,100
100,INF0000202,1000,1200,9.99,EUR,100
100,INF0000203,1000,1400,16.58,EUR,100
100,INF0000204,1000,1400,14.58,EUR,10
100,INF0000205,1000,1200,6.73,EUR,100
100,INF0000206,1000,1000,1.59,EUR,10
100,INF0000207,1000,1300,0.71,EUR,10
100,INF0000208,1000,1200,2.81,EUR,100
100,INF0000209,1000,1100,8.52,EUR,10
100,INF0000210,1000,1000,18.12,EUR,1
100,INF0000211,1000,1100,6.45,EUR,10
100,INF0000212,1000,1100,2.77,EUR,10
100,INF0000213,1000,1000,11.65,EUR,10
100,INF0000214,1000,1300,3.15,EUR,10
100,INF0000215,1000,1400,7.36,EUR,10
100,INF0000216,1000,1300,4.31,EUR,10
100,INF0000217,1000,1100,17.52,EUR,100
100,INF0000218,1000,1100,11.04,EUR,100
100,INF0000219,1000,1300,18.84,EUR,1
100,INF0000220,1000,1400,3.36,EUR,100
100,INF0000221,1000,1400,6.3,EUR,100
100,INF0000222,1000,1200,16.86,EUR,1
100,INF0000223,1000,1100,3.01,EUR,1
100,INF0000224,1000,1300,13.51,EUR,1
100,INF0000225,1000,1300,18.94,EUR,10
100,INF0000226,1000,1200,1.13,EUR,1
100,INF0000227,1000,1400,9.4,EUR,10
100,INF0000228,1000,1300,17.63,EUR,10
100,INF0000229,1000,1400,9.9,EUR,1
100,INF0000230,1000,1400,3.2,EUR,100
100,INF0000231,1000,1200,17.5,EUR,10
100,INF0000232,1000,1000,15.48,EUR,1
100,INF0000233,1000,1000,11.43,EUR,100
100,INF0000234,1000,1000,15.78,EUR,100
100,INF0000235,1000,1100,18.9,EUR,10
100,INF0000236,1000,1400,6.93,EUR,10
100,INF0000237,1000,1000,9.8,EUR,100
100,INF0000238,1000,1200,3.23,EUR,100
100,INF0000239,1000,1000,12.91,EUR,1
100,INF0000240,1000,1000,7.71,EUR,10
100,INF0000241,1000,1200,12.32,EUR,10
100,INF0000242,1000,1300,14.8,EUR,10
100,INF0000243,1000,1100,15.46,EUR,100
100,INF0000244,1000,1200,9.55,EUR,1
100,INF0000245,1000,1200,17.96,EUR,100
100,INF0000246,1000,1300,1.13,EUR,10
100,INF0000247,1000,1100,12.96,EUR,10
100,INF0000248,1000,1400,13.77,EUR,100
100,INF0000249,1000,1400,12.04,EUR,10
100,INF0000250,1000,1100,9.0,EUR,1
100,INF0000251,1000,1300,15.5,EUR,100
100,INF0000252,1000,1100,10.98,EUR,1
100,INF0000253,1000,1200,14.58,EUR,1
100,INF0000254,1000,1100,10.0,EUR,10
100,INF0000255,1000,1300,5.27,EUR,1
100,INF0000256,1000,1400,19.35,EUR,1
100,INF0000257,1000,1300,14.51,EUR,100
100,INF0000258,1000,1000,10.28,EUR,1
100,INF0000259,1000,1400,2.17,EUR,10
100,INF0000260,1000,1100,10.12,EUR,10
100,INF0000261,1000,1000,1.64,EUR,10
100,INF0000262,1000,1000,6.82,EUR,10
100,INF0000263,1000,1100,15.9,EUR,1
100,INF0000264,1000,1300,2.51,EUR,10
100,INF0000265,1000,1200,18.64,EUR,100
100,INF0000266,1000,1300,19.18,EUR,1
100,INF0000267,1000,1100,10.05,EUR,100
100,INF0000268,1000,1300,7.61,EUR,1
100,INF0000269,1000,1100,2.77,EUR,100
100,INF0000270,1000,1000,12.06,EUR,1
100,INF0000271,1000,1300,4.47,EUR,100
100,INF0000272,1000,1300,12.37,EUR,10
100,INF0000273,1000,1000,11.33,EUR,10
100,INF0000274,1000,1000,9.55,EUR,1
100,INF0000275,1000,1400,9.01,EUR,1
100,INF0000276,1000,1400,7.57,EUR,1
100,INF0000277,1000,1100,6.2,EUR,10
100,INF0000278,1000,1000,8.22,EUR,10
100,INF0000279,1000,1300,11.05,EUR,1
100,INF0000280,1000,1200,4.3,EUR,1
100,INF0000281,1000,1400,15.24,EUR,100
100,INF0000282,1000,1100,14.88,EUR,10
100,INF0000283,1000,1100,18.11,EUR,1
100,INF0000284,1000,1400,0.74,EUR,1
100,INF0000285,1000,1200,3.82,EUR,1
100,INF0000286,1000,1400,17.5,EUR,1
100,INF0000287,1000,1100,0.87,EUR,1
100,INF0000288,1000,1100,1.81,EUR,1
100,INF0000289,1000,1200,18.05,EUR,100
100,INF0000290,1000,1200,14.87,EUR,100
100,INF0000291,1000,1200,10.67,EUR,1
100,INF0000292,1000,1100,7.68,EUR,1
100,INF0000293,1000,1200,6.35,EUR,1
100,INF0000294,1000,1300,11.77,EUR,10
100,INF0000295,1000,1200,1.2,EUR,100
100,INF0000296,1000,1400,19.73,EUR,10
100,INF0000297,1000,1100,17.01,EUR,10
100,INF0000298,1000,1000,9.87,EUR,100
100,INF0000299,1000,1100,0.59,EUR,100
100,INF0000300,1000,1000,4.48,EUR,100
100,INF0000301,1000,1400,4.58,EUR,100
100,INF0000302,1000,1000,7.2,EUR,1
100,INF0000303,1000,1100,16.35,EUR,100
100,INF0000304,1000,1000,9.76,EUR,1
100,INF0000305,1000,1200,6.32,EUR,10
100,INF0000306,1000,1400,13.65,EUR,1
100,INF0000307,1000,1400,18.27,EUR,1
100,INF0000308,1000,1300,11.33,EUR,100
100,INF0000309,1000,1100,12.4,EUR,10
100,INF0000310,1000,1100,14.19,EUR,1
100,INF0000311,1000,1000,6.2,EUR,100
100,INF0000312,1000,1300,9.72,EUR,100
100,INF0000313,1000,1400,13.69,EUR,100
100,INF0000314,1000,1100,19.56,EUR,1
100,INF0000315,1000,1200,4.55,EUR,1
100,INF0000316,1000,1300,2.66,EUR,100
100,INF0000317,1000,1000,3.22,EUR,100
100,INF0000318,1000,1400,10.57,EUR,10
100,INF0000319,1000,1300,1.32,EUR,100
100,INF0000320,1000,1100,11.7,EUR,10
100,INF0000321,1000,1200,6.21,EUR,10
100,INF0000322,1000,1100,13.4,EUR,10
100,INF0000323,1000,1200,12.99,EUR,10
100,INF0000324,1000,1300,5.63,EUR,100
100,INF0000325,1000,1400,12.5,EUR,100
100,INF0000326,1000,1400,15.02,EUR,1
100,INF0000327,1000,1400,1.0,EUR,100
100,INF0000328,1000,1300,19.26,EUR,1
100,INF0000329,1000,1100,17.42,EUR,10
100,INF0000330,1000,1300,10.66,EUR,100
100,INF0000331,1000,1000,3.8,EUR,10
100,INF0000332,1000,1100,12.74,EUR,10
100,INF0000333,1000,1000,17.46,EUR,100
100,INF0000334,1000,1100,17.39,EUR,100
100,INF0000335,1000,1300,19.55,EUR,10
100,INF0000336,1000,1200,8.85,EUR,1
100,INF0000337,1000,1200,16.99,EUR,100
100,INF0000338,1000,1100,7.46,EUR,10
100,INF0000339,1000,1400,2.07,EUR,100
100,INF0000340,1000,1000,15.39,EUR,1
100,INF0000341,1000,1300,17.38,EUR,1
100,INF0000342,1000,1100,15.33,EUR,1
100,INF0000343,1000,1000,10.18,EUR,10
100,INF0000344,1000,1100,7.42,EUR,100
100,INF0000345,1000,1100,14.04,EUR,1
100,INF0000346,1000,1400,11.48,EUR,1
100,INF0000347,1000,1400,10.61,EUR,10
100,INF0000348,1000,1000,11.36,EUR,10
100,INF0000349,1000,1000,9.47,EUR,10
100,INF0000350,1000,1300,4.61,EUR,1
100,INF0000351,1000,1000,19.68,EUR,1
100,INF0000352,1000,1000,7.86,EUR,10
100,INF0000353,1000,1200,13.07,EUR,100
100,INF0000354,1000,1300,7.25,EUR,1
100,INF0000355,1000,1100,8.43,EUR,1
100,INF0000356,1000,1200,10.45,EUR,10
100,INF0000357,1000,1300,1.9,EUR,1
100,INF0000358,1000,1100,0.67,EUR,1
100,INF0000359,1000,1300,15.1,EUR,10
100,INF0000360,1000,1200,11.74,EUR,10
100,INF0000361,1000,1200,14.74,EUR,1
100,INF0000362,1000,1100,9.43,EUR,100
100,INF0000363,1000,1200,5.87,EUR,1
100,INF0000364,1000,1400,12.42,EUR,1
100,INF0000365,1000,1000,0.78,EUR,10
100,INF0000366,1000,1000,6.01,EUR,100
100,INF0000367,1000,1200,1.17,EUR,100
100,INF0000368,1000,1200,3.26,EUR,10
100,INF0000369,1000,1400,12.31,EUR,10
100,INF0000370,1000,1000,3.32,EUR,10
100,INF0000371,1000,1400,14.38,EUR,100
100,INF0000372,1000,1200,16.9,EUR,1
100,INF0000373,1000,1400,16.62,EUR,1
100,INF0000374,1000,1000,1.39,EUR,1
100,INF0000375,1000,1000,1.95,EUR,10
100,INF0000376,1000,1400,2.69,EUR,100
100,INF0000377,1000,1300,14.73,EUR,10
100,INF0000378,1000,1100,11.09,EUR,100
100,INF0000379,1000,1300,12.0,EUR,10
100,INF0000380,1000,1100,12.45,EUR,1
100,INF0000381,1000,1200,15.14,EUR,10
100,INF0000382,1000,1300,15.55,EUR,10
100,INF0000383,1000,1200,9.15,EUR,100
100,INF0000384,1000,1200,2.06,EUR,10
100,INF0000385,1000,1200,10.04,EUR,100
100,INF0000386,1000,1400,5.79,EUR,10
100,INF0000387,1000,1400,12.99,EUR,1
100,INF0000388,1000,1000,4.63,EUR,10
100,INF0000389,1000,1100,10.95,EUR,10
100,INF0000390,1000,1300,6.38,EUR,100
100,INF0000391,1000,1000,7.62,EUR,1
100,INF0000392,1000,1000,3.49,EUR,100
100,INF0000393,1000,1200,14.39,EUR,100
100,INF0000394,1000,1100,17.66,EUR,1
100,INF0000395,1000,1000,3.94,EUR,10
100,INF0000396,1000,1400,10.6,EUR,10
100,INF0000397,1000,1000,7.3,EUR,1
100,INF0000398,1000,1400,12.08,EUR,10
100,INF0000399,1000,1200,11.19,EUR,100
100,INF0000400,1000,1300,10.89,EUR,100
100,INF0000401,1000,1000,8.74,EUR,100
100,INF0000402,1000,1000,1.06,EUR,100
100,INF0000403,1000,1300,16.61,EUR,1
100,INF0000404,1000,1100,7.94,EUR,1
100,INF0000405,1000,1100,7.72,EUR,100
100,INF0000406,1000,1000,0.69,EUR,100
100,INF0000407,1000,1200,14.41,EUR,1
100,INF0000408,1000,1100,13.8,EUR,10
100,INF0000409,1000,1200,7.09,EUR,10
100,INF0000410,1000,1400,9.01,EUR,1
100,INF0000411,1000,1200,3.71,EUR,1
100,INF0000412,1000,1400,12.67,EUR,100
100,INF0000413,1000,1000,9.01,EUR,1
100,INF0000414,1000,1100,3.84,EUR,1
100,INF0000415,1000,1200,9.21,EUR,10
100,INF0000416,1000,1100,2.76,EUR,1
100,INF0000417,1000,1400,13.28,EUR,10
100,INF0000418,1000,1300,13.52,EUR,1
100,INF0000419,1000,1300,18.01,EUR,1
100,INF0000420,1000,1100,13.06,EUR,1
100,INF0000421,1000,1400,12.57,EUR,100
100,INF0000422,1000,1000,7.5,EUR,10
100,INF0000423,1000,1400,15.16,EUR,10
100,INF0000424,1000,1400,17.07,EUR,100
100,INF0000425,1000,1000,1.66,EUR,1
100,INF0000426,1000,1000,17.3,EUR,100
100,INF0000427,1000,1200,3.81,EUR,100
100,INF0000428,1000,1000,12.51,EUR,100
100,INF0000429,1000,1400,11.39,EUR,10
100,INF0000430,1000,1400,7.61,EUR,100
100,INF0000431,1000,1100,11.0,EUR,10
100,INF0000432,1000,1400,18.28,EUR,1
100,INF0000433,1000,1000,12.2,EUR,10
100,INF0000434,1000,1100,4.35,EUR,10
100,INF0000435,1000,1100,14.53,EUR,100
100,INF0000436,1000,1300,12.96,EUR,100
100,INF0000437,1000,1100,10.63,EUR,10
100,INF0000438,1000,1400,9.67,EUR,1
100,INF0000439,1000,1400,14.73,EUR,100
100,INF0000440,1000,1200,5.33,EUR,10
100,INF0000441,1000,1400,17.41,EUR,1
100,INF0000442,1000,1000,13.95,EUR,10
100,INF0000443,1000,1300,3.65,EUR,10
100,INF0000444,1000,1300,19.47,EUR,100
100,INF0000445,1000,1200,3.6,EUR,100
100,INF0000446,1000,1400,14.97,EUR,10
100,INF0000447,1000,1400,11.32,EUR,10
100,INF0000448,1000,1200,17.9,EUR,10
100,INF0000449,1000,1400,15.12,EUR,1
100,INF0000450,1000,1400,13.79,EUR,1
100,INF0000451,1000,1000,18.27,EUR,10
100,INF0000452,1000,1200,7.69,EUR,100
100,INF0000453,1000,1100,1.13,EUR,1
100,INF0000454,1000,1000,3.16,EUR,100
100,INF0000455,1000,1100,16.36,EUR,1
100,INF0000456,1000,1200,6.7,EUR,100
100,INF0000457,1000,1300,18.15,EUR,100
100,INF0000458,1000,1300,12.24,EUR,10
100,INF0000459,1000,1100,5.0,EUR,100
100,INF0000460,1000,1000,13.11,EUR,1
100,INF0000461,1000,1400,7.2,EUR,10
100,INF0000462,1000,1100,14.96,EUR,100
100,INF0000463,1000,1200,8.31,EUR,1
100,INF0000464,1000,1400,13.3,EUR,1
100,INF0000465,1000,1000,2.93,EUR,100
100,INF0000466,1000,1000,17.31,EUR,1
100,INF0000467,1000,1200,2.15,EUR,1
100,INF0000468,1000,1400,18.98,EUR,10
100,INF0000469,1000,1000,19.82,EUR,100
100,INF0000470,1000,1100,8.99,EUR,10
100,INF0000471,1000,1300,7.19,EUR,10
100,INF0000472,1000,1400,18.0,EUR,1
100,INF0000473,1000,1000,16.3,EUR,100
100,INF0000474,1000,1300,13.49,EUR,100
100,INF0000475,1000,1300,5.42,EUR,1
100,INF0000476,1000,1300,3.66,EUR,1
100,INF0000477,1000,1300,15.88,EUR,10
100,INF0000478,1000,1300,13.49,EUR,10
100,INF0000479,1000,1300,0.85,EUR,10
100,INF0000480,1000,1300,18.23,EUR,10
100,INF0000481,1000,1400,19.73,EUR,10
100,INF0000482,1000,1400,8.81,EUR,100
100,INF0000483,1000,1000,19.98,EUR,1
100,INF0000484,1000,1400,2.89,EUR,100
100,INF0000485,1000,1200,8.63,EUR,10
100,INF0000486,1000,1300,12.87,EUR,1
100,INF0000487,1000,1200,4.03,EUR,1
100,INF0000488,1000,1000,15.16,EUR,10
100,INF0000489,1000,1200,15.95,EUR,1
100,INF0000490,1000,1000,13.38,EUR,100
100,INF0000491,1000,1100,15.35,EUR,100
100,INF0000492,1000,1000,5.0,EUR,100
100,INF0000493,1000,1200,2.93,EUR,10
100,INF0000494,1000,1300,18.18,EUR,100
100,INF0000495,1000,1200,2.16,EUR,1
100,INF0000496,1000,1400,18.16,EUR,10
100,INF0000497,1000,1400,17.26,EUR,1
100,INF0000498,1000,1400,18.44,EUR,100
100,INF0000499,1000,1300,1.72,EUR,1
100,INF0000500,1000,1300,19.02,EUR,10
100,INF0000501,1000,1000,10.18,EUR,10
100,INF0000502,1000,1200,6.78,EUR,100
100,INF0000503,1000,1000,9.85,EUR,10
100,INF0000504,1000,1200,17.57,EUR,10
100,INF0000505,1000,1100,0.91,EUR,10
100,INF0000506,1000,1000,2.82,EUR,100
100,INF0000507,1000,1400,18.95,EUR,100
100,INF0000508,1000,1400,2.24,EUR,100
100,INF0000509,1000,1000,18.1,EUR,10
100,INF0000510,1000,1100,2.42,EUR,10
100,INF0000511,1000,1100,19.3,EUR,10
100,INF0000512,1000,1100,7.4,EUR,100
100,INF0000513,1000,1200,13.65,EUR,1
100,INF0000514,1000,1100,15.63,EUR,1
100,INF0000515,1000,1400,19.2,EUR,100
100,INF0000516,1000,1400,0.54,EUR,100
100,INF0000517,1000,1300,19.56,EUR,100
100,INF0000518,1000,1100,9.77,EUR,10
100,INF0000519,1000,1100,12.92,EUR,100
100,INF0000520,1000,1100,4.42,EUR,10
100,INF0000521,1000,1200,1.15,EUR,10
100,INF0000522,1000,1000,10.85,EUR,1
100,INF0000523,1000,1300,19.1,EUR,10
100,INF0000524,1000,1100,6.74,EUR,100
100,INF0000525,1000,1300,11.1,EUR,1
100,INF0000526,1000,1100,7.71,EUR,10
100,INF0000527,1000,1200,7.71,EUR,1
100,INF0000528,1000,1000,6.02,EUR,1
100,INF0000529,1000,1400,19.44,EUR,10
100,INF0000530,1000,1200,5.07,EUR,1
100,INF0000531,1000,1100,10.2,EUR,10
100,INF0000532,1000,1400,5.19,EUR,1
100,INF0000533,1000,1100,5.37,EUR,1
100,INF0000534,1000,1200,2.27,EUR,100
100,INF0000535,1000,1300,13.93,EUR,10
100,INF0000536,1000,1400,6.72,EUR,1
100,INF0000537,1000,1000,17.26,EUR,10
100,INF0000538,1000,1100,3.61,EUR,100
100,INF0000539,1000,1100,9.44,EUR,10
100,INF0000540,1000,1400,14.15,EUR,10
100,INF0000541,1000,1200,7.87,EUR,100
100,INF0000542,1000,1100,17.57,EUR,100
100,INF0000543,1000,1300,0.98,EUR,1
100,INF0000544,1000,1100,5.16,EUR,1
100,INF0000545,1000,1100,15.48,EUR,10
100,INF0000546,1000,1200,19.84,EUR,100
100,INF0000547,1000,1300,7.23,EUR,1
100,INF0000548,1000,1300,16.2,EUR,1
100,INF0000549,1000,1100,2.35,EUR,1
100,INF0000550,1000,1300,15.28,EUR,100
100,INF0000551,1000,1200,15.54,EUR,10
100,INF0000552,1000,1300,7.16,EUR,1
100,INF0000553,1000,1100,8.44,EUR,100
100,INF0000554,1000,1400,0.88,EUR,1
100,INF0000555,1000,1000,5.52,EUR,1
100,INF0000556,1000,1000,9.41,EUR,1
100,INF0000557,1000,1400,17.92,EUR,1
100,INF0000558,1000,1000,10.3,EUR,10
100,INF0000559,1000,1200,3.43,EUR,100
100,INF0000560,1000,1000,8.29,EUR,1
100,INF0000561,1000,1100,8.69,EUR,10
100,INF0000562,1000,1100,13.16,EUR,1
100,INF0000563,1000,1100,4.66,EUR,100
100,INF0000564,1000,1400,2.09,EUR,100
100,INF0000565,1000,1400,14.44,EUR,100
100,INF0000566,1000,1400,2.51,EUR,100
100,INF0000567,1000,1200,17.87,EUR,10
100,INF0000568,1000,1400,1.24,EUR,100
100,INF0000569,1000,1300,3.96,EUR,10
100,INF0000570,1000,1300,5.28,EUR,1
100,INF0000571,1000,1000,1.44,EUR,100
100,INF0000572,1000,1100,9.31,EUR,10
100,INF0000573,1000,1400,15.34,EUR,10
100,INF0000574,1000,1000,4.32,EUR,10
100,INF0000575,1000,1200,9.27,EUR,100
100,INF0000576,1000,1300,6.26,EUR,10
100,INF0000577,1000,1300,1.63,EUR,10
100,INF0000578,1000,1200,19.22,EUR,10
100,INF0000579,1000,1300,8.1,EUR,1
100,INF0000580,1000,1100,7.77,EUR,100
