MANDT,PLNUM,MATNR,WERKS,GESSION,MEINS,PEDTR,PESSION
100,0000000037,000000000000100273,0006,1369.465,EA,20240306,20230926
100,0000000038,000000000000100312,0006,329.908,EA,20220524,20241109
100,0000000039,000000000000100364,0006,21.032,EA,20230414,20220119
100,0000000040,000000000000100107,0007,121.977,EA,20230308,20230928
100,0000000041,000000000000100216,0008,72.479,EA,20230502,20241208
100,0000000042,000000000000100286,0004,1109.876,EA,20221029,20220805
100,0000000043,000000000000100116,0004,1794.814,EA,20220601,20230415
100,0000000044,000000000000100131,0003,1038.609,EA,20220309,20220712
100,0000000045,000000000000100436,0006,1335.658,EA,20220302,20220420
100,0000000046,000000000000100402,0009,1656.863,EA,20231121,20220515
100,0000000047,000000000000100133,0002,1159.712,EA,20240523,20220601
100,0000000048,000000000000100401,0007,515.054,EA,20231002,20230214
100,0000000049,000000000000100181,0007,87.558,EA,20240814,20220723
100,0000000050,000000000000100287,0005,211.72,EA,20220808,20241217
100,0000000051,000000000000100336,0009,1206.275,EA,20220217,20240907
100,0000000052,000000000000100378,0008,1428.952,EA,20220711,20220415
100,0000000053,000000000000100385,0004,379.812,EA,20220621,20240402
100,0000000054,000000000000100407,0009,817.273,EA,20221102,20240131
100,0000000055,000000000000100117,0007,1352.167,EA,20230121,20241125
100,0000000056,000000000000100445,0008,1909.335,EA,20240311,20230121
100,0000000057,000000000000100434,0006,1311.069,EA,20241111,20241205
100,0000000058,000000000000100370,0010,14.623,EA,20240112,20220825
100,0000000059,000000000000100436,0002,1811.632,EA,20241025,20240625
100,0000000060,000000000000100353,0006,739.247,EA,20220801,20230911
100,0000000061,000000000000100140,0005,1006.282,EA,20220227,20240304
100,0000000062,000000000000100194,0003,660.123,EA,20220824,20241230
100,0000000063,000000000000100057,0002,239.04,EA,20220513,20220131
100,0000000064,000000000000100249,0006,1414.025,EA,20220819,20230520
100,0000000065,000000000000100426,0004,129.671,EA,20220918,20220706
100,0000000066,000000000000100165,0001,219.455,EA,20231110,20221223
100,0000000067,000000000000100234,0007,1973.131,EA,20220729,20230121
100,0000000068,000000000000100001,0006,105.485,EA,20240407,20240101
100,0000000069,000000000000100272,0001,1638.167,EA,20220803,20240804
100,0000000070,000000000000100490,0010,1591.45,EA,20231128,20240905
100,0000000071,000000000000100218,0008,380.185,EA,20231120,20221229
100,0000000072,000000000000100057,0001,631.866,EA,20240825,20220913
100,0000000073,000000000000100321,0006,773.626,EA,20230818,20230109
100,0000000074,000000000000100231,0005,891.478,EA,20220109,20230710
100,0000000075,000000000000100138,0006,477.187,EA,20240929,20240313
100,0000000076,000000000000100138,0003,1368.19,EA,20240723,20231125
100,0000000077,000000000000100326,0003,1359.394,EA,20230320,20240613
100,0000000078,000000000000100496,0008,933.138,EA,20240419,20230118
100,0000000079,000000000000100464,0003,1191.514,EA,20241129,20240312
100,0000000080,000000000000100459,0006,1526.041,EA,20230620,20220918
100,0000000081,000000000000100030,0003,1477.031,EA,20220730,20220815
100,0000000082,000000000000100429,0004,1701.19,EA,20240717,20230923
100,0000000083,000000000000100128,0004,1423.189,EA,20230421,20230515
100,0000000084,000000000000100091,0005,544.359,EA,20240706,20220217
100,0000000085,000000000000100330,0004,1399.636,EA,20240627,20240304
100,0000000086,000000000000100324,0005,848.502,EA,20230507,20240819
100,0000000087,000000000000100158,0005,975.297,EA,20220615,20231112
100,0000000088,000000000000100033,0004,670.79,EA,20240125,20241026
100,0000000089,000000000000100104,0002,644.355,EA,20230313,20221029
100,0000000090,000000000000100459,0008,442.374,EA,20230401,20240907
100,0000000091,000000000000100446,0001,278.76,EA,20240523,20221105
100,0000000092,000000000000100324,0003,1761.422,EA,20240903,20240311
100,0000000093,000000000000100053,0002,1529.43,EA,20230224,20240130
100,0000000094,000000000000100241,0006,293.168,EA,20240329,20230103
100,0000000095,000000000000100248,0007,76.327,EA,20230126,20240524
100,0000000096,000000000000100154,0003,13.762,EA,20230613,20220513
100,0000000097,000000000000100033,0002,1335.446,EA,20220731,20230729
100,0000000098,000000000000100134,0009,584.483,EA,20220803,20221216
100,0000000099,000000000000100319,0007,259.295,EA,20231215,20241018
100,0000000100,000000000000100132,0008,1320.387,EA,20230423,20220207
100,0000000101,000000000000100261,0007,878.355,EA,20230531,20240406
100,0000000102,000000000000100118,0005,348.677,EA,20220113,20230717
100,0000000103,000000000000100460,0005,1274.86,EA,20240117,20240229
100,0000000104,000000000000100283,0004,1180.718,EA,20230329,20230626
100,0000000105,000000000000100483,0010,1011.701,EA,20240709,20230601
100,0000000106,000000000000100284,0005,625.839,EA,20231217,20231003
100,0000000107,000000000000100233,0008,728.343,EA,20230402,20230617
100,0000000108,000000000000100151,0009,451.83,EA,20220720,20241013
100,0000000109,000000000000100259,0009,1323.509,EA,20220809,20240717
100,0000000110,000000000000100208,0003,848.842,EA,20231223,20241228
100,0000000111,000000000000100195,0006,1983.267,EA,20221213,20230530
100,0000000112,000000000000100368,0009,589.02,EA,20230214,20230102
100,0000000113,000000000000100493,0003,1207.252,EA,20241015,20220529
100,0000000114,000000000000100250,0004,1438.402,EA,20230905,20230911
100,0000000115,000000000000100135,0003,816.602,EA,20240701,20230323
100,0000000116,000000000000100290,0005,104.855,EA,20230519,20220801
100,0000000117,000000000000100371,0009,1573.739,EA,20230614,20240425
100,0000000118,000000000000100216,0006,1615.957,EA,20231201,20240602
100,0000000119,000000000000100291,0010,272.296,EA,20230216,20230502
100,0000000120,000000000000100409,0008,208.877,EA,20220731,20230630
100,0000000121,000000000000100288,0009,579.602,EA,20241116,20230806
100,0000000122,000000000000100329,0005,324.342,EA,20230117,20240815
100,0000000123,000000000000100110,0005,443.63,EA,20240815,20230317
100,0000000124,000000000000100253,0004,1937.886,EA,20231006,20220227
100,0000000125,000000000000100155,0003,446.38,EA,20220213,20240309
100,0000000126,000000000000100317,0006,541.985,EA,20241204,20230129
100,0000000127,000000000000100034,0004,56.654,EA,20241031,20230411
100,0000000128,000000000000100322,0008,1189.611,EA,20240408,20240401
100,0000000129,000000000000100434,0004,119.464,EA,20241110,20240925
100,0000000130,000000000000100042,0002,976.613,EA,20220919,20230720
100,0000000131,000000000000100096,0009,1703.106,EA,20220914,20230202
100,0000000132,000000000000100411,0002,913.497,EA,20220606,20231011
100,0000000133,000000000000100161,0009,552.506,EA,20221009,20230831
100,0000000134,000000000000100467,0007,1829.821,EA,20220422,20230216
100,0000000135,000000000000100494,0003,1248.329,EA,20221119,20220824
100,0000000136,000000000000100418,0008,1380.605,EA,20240915,20230825
100,0000000137,000000000000100059,0008,1997.369,EA,20240125,20240103
100,0000000138,000000000000100186,0008,1568.071,EA,20240702,20230329
100,0000000139,000000000000100246,0001,522.192,EA,20230406,20230520
100,0000000140,000000000000100215,0010,1480.514,EA,20240426,20230810
100,0000000141,000000000000100209,0004,487.702,EA,20240901,20220110
100,0000000142,000000000000100133,0004,1426.768,EA,20220609,20240203
100,0000000143,000000000000100183,0005,1966.756,EA,20240115,20231222
100,0000000144,000000000000100494,0009,1150.544,EA,20240413,20240725
100,0000000145,000000000000100422,0007,1875.479,EA,20241105,20220317
100,0000000146,000000000000100416,0004,124.385,EA,20230608,20220305
100,0000000147,000000000000100086,0001,1694.938,EA,20220504,20240506
100,0000000148,000000000000100309,0009,1869.44,EA,20240801,20240521
100,0000000149,000000000000100420,0010,804.542,EA,20230804,20220925
100,0000000150,000000000000100341,0004,847.224,EA,20231104,20231209
100,0000000151,000000000000100053,0004,542.836,EA,20220314,20220103
100,0000000152,000000000000100320,0007,1742.912,EA,20240920,20240414
100,0000000153,000000000000100336,0008,1169.279,EA,20231005,20230628
100,0000000154,000000000000100062,0006,1812.975,EA,20230428,20231118
100,0000000155,000000000000100253,0008,919.857,EA,20241021,20240820
100,0000000156,000000000000100052,0002,614.196,EA,20220220,20221222
100,0000000157,000000000000100006,0001,1669.323,EA,20220810,20220205
100,0000000158,000000000000100101,0009,1298.549,EA,20221125,20230221
100,0000000159,000000000000100354,0009,1270.377,EA,20230508,20230930
100,0000000160,000000000000100431,0009,1086.812,EA,20220126,20230114
100,0000000161,000000000000100218,0002,1155.677,EA,20230417,20240623
100,0000000162,000000000000100085,0003,45.782,EA,20221203,20221014
100,0000000163,000000000000100313,0007,1160.175,EA,20231219,20240605
100,0000000164,000000000000100120,0009,1562.327,EA,20230809,20241031
100,0000000165,000000000000100479,0001,1762.534,EA,20240221,20220425
100,0000000166,000000000000100486,0001,1324.746,EA,20240904,20220811
100,0000000167,000000000000100167,0001,1997.985,EA,20220302,20221228
100,0000000168,000000000000100369,0002,1156.91,EA,20240415,20240720
100,0000000169,000000000000100138,0010,838.662,EA,20240107,20231215
100,0000000170,000000000000100310,0010,335.455,EA,20230907,20240423
100,0000000171,000000000000100182,0009,1032.096,EA,20220730,20220103
100,0000000172,000000000000100005,0003,1540.661,EA,20230915,20221121
100,0000000173,000000000000100432,0004,1313.826,EA,20230708,20221202
100,0000000174,000000000000100079,0001,891.241,EA,20230831,20220601
100,0000000175,000000000000100486,0007,1391.76,EA,20230118,20230130
100,0000000176,000000000000100207,0007,1516.863,EA,20231009,20240323
100,0000000177,000000000000100350,0006,690.947,EA,20220204,20220714
100,0000000178,000000000000100095,0007,1247.751,EA,20220116,20241005
100,0000000179,000000000000100299,0001,469.461,EA,20241010,20240719
100,0000000180,000000000000100440,0002,1425.789,EA,20230412,20230806
100,0000000181,000000000000100156,0005,992.597,EA,20230911,20240204
100,0000000182,000000000000100087,0002,1875.863,EA,20230728,20240130
100,0000000183,000000000000100365,0009,1915.671,EA,20220327,20240823
100,0000000184,000000000000100164,0003,1728.172,EA,20240624,20240806
100,0000000185,000000000000100296,0001,707.889,EA,20230617,20220110
100,0000000186,000000000000100242,0004,1776.722,EA,20230724,20220408
100,0000000187,000000000000100403,0008,1082.745,EA,20241129,20241020
100,0000000188,000000000000100295,0006,1765.699,EA,20220827,20230719
100,0000000189,000000000000100496,0006,987.503,EA,20221128,20221118
100,0000000190,000000000000100241,0008,1260.977,EA,20240707,20220801
100,0000000191,000000000000100102,0001,1334.593,EA,20220123,20220416
100,0000000192,000000000000100446,0003,1241.317,EA,20240725,20240811
100,0000000193,000000000000100339,0007,432.664,EA,20220316,20220929
100,0000000194,000000000000100314,0006,1499.554,EA,20230419,20241118
100,0000000195,000000000000100418,0005,1227.995,EA,20231113,20230520
100,0000000196,000000000000100435,0010,1033.637,EA,20221119,20240831
100,0000000197,000000000000100017,0003,1748.734,EA,20230624,20220714
100,0000000198,000000000000100497,0007,592.801,EA,20230507,20240529
100,0000000199,000000000000100298,0003,943.331,EA,20240319,20221129
100,0000000200,000000000000100450,0002,1934.439,EA,20241025,20230925
100,0000000201,000000000000100057,0008,492.482,EA,20240614,20240304
100,0000000202,000000000000100106,0001,1766.86,EA,20220517,20240402
100,0000000203,000000000000100090,0003,108.121,EA,20230713,20240814
100,0000000204,000000000000100474,0006,1341.64,EA,20220922,20221110
100,0000000205,000000000000100361,0003,993.431,EA,20230820,20240521
100,0000000206,000000000000100288,0004,34.597,EA,20221123,20240109
100,0000000207,000000000000100090,0008,1781.827,EA,20240131,20240622
100,0000000208,000000000000100412,0008,903.081,EA,20231118,20240822
100,0000000209,000000000000100267,0006,607.383,EA,20221010,20241123
100,0000000210,000000000000100288,0002,47.292,EA,20240418,20230611
100,0000000211,000000000000100447,0009,1667.829,EA,20230907,20240731
100,0000000212,000000000000100217,0006,1565.073,EA,20240519,20230424
100,0000000213,000000000000100113,0010,591.308,EA,20230422,20240612
100,0000000214,000000000000100276,0010,565.953,EA,20221223,20220522
100,0000000215,000000000000100089,0009,1841.675,EA,20240812,20240614
100,0000000216,000000000000100008,0003,1218.763,EA,20240601,20230307
100,0000000217,000000000000100482,0001,836.742,EA,20241022,20230621
100,0000000218,000000000000100265,0005,662.662,EA,20231111,20220331
100,0000000219,000000000000100217,0009,14.559,EA,20221213,20231107
100,0000000220,000000000000100433,0005,1082.053,EA,20220205,20220902
100,0000000221,000000000000100480,0006,619.293,EA,20241015,20220514
100,0000000222,000000000000100305,0010,1714.605,EA,20230224,20220327
100,0000000223,000000000000100288,0002,1556.671,EA,20230205,20220718
100,0000000224,000000000000100068,0005,1626.189,EA,20230207,20241124
100,0000000225,000000000000100153,0009,1108.734,EA,20241118,20220523
100,0000000226,000000000000100347,0004,1421.167,EA,20230810,20231127
100,0000000227,000000000000100461,0010,835.577,EA,20240927,20230625
100,0000000228,000000000000100040,0009,1301.885,EA,20231215,20220731
100,0000000229,000000000000100181,0007,664.326,EA,20220705,20220107
100,0000000230,000000000000100221,0007,792.84,EA,20230727,20220522
100,0000000231,000000000000100463,0008,66.804,EA,20231109,20230809
100,0000000232,000000000000100134,0004,367.152,EA,20240829,20231018
100,0000000233,000000000000100276,0001,1397.845,EA,20231214,20220821
100,0000000234,000000000000100242,0006,1548.741,EA,20240422,20220303
100,0000000235,000000000000100345,0001,171.097,EA,20220127,20221003
100,0000000236,000000000000100307,0001,302.375,EA,20221027,20220905
100,0000000237,000000000000100006,0002,1668.181,EA,20221019,20240818
100,0000000238,000000000000100120,0008,1174.268,EA,20220805,20240817
100,0000000239,000000000000100151,0009,1696.746,EA,20240520,20231223
100,0000000240,000000000000100233,0001,1020.146,EA,20240529,20220724
100,0000000241,000000000000100117,0006,1020.277,EA,20221008,20230505
100,0000000242,000000000000100082,0003,1295.263,EA,20240315,20241128
100,0000000243,000000000000100383,0007,1992.012,EA,20240305,20230109
100,0000000244,000000000000100199,0005,1938.996,EA,20220922,20230829
100,0000000245,000000000000100448,0003,1595.946,EA,20240907,20220804
100,0000000246,000000000000100220,0008,1539.0,EA,20220328,20230228
100,0000000247,000000000000100164,0009,1093.55,EA,20221207,20241002
100,0000000248,000000000000100252,0005,1119.124,EA,20220617,20230822
100,0000000249,000000000000100130,0009,119.25,EA,20220615,20240715
100,0000000250,000000000000100021,0009,865.277,EA,20220325,20231012
100,0000000251,000000000000100354,0006,1645.532,EA,20221211,20240204
100,0000000252,000000000000100372,0006,958.683,EA,20240524,20240929
100,0000000253,000000000000100052,0002,1325.032,EA,20230414,20230920
100,0000000254,000000000000100125,0003,1180.611,EA,20221123,20230206
100,0000000255,000000000000100316,0006,441.234,EA,20241119,20230315
100,0000000256,000000000000100292,0004,1082.761,EA,20241021,20231116
100,0000000257,000000000000100108,0008,1717.739,EA,20220407,20240826
100,0000000258,000000000000100173,0004,849.758,EA,20240113,20230826
100,0000000259,000000000000100372,0006,1001.228,EA,20230121,20240729
100,0000000260,000000000000100305,0002,927.274,EA,20220323,20240503
100,0000000261,000000000000100333,0008,1119.891,EA,20240724,20241115
100,0000000262,000000000000100210,0002,452.342,EA,20240911,20241021
100,0000000263,000000000000100219,0005,405.733,EA,20240801,20220418
100,0000000264,000000000000100009,0007,651.021,EA,20230711,20240921
100,0000000265,000000000000100445,0010,1701.028,EA,20241116,20220806
100,0000000266,000000000000100132,0003,48.092,EA,20231107,20230205
100,0000000267,000000000000100475,0010,602.873,EA,20230630,20240903
100,0000000268,000000000000100442,0006,520.926,EA,20230516,20241202
100,0000000269,000000000000100093,0005,91.907,EA,20220505,20240914
100,0000000270,000000000000100422,0003,891.113,EA,20240715,20240703
100,0000000271,000000000000100491,0003,1989.09,EA,20220201,20221225
100,0000000272,000000000000100418,0010,1408.858,EA,20240827,20221115
100,0000000273,000000000000100411,0001,1239.304,EA,20230712,20220812
100,0000000274,000000000000100199,0005,1165.16,EA,20240724,20241021
100,0000000275,000000000000100392,0002,110.478,EA,20220403,20240324
100,0000000276,000000000000100281,0008,1319.33,EA,20230409,20230523
100,0000000277,000000000000100102,0005,1299.652,EA,20230601,20230710
100,0000000278,000000000000100153,0010,195.24,EA,20230615,20240814
100,0000000279,000000000000100195,0010,890.167,EA,20220222,20231010
100,0000000280,000000000000100194,0002,110.81,EA,20230306,20230606
100,0000000281,000000000000100253,0001,94.239,EA,20231211,20240111
100,0000000282,000000000000100028,0009,1829.744,EA,20240413,20240201
100,0000000283,000000000000100309,0005,413.334,EA,20230415,20221107
100,0000000284,000000000000100148,0009,166.606,EA,20240428,20230520
100,0000000285,000000000000100156,0001,1353.767,EA,20220922,20240806
100,0000000286,000000000000100337,0009,1219.935,EA,20240206,20230325
100,0000000287,000000000000100078,0008,596.625,EA,20240819,20240710
100,0000000288,000000000000100268,0007,315.302,EA,20241220,20230719
100,0000000289,000000000000100318,0008,121.471,EA,20240920,20221208
100,0000000290,000000000000100415,0008,739.929,EA,20230814,20230817
100,0000000291,000000000000100449,0001,1012.646,EA,20240709,20240627
100,0000000292,000000000000100337,0002,492.607,EA,20220412,20231006
100,0000000293,000000000000100096,0004,674.896,EA,20241021,20240222
100,0000000294,000000000000100093,0006,188.271,EA,20240515,20241001
100,0000000295,000000000000100426,0001,1584.917,EA,20241022,20241224
100,0000000296,000000000000100228,0006,751.804,EA,20230518,20230616
100,0000000297,000000000000100051,0001,20.358,EA,20220209,20240107
100,0000000298,000000000000100104,0001,97.339,EA,20221202,20240701
100,0000000299,000000000000100079,0009,1478.345,EA,20220224,20241218
100,0000000300,000000000000100244,0001,1650.497,EA,20230620,20230519
100,0000000301,000000000000100498,0002,1493.923,EA,20220108,20230703
100,0000000302,000000000000100220,0007,137.926,EA,20220429,20231006
100,0000000303,000000000000100190,0005,1188.912,EA,20231122,20241021
100,0000000304,000000000000100250,0001,740.867,EA,20240116,20221201
100,0000000305,000000000000100005,0002,848.918,EA,20240816,20240209
100,0000000306,000000000000100148,0005,1870.199,EA,20230312,20230309
100,0000000307,000000000000100200,0001,55.245,EA,20231231,20241203
100,0000000308,000000000000100115,0010,1120.119,EA,20220125,20240524
100,0000000309,000000000000100256,0009,1821.238,EA,20230707,20231107
100,0000000310,000000000000100029,0010,1405.598,EA,20230425,20241219
100,0000000311,000000000000100272,0009,97.755,EA,20241004,20220426
100,0000000312,000000000000100154,0001,847.441,EA,20220318,20220628
100,0000000313,000000000000100229,0001,848.704,EA,20230312,20230221
100,0000000314,000000000000100220,0001,587.292,EA,20220513,20241229
100,0000000315,000000000000100472,0002,849.484,EA,20240421,20230817
100,0000000316,000000000000100083,0009,927.767,EA,20230910,20240514
100,0000000317,000000000000100023,0009,1487.893,EA,20240422,20240125
100,0000000318,000000000000100395,0010,245.615,EA,20240630,20220311
100,0000000319,000000000000100320,0007,1128.72,EA,20240424,20230708
100,0000000320,000000000000100139,0008,1768.944,EA,20220915,20230409
100,0000000321,000000000000100286,0010,1051.879,EA,20231220,20220502
100,0000000322,000000000000100027,0009,948.322,EA,20230414,20220312
100,0000000323,000000000000100051,0002,20.109,EA,20220402,20220923
100,0000000324,000000000000100153,0007,1574.952,EA,20230716,20240605
100,0000000325,000000000000100409,0001,625.58,EA,20231111,20220804
100,0000000326,000000000000100439,0006,1734.26,EA,20240701,20220202
100,0000000327,000000000000100458,0004,364.219,EA,20221125,20240606
100,0000000328,000000000000100400,0006,1820.583,EA,20240529,20231107
100,0000000329,000000000000100236,0003,740.244,EA,20240119,20220115
100,0000000330,000000000000100497,0003,1863.447,EA,20230429,20220318
100,0000000331,000000000000100356,0007,557.954,EA,20240508,20220303
100,0000000332,000000000000100095,0001,1782.634,EA,20240725,20241115
100,0000000333,000000000000100162,0004,968.007,EA,20221113,20240127
100,0000000334,000000000000100293,0006,1275.687,EA,20240105,20230722
100,0000000335,000000000000100210,0008,1390.138,EA,20240728,20241228
100,0000000336,000000000000100498,0005,713.547,EA,20231018,20230727
100,0000000337,000000000000100202,0008,952.542,EA,20241126,20220607
100,0000000338,000000000000100232,0003,1125.522,EA,20240924,20241207
100,0000000339,000000000000100310,0001,698.567,EA,20221223,20240616
100,0000000340,000000000000100052,0002,226.522,EA,20220828,20230427
100,0000000341,000000000000100197,0007,897.373,EA,20220629,20240201
100,0000000342,000000000000100037,0001,241.117,EA,20240803,20240926
100,0000000343,000000000000100455,0007,1393.666,EA,20230901,20230621
100,0000000344,000000000000100005,0006,1626.097,EA,20230722,20220822
100,0000000345,000000000000100452,0004,110.541,EA,20240312,20240406
100,0000000346,000000000000100336,0004,233.333,EA,20240909,20241108
100,0000000347,000000000000100497,0010,187.873,EA,20241024,20240530
100,0000000348,000000000000100330,0004,1302.646,EA,20231116,20230310
100,0000000349,000000000000100074,0002,899.175,EA,20241122,20240123
100,0000000350,000000000000100366,0005,946.227,EA,20240822,20230610
100,0000000351,000000000000100083,0001,1331.363,EA,20241015,20230205
100,0000000352,000000000000100492,0004,568.721,EA,20230526,20230919
100,0000000353,000000000000100109,0008,830.299,EA,20240110,20240518
100,0000000354,000000000000100028,0003,1601.642,EA,20220131,20241206
100,0000000355,000000000000100050,0009,703.651,EA,20221017,20220626
100,0000000356,000000000000100099,0005,684.614,EA,20230521,20220221
100,0000000357,000000000000100247,0002,1093.443,EA,20241229,20220705
100,0000000358,000000000000100023,0006,1936.615,EA,20220312,20230619
100,0000000359,000000000000100127,0010,931.218,EA,20221010,20231220
100,0000000360,000000000000100436,0004,267.067,EA,20230324,20220916
100,0000000361,000000000000100050,0009,574.142,EA,20240711,20230610
100,0000000362,000000000000100445,0009,971.32,EA,20230308,20220203
100,0000000363,000000000000100137,0006,1440.903,EA,20240807,20231123
100,0000000364,000000000000100194,0007,242.173,EA,20230606,20240905
100,0000000365,000000000000100391,0001,60.924,EA,20240801,20230719
100,0000000366,000000000000100393,0010,682.341,EA,20220502,20220715
100,0000000367,000000000000100047,0005,138.901,EA,20240223,20230418
100,0000000368,000000000000100090,0010,365.158,EA,20241120,20221031
100,0000000369,000000000000100376,0010,1386.833,EA,20240602,20230314
100,0000000370,000000000000100069,0008,1922.4,EA,20220226,20240630
100,0000000371,000000000000100326,0009,1660.632,EA,20220527,20231122
100,0000000372,000000000000100099,0003,1924.216,EA,20241104,20231116
100,0000000373,000000000000100473,0009,1076.14,EA,20230319,20231110
100,0000000374,000000000000100136,0006,1517.247,EA,20241219,20220901
100,0000000375,000000000000100396,0005,981.442,EA,20221111,20220222
100,0000000376,000000000000100176,0005,904.169,EA,20230625,20220301
100,0000000377,000000000000100494,0005,384.581,EA,20230629,20220201
100,0000000378,000000000000100144,0003,1958.211,EA,20240331,20241211
100,0000000379,000000000000100140,0009,371.233,EA,20241103,20221205
100,0000000380,000000000000100487,0009,1201.645,EA,20220324,20220212
100,0000000381,000000000000100118,0009,1399.815,EA,20241219,20240613
100,0000000382,000000000000100221,0002,1132.798,EA,20221018,20230416
100,0000000383,000000000000100140,0005,1875.938,EA,20231010,20230304
100,0000000384,000000000000100212,0010,228.84,EA,20240528,20221018
100,0000000385,000000000000100168,0002,836.409,EA,20221008,20221123
100,0000000386,000000000000100456,0006,1204.806,EA,20221213,20240523
100,0000000387,000000000000100142,0003,37.607,EA,20240218,20240224
100,0000000388,000000000000100282,0007,1779.877,EA,20220621,20221002
100,0000000389,000000000000100301,0001,433.329,EA,20240409,20231022
100,0000000390,000000000000100201,0003,936.988,EA,20220118,20230206
100,0000000391,000000000000100314,0008,944.378,EA,20220430,20240604
100,0000000392,000000000000100286,0009,493.93,EA,20240401,20240904
100,0000000393,000000000000100121,0006,874.963,EA,20230704,20230919
100,0000000394,000000000000100146,0006,924.8,EA,20221009,20220112
100,0000000395,000000000000100151,0006,1769.352,EA,20220322,20221125
100,0000000396,000000000000100105,0006,1753.817,EA,20241121,20230306
100,0000000397,000000000000100267,0010,1056.304,EA,20230821,20240107
100,0000000398,000000000000100201,0010,1896.765,EA,20221219,20230526
100,0000000399,000000000000100057,0009,878.637,EA,20230221,20220516
100,0000000400,000000000000100208,0006,192.66,EA,20220116,20240506
100,0000000401,000000000000100268,0001,1552.314,EA,20230802,20220716
100,0000000402,000000000000100231,0009,1974.514,EA,20241107,20240416
100,0000000403,000000000000100204,0001,719.084,EA,20231013,20220715
100,0000000404,000000000000100237,0006,1357.117,EA,20230528,20241114
100,0000000405,000000000000100260,0007,273.89,EA,20220112,20220214
100,0000000406,000000000000100084,0002,579.198,EA,20220503,20241212
100,0000000407,000000000000100410,0003,74.674,EA,20240525,20220324
100,0000000408,000000000000100475,0001,1737.099,EA,20230724,20220101
100,0000000409,000000000000100218,0010,487.08,EA,20220830,20240609
100,0000000410,000000000000100346,0004,294.979,EA,20230216,20220903
100,0000000411,000000000000100475,0008,653.015,EA,20241027,20231110
100,0000000412,000000000000100434,0006,1380.59,EA,20221124,20240418
100,0000000413,000000000000100335,0009,486.303,EA,20231210,20230525
100,0000000414,000000000000100010,0002,1693.235,EA,20240129,20241101
100,0000000415,000000000000100461,0008,1328.71,EA,20241129,20220602
100,0000000416,000000000000100450,0007,1314.508,EA,20240502,20240225
100,0000000417,000000000000100379,0009,1412.639,EA,20230326,20230310
100,0000000418,000000000000100240,0004,1080.344,EA,20240213,20241002
100,0000000419,000000000000100084,0006,773.953,EA,20220829,20231002
100,0000000420,000000000000100058,0002,1080.605,EA,20230303,20230615
100,0000000421,000000000000100123,0005,1968.34,EA,20240516,20230519
100,0000000422,000000000000100331,0009,833.076,EA,20230816,20220206
100,0000000423,000000000000100102,0007,1774.883,EA,20220911,20231005
100,0000000424,000000000000100008,0005,1251.965,EA,20220919,20240120
100,0000000425,000000000000100012,0006,1220.943,EA,20240511,20240810
100,0000000426,000000000000100221,0004,1616.862,EA,20220611,20241129
100,0000000427,000000000000100448,0007,200.503,EA,20230406,20240828
100,0000000428,000000000000100225,0001,1196.266,EA,20220408,20230712
