MANDT,KOKRS,PESSION,KUNNR,MATNR,VKORG,WERKS,PESSION2,GJAHR,VV010,TWAER
100,1000,0000000070,0000000309,000000000000100104,2000,0006,010,2024,1231.2,EUR
100,1000,0000000071,0000000384,000000000000100214,2000,0001,011,2023,324.99,EUR
100,1000,0000000072,0000000292,000000000000100232,2000,0007,012,2024,9057.21,EUR
100,1000,0000000073,0000000467,000000000000100284,2000,0002,001,2023,2924.09,EUR
100,1000,0000000074,0000000358,000000000000100138,2000,0001,002,2024,8265.74,EUR
100,1000,0000000075,0000000261,000000000000100094,1000,0009,003,2023,8988.35,EUR
100,1000,0000000076,0000000127,000000000000100063,2000,0004,004,2024,9458.03,EUR
100,1000,0000000077,0000000295,000000000000100346,1000,0001,005,2023,1536.93,EUR
100,1000,0000000078,0000000184,000000000000100475,1000,0004,006,2024,5214.55,EUR
100,1000,0000000079,0000000012,000000000000100440,2000,0010,007,2023,2985.86,EUR
100,1000,0000000080,0000000490,000000000000100308,2000,0005,008,2024,6166.22,EUR
100,1000,0000000081,0000000282,000000000000100417,2000,0003,009,2023,332.55,EUR
100,1000,0000000082,0000000036,000000000000100374,2000,0008,010,2024,6869.53,EUR
100,1000,0000000083,0000000352,000000000000100360,2000,0006,011,2023,4924.04,EUR
100,1000,0000000084,0000000292,000000000000100066,1000,0004,012,2024,2468.19,EUR
100,1000,0000000085,0000000240,000000000000100022,1000,0004,001,2023,9742.95,EUR
100,1000,0000000086,0000000459,000000000000100409,1000,0001,002,2024,7623.35,EUR
100,1000,0000000087,0000000220,000000000000100168,1000,0001,003,2023,8672.71,EUR
100,1000,0000000088,0000000052,000000000000100118,1000,0005,004,2024,7736.44,EUR
100,1000,0000000089,0000000203,000000000000100178,2000,0003,005,2023,4628.4,EUR
100,1000,0000000090,0000000333,000000000000100180,2000,0005,006,2024,2321.41,EUR
100,1000,0000000091,0000000054,000000000000100335,1000,0004,007,2023,9398.25,EUR
100,1000,0000000092,0000000306,000000000000100466,1000,0006,008,2024,3187.81,EUR
100,1000,0000000093,0000000244,000000000000100028,2000,0002,009,2023,539.45,EUR
100,1000,0000000094,0000000158,000000000000100018,2000,0008,010,2024,9378.14,EUR
100,1000,0000000095,0000000419,000000000000100396,1000,0003,011,2023,9683.5,EUR
100,1000,0000000096,0000000181,000000000000100192,1000,0003,012,2024,5257.12,EUR
100,1000,0000000097,0000000232,000000000000100373,2000,0002,001,2023,5676.72,EUR
100,1000,0000000098,0000000285,000000000000100028,1000,0002,002,2024,6448.48,EUR
100,1000,0000000099,0000000241,000000000000100198,1000,0006,003,2023,8892.43,EUR
100,1000,0000000100,0000000487,000000000000100318,1000,0007,004,2024,205.43,EUR
100,1000,0000000101,0000000432,000000000000100302,1000,0004,005,2023,933.78,EUR
100,1000,0000000102,0000000332,000000000000100195,1000,0008,006,2024,6524.24,EUR
100,1000,0000000103,0000000110,000000000000100136,1000,0007,007,2023,6498.48,EUR
100,1000,0000000104,0000000465,000000000000100291,1000,0008,008,2024,7370.28,EUR
100,1000,0000000105,0000000218,000000000000100215,2000,0005,009,2023,7480.73,EUR
100,1000,0000000106,0000000112,000000000000100127,2000,0009,010,2024,6719.65,EUR
100,1000,0000000107,0000000091,000000000000100215,2000,0005,011,2023,3839.22,EUR
100,1000,0000000108,0000000440,000000000000100325,2000,0001,012,2024,4934.46,EUR
100,1000,0000000109,0000000089,000000000000100091,1000,0002,001,2023,9759.74,EUR
100,1000,0000000110,0000000490,000000000000100398,2000,0004,002,2024,9592.95,EUR
100,1000,0000000111,0000000384,000000000000100335,2000,0008,003,2023,8774.5,EUR
100,1000,0000000112,0000000137,000000000000100487,1000,0005,004,2024,2467.26,EUR
100,1000,0000000113,0000000020,000000000000100108,2000,0009,005,2023,1007.91,EUR
100,1000,0000000114,0000000227,000000000000100260,2000,0003,006,2024,1289.52,EUR
100,1000,0000000115,0000000060,000000000000100081,1000,0008,007,2023,6806.16,EUR
100,1000,0000000116,0000000097,000000000000100092,2000,0008,008,2024,2538.95,EUR
100,1000,0000000117,0000000284,000000000000100456,1000,0003,009,2023,434.48,EUR
100,1000,0000000118,0000000440,000000000000100064,1000,0007,010,2024,5683.12,EUR
100,1000,0000000119,0000000248,000000000000100418,2000,0009,011,2023,2839.15,EUR
100,1000,0000000120,0000000126,000000000000100497,2000,0010,012,2024,5901.06,EUR
100,1000,0000000121,0000000252,000000000000100380,1000,0004,001,2023,2917.05,EUR
100,1000,0000000122,0000000245,000000000000100232,2000,0002,002,2024,696.37,EUR
100,1000,0000000123,0000000310,000000000000100253,1000,0003,003,2023,3792.02,EUR
100,1000,0000000124,0000000333,000000000000100156,1000,0007,004,2024,9041.07,EUR
100,1000,0000000125,0000000293,000000000000100377,1000,0001,005,2023,6767.98,EUR
100,1000,0000000126,0000000475,000000000000100376,2000,0005,006,2024,3008.71,EUR
100,1000,0000000127,0000000465,000000000000100413,1000,0004,007,2023,4893.67,EUR
100,1000,0000000128,0000000232,000000000000100173,1000,0007,008,2024,3728.33,EUR
100,1000,0000000129,0000000229,000000000000100161,1000,0003,009,2023,7144.7,EUR
100,1000,0000000130,0000000361,000000000000100224,1000,0003,010,2024,8640.96,EUR
100,1000,0000000131,0000000374,000000000000100460,2000,0007,011,2023,630.34,EUR
100,1000,0000000132,0000000178,000000000000100236,1000,0010,012,2024,5007.61,EUR
100,1000,0000000133,0000000244,000000000000100126,1000,0010,001,2023,4781.8,EUR
100,1000,0000000134,0000000443,000000000000100452,2000,0001,002,2024,9731.08,EUR
100,1000,0000000135,0000000305,000000000000100235,2000,0010,003,2023,6000.09,EUR
100,1000,0000000136,0000000022,000000000000100298,2000,0007,004,2024,6257.65,EUR
100,1000,0000000137,0000000205,000000000000100281,1000,0010,005,2023,155.11,EUR
100,1000,0000000138,0000000436,000000000000100405,2000,0004,006,2024,4800.13,EUR
100,1000,0000000139,0000000127,000000000000100158,1000,0005,007,2023,6354.14,EUR
100,1000,0000000140,0000000415,000000000000100493,1000,0004,008,2024,7634.78,EUR
100,1000,0000000141,0000000035,000000000000100384,1000,0010,009,2023,9246.8,EUR
100,1000,0000000142,0000000150,000000000000100210,1000,0007,010,2024,2951.64,EUR
100,1000,0000000143,0000000479,000000000000100371,2000,0006,011,2023,4412.89,EUR
100,1000,0000000144,0000000211,000000000000100386,2000,0007,012,2024,8775.91,EUR
100,1000,0000000145,0000000293,000000000000100132,1000,0002,001,2023,1984.6,EUR
100,1000,0000000146,0000000209,000000000000100471,2000,0004,002,2024,2216.51,EUR
100,1000,0000000147,0000000172,000000000000100212,2000,0009,003,2023,1351.36,EUR
100,1000,0000000148,0000000234,000000000000100105,2000,0009,004,2024,2285.81,EUR
100,1000,0000000149,0000000332,000000000000100479,2000,0006,005,2023,9309.4,EUR
100,1000,0000000150,0000000484,000000000000100149,1000,0002,006,2024,9413.69,EUR
100,1000,0000000151,0000000341,000000000000100192,1000,0002,007,2023,3280.42,EUR
100,1000,0000000152,0000000341,000000000000100030,1000,0007,008,2024,2792.61,EUR
100,1000,0000000153,0000000125,000000000000100349,2000,0005,009,2023,4238.38,EUR
100,1000,0000000154,0000000125,000000000000100214,1000,0004,010,2024,2603.47,EUR
100,1000,0000000155,0000000182,000000000000100255,1000,0004,011,2023,6941.1,EUR
100,1000,0000000156,0000000035,000000000000100162,1000,0005,012,2024,7712.35,EUR
100,1000,0000000157,0000000394,000000000000100319,1000,0002,001,2023,8380.23,EUR
100,1000,0000000158,0000000289,000000000000100239,1000,0008,002,2024,4332.26,EUR
100,1000,0000000159,0000000005,000000000000100043,2000,0002,003,2023,9922.18,EUR
100,1000,0000000160,0000000029,000000000000100200,1000,0004,004,2024,1771.14,EUR
100,1000,0000000161,0000000356,000000000000100258,1000,0008,005,2023,7505.06,EUR
100,1000,0000000162,0000000308,000000000000100385,1000,0010,006,2024,6263.62,EUR
100,1000,0000000163,0000000437,000000000000100194,1000,0008,007,2023,1829.88,EUR
100,1000,0000000164,0000000370,000000000000100068,1000,0009,008,2024,5642.67,EUR
100,1000,0000000165,0000000499,000000000000100156,1000,0001,009,2023,6753.84,EUR
100,1000,0000000166,0000000198,000000000000100304,1000,0004,010,2024,9790.28,EUR
100,1000,0000000167,0000000342,000000000000100361,2000,0003,011,2023,9593.48,EUR
100,1000,0000000168,0000000263,000000000000100393,1000,0001,012,2024,9724.9,EUR
100,1000,0000000169,0000000190,000000000000100453,1000,0008,001,2023,4168.12,EUR
100,1000,0000000170,0000000451,000000000000100374,2000,0001,002,2024,6598.68,EUR
100,1000,0000000171,0000000357,000000000000100494,2000,0007,003,2023,9971.06,EUR
100,1000,0000000172,0000000132,000000000000100086,1000,0001,004,2024,1344.5,EUR
100,1000,0000000173,0000000032,000000000000100098,2000,0004,005,2023,8954.46,EUR
100,1000,0000000174,0000000027,000000000000100110,2000,0008,006,2024,6210.68,EUR
100,1000,0000000175,0000000147,000000000000100404,2000,0001,007,2023,7037.05,EUR
100,1000,0000000176,0000000115,000000000000100157,1000,0009,008,2024,6106.98,EUR
100,1000,0000000177,0000000454,000000000000100458,1000,0002,009,2023,8885.97,EUR
100,1000,0000000178,0000000321,000000000000100180,1000,0009,010,2024,2714.51,EUR
100,1000,0000000179,0000000415,000000000000100022,1000,0010,011,2023,1262.85,EUR
100,1000,0000000180,0000000288,000000000000100371,2000,0008,012,2024,3845.83,EUR
100,1000,0000000181,0000000102,000000000000100421,2000,0006,001,2023,1104.04,EUR
100,1000,0000000182,0000000067,000000000000100460,2000,0004,002,2024,4446.68,EUR
100,1000,0000000183,0000000273,000000000000100229,1000,0008,003,2023,2219.81,EUR
100,1000,0000000184,0000000190,000000000000100240,2000,0004,004,2024,9438.07,EUR
100,1000,0000000185,0000000319,000000000000100216,2000,0004,005,2023,9274.95,EUR
100,1000,0000000186,0000000156,000000000000100008,1000,0005,006,2024,1604.41,EUR
100,1000,0000000187,0000000426,000000000000100299,1000,0003,007,2023,3174.61,EUR
100,1000,0000000188,0000000455,000000000000100172,2000,0008,008,2024,6075.06,EUR
100,1000,0000000189,0000000347,000000000000100347,1000,0004,009,2023,1695.87,EUR
100,1000,0000000190,0000000440,000000000000100060,2000,0002,010,2024,1128.1,EUR
100,1000,0000000191,0000000280,000000000000100220,1000,0005,011,2023,1954.85,EUR
100,1000,0000000192,0000000256,000000000000100021,2000,0003,012,2024,1612.03,EUR
100,1000,0000000193,0000000314,000000000000100302,1000,0010,001,2023,1981.35,EUR
100,1000,0000000194,0000000316,000000000000100061,1000,0006,002,2024,8494.05,EUR
100,1000,0000000195,0000000487,000000000000100052,1000,0003,003,2023,6753.79,EUR
100,1000,0000000196,0000000149,000000000000100394,1000,0001,004,2024,1455.89,EUR
100,1000,0000000197,0000000105,000000000000100453,2000,0001,005,2023,8390.56,EUR
100,1000,0000000198,0000000050,000000000000100467,2000,0005,006,2024,8522.93,EUR
100,1000,0000000199,0000000401,000000000000100324,1000,0010,007,2023,7841.76,EUR
100,1000,0000000200,0000000319,000000000000100191,2000,0007,008,2024,6581.09,EUR
100,1000,0000000201,0000000309,000000000000100182,2000,0010,009,2023,1253.36,EUR
100,1000,0000000202,0000000078,000000000000100447,2000,0010,010,2024,2679.83,EUR
100,1000,0000000203,0000000220,000000000000100178,1000,0006,011,2023,1117.57,EUR
100,1000,0000000204,0000000325,000000000000100314,1000,0010,012,2024,3498.99,EUR
100,1000,0000000205,0000000473,000000000000100088,2000,0010,001,2023,832.06,EUR
100,1000,0000000206,0000000050,000000000000100015,2000,0008,002,2024,9440.67,EUR
100,1000,0000000207,0000000275,000000000000100003,1000,0010,003,2023,2336.31,EUR
100,1000,0000000208,0000000307,000000000000100416,1000,0009,004,2024,2631.39,EUR
100,1000,0000000209,0000000394,000000000000100205,1000,0009,005,2023,8593.32,EUR
100,1000,0000000210,0000000291,000000000000100454,1000,0010,006,2024,3459.69,EUR
100,1000,0000000211,0000000108,000000000000100475,1000,0010,007,2023,1879.78,EUR
100,1000,0000000212,0000000348,000000000000100084,2000,0008,008,2024,7143.49,EUR
100,1000,0000000213,0000000161,000000000000100357,2000,0002,009,2023,6783.05,EUR
100,1000,0000000214,0000000115,000000000000100296,1000,0007,010,2024,7318.89,EUR
100,1000,0000000215,0000000324,000000000000100360,2000,0007,011,2023,1792.95,EUR
100,1000,0000000216,0000000335,000000000000100176,2000,0010,012,2024,3039.69,EUR
100,1000,0000000217,0000000126,000000000000100498,1000,0005,001,2023,9437.86,EUR
100,1000,0000000218,0000000277,000000000000100168,2000,0004,002,2024,3134.3,EUR
100,1000,0000000219,0000000381,000000000000100365,2000,0008,003,2023,6804.36,EUR
100,1000,0000000220,0000000457,000000000000100429,2000,0001,004,2024,6305.52,EUR
100,1000,0000000221,0000000395,000000000000100272,2000,0009,005,2023,3619.22,EUR
100,1000,0000000222,0000000003,000000000000100451,1000,0006,006,2024,1689.36,EUR
100,1000,0000000223,0000000183,000000000000100409,1000,0005,007,2023,7034.62,EUR
100,1000,0000000224,0000000300,000000000000100365,1000,0009,008,2024,2012.31,EUR
100,1000,0000000225,0000000118,000000000000100288,2000,0006,009,2023,8910.51,EUR
100,1000,0000000226,0000000262,000000000000100328,1000,0006,010,2024,7445.46,EUR
100,1000,0000000227,0000000324,000000000000100277,2000,0001,011,2023,3519.6,EUR
100,1000,0000000228,0000000185,000000000000100150,2000,0002,012,2024,8215.43,EUR
100,1000,0000000229,0000000312,000000000000100210,1000,0001,001,2023,6578.74,EUR
100,1000,0000000230,0000000208,000000000000100288,2000,0006,002,2024,6240.08,EUR
100,1000,0000000231,0000000098,000000000000100240,1000,0009,003,2023,5482.07,EUR
100,1000,0000000232,0000000152,000000000000100494,1000,0003,004,2024,9953.22,EUR
100,1000,0000000233,0000000219,000000000000100356,2000,0008,005,2023,8938.2,EUR
100,1000,0000000234,0000000461,000000000000100295,2000,0009,006,2024,4491.88,EUR
100,1000,0000000235,0000000179,000000000000100090,1000,0009,007,2023,2866.27,EUR
100,1000,0000000236,0000000446,000000000000100130,2000,0010,008,2024,6173.24,EUR
100,1000,0000000237,0000000202,000000000000100236,2000,0010,009,2023,1582.09,EUR
100,1000,0000000238,0000000272,000000000000100106,1000,0006,010,2024,6963.75,EUR
100,1000,0000000239,0000000339,000000000000100420,1000,0003,011,2023,5755.64,EUR
100,1000,0000000240,0000000005,000000000000100000,2000,0009,012,2024,9149.07,EUR
100,1000,0000000241,0000000010,000000000000100260,1000,0004,001,2023,3865.44,EUR
100,1000,0000000242,0000000146,000000000000100141,2000,0003,002,2024,6175.65,EUR
100,1000,0000000243,0000000302,000000000000100225,1000,0008,003,2023,6673.34,EUR
100,1000,0000000244,0000000221,000000000000100002,1000,0010,004,2024,2546.88,EUR
100,1000,0000000245,0000000451,000000000000100423,2000,0009,005,2023,5754.85,EUR
100,1000,0000000246,0000000002,000000000000100053,2000,0004,006,2024,3005.04,EUR
100,1000,0000000247,0000000227,000000000000100133,2000,0007,007,2023,5265.98,EUR
100,1000,0000000248,0000000296,000000000000100295,2000,0004,008,2024,7791.35,EUR
100,1000,0000000249,0000000123,000000000000100431,2000,0002,009,2023,7458.34,EUR
100,1000,0000000250,0000000153,000000000000100191,1000,0010,010,2024,1838.43,EUR
100,1000,0000000251,0000000369,000000000000100148,1000,0006,011,2023,6992.21,EUR
100,1000,0000000252,0000000272,000000000000100407,1000,0001,012,2024,6326.03,EUR
100,1000,0000000253,0000000446,000000000000100340,2000,0004,001,2023,150.22,EUR
100,1000,0000000254,0000000093,000000000000100127,1000,0001,002,2024,1821.5,EUR
100,1000,0000000255,0000000461,000000000000100443,1000,0001,003,2023,5185.85,EUR
100,1000,0000000256,0000000154,000000000000100161,1000,0001,004,2024,1805.51,EUR
100,1000,0000000257,0000000488,000000000000100150,2000,0001,005,2023,2522.93,EUR
100,1000,0000000258,0000000457,000000000000100186,1000,0008,006,2024,3533.43,EUR
100,1000,0000000259,0000000436,000000000000100036,1000,0009,007,2023,1166.79,EUR
100,1000,0000000260,0000000228,000000000000100312,1000,0003,008,2024,2325.68,EUR
100,1000,0000000261,0000000220,000000000000100320,2000,0001,009,2023,4251.32,EUR
100,1000,0000000262,0000000268,000000000000100297,2000,0004,010,2024,4707.97,EUR
100,1000,0000000263,0000000325,000000000000100400,2000,0003,011,2023,6466.09,EUR
100,1000,0000000264,0000000203,000000000000100167,2000,0008,012,2024,483.96,EUR
100,1000,0000000265,0000000356,000000000000100028,1000,0006,001,2023,3976.26,EUR
100,1000,0000000266,0000000088,000000000000100094,2000,0008,002,2024,1923.02,EUR
100,1000,0000000267,0000000327,000000000000100003,2000,0001,003,2023,4889.72,EUR
100,1000,0000000268,0000000142,000000000000100439,2000,0001,004,2024,4507.31,EUR
100,1000,0000000269,0000000278,000000000000100243,2000,0003,005,2023,541.53,EUR
100,1000,0000000270,0000000179,000000000000100278,2000,0004,006,2024,552.75,EUR
100,1000,0000000271,0000000288,000000000000100498,1000,0001,007,2023,4014.95,EUR
100,1000,0000000272,0000000325,000000000000100412,1000,0010,008,2024,7622.01,EUR
100,1000,0000000273,0000000287,000000000000100221,1000,0001,009,2023,8466.66,EUR
100,1000,0000000274,0000000475,000000000000100393,2000,0001,010,2024,1328.83,EUR
100,1000,0000000275,0000000448,000000000000100072,2000,0007,011,2023,7700.03,EUR
100,1000,0000000276,0000000123,000000000000100371,2000,0004,012,2024,466.69,EUR
100,1000,0000000277,0000000220,000000000000100065,1000,0001,001,2023,5931.72,EUR
100,1000,0000000278,0000000079,000000000000100326,2000,0009,002,2024,9142.56,EUR
100,1000,0000000279,0000000059,000000000000100239,1000,0009,003,2023,337.33,EUR
100,1000,0000000280,0000000208,000000000000100321,1000,0007,004,2024,7318.3,EUR
100,1000,0000000281,0000000170,000000000000100188,1000,0010,005,2023,8459.97,EUR
100,1000,0000000282,0000000299,000000000000100135,2000,0006,006,2024,8014.36,EUR
100,1000,0000000283,0000000317,000000000000100209,2000,0005,007,2023,6781.39,EUR
100,1000,0000000284,0000000422,000000000000100464,1000,0008,008,2024,8547.27,EUR
100,1000,0000000285,0000000488,000000000000100342,1000,0005,009,2023,3608.25,EUR
100,1000,0000000286,0000000365,000000000000100436,1000,0002,010,2024,5771.0,EUR
100,1000,0000000287,0000000170,000000000000100347,1000,0009,011,2023,7260.92,EUR
100,1000,0000000288,0000000068,000000000000100070,1000,0001,012,2024,1626.58,EUR
100,1000,0000000289,0000000091,000000000000100220,1000,0002,001,2023,1783.66,EUR
100,1000,0000000290,0000000098,000000000000100465,1000,0005,002,2024,4469.02,EUR
100,1000,0000000291,0000000452,000000000000100427,1000,0006,003,2023,8576.79,EUR
100,1000,0000000292,0000000287,000000000000100358,2000,0003,004,2024,1345.04,EUR
100,1000,0000000293,0000000135,000000000000100413,2000,0003,005,2023,5134.23,EUR
100,1000,0000000294,0000000374,000000000000100068,2000,0003,006,2024,4959.37,EUR
100,1000,0000000295,0000000369,000000000000100158,1000,0005,007,2023,4031.37,EUR
100,1000,0000000296,0000000250,000000000000100197,2000,0004,008,2024,7771.39,EUR
100,1000,0000000297,0000000490,000000000000100151,1000,0002,009,2023,9362.12,EUR
100,1000,0000000298,0000000232,000000000000100259,2000,0004,010,2024,4130.7,EUR
100,1000,0000000299,0000000397,000000000000100274,2000,0006,011,2023,970.28,EUR
100,1000,0000000300,0000000185,000000000000100048,2000,0005,012,2024,6953.11,EUR
100,1000,0000000301,0000000119,000000000000100259,2000,0002,001,2023,7576.49,EUR
100,1000,0000000302,0000000258,000000000000100282,2000,0004,002,2024,7440.02,EUR
100,1000,0000000303,0000000423,000000000000100252,1000,0006,003,2023,4837.49,EUR
100,1000,0000000304,0000000252,000000000000100340,1000,0010,004,2024,2694.72,EUR
100,1000,0000000305,0000000010,000000000000100388,1000,0005,005,2023,2636.18,EUR
100,1000,0000000306,0000000401,000000000000100138,1000,0007,006,2024,4122.48,EUR
100,1000,0000000307,0000000165,000000000000100328,1000,0008,007,2023,4548.54,EUR
100,1000,0000000308,0000000206,000000000000100283,2000,0004,008,2024,7726.41,EUR
100,1000,0000000309,0000000348,000000000000100405,1000,0005,009,2023,2968.08,EUR
100,1000,0000000310,0000000102,000000000000100148,2000,0004,010,2024,9632.7,EUR
100,1000,0000000311,0000000208,000000000000100306,1000,0001,011,2023,8827.73,EUR
100,1000,0000000312,0000000206,000000000000100451,1000,0006,012,2024,639.72,EUR
100,1000,0000000313,0000000459,000000000000100334,2000,0002,001,2023,3519.56,EUR
100,1000,0000000314,0000000387,000000000000100407,2000,0010,002,2024,9414.94,EUR
100,1000,0000000315,0000000280,000000000000100299,1000,0009,003,2023,7632.58,EUR
100,1000,0000000316,0000000080,000000000000100087,2000,0005,004,2024,8647.83,EUR
100,1000,0000000317,0000000475,000000000000100278,1000,0003,005,2023,2222.37,EUR
100,1000,0000000318,0000000262,000000000000100177,1000,0006,006,2024,7593.32,EUR
100,1000,0000000319,0000000414,000000000000100071,2000,0009,007,2023,5340.86,EUR
100,1000,0000000320,0000000438,000000000000100332,1000,0009,008,2024,5948.74,EUR
100,1000,0000000321,0000000039,000000000000100052,2000,0010,009,2023,3599.37,EUR
100,1000,0000000322,0000000033,000000000000100202,1000,0001,010,2024,7143.27,EUR
100,1000,0000000323,0000000500,000000000000100236,2000,0008,011,2023,2985.72,EUR
100,1000,0000000324,0000000076,000000000000100420,1000,0008,012,2024,1915.07,EUR
100,1000,0000000325,0000000369,000000000000100149,2000,0009,001,2023,7027.27,EUR
100,1000,0000000326,0000000261,000000000000100346,2000,0007,002,2024,1076.46,EUR
100,1000,0000000327,0000000403,000000000000100403,1000,0008,003,2023,9515.06,EUR
100,1000,0000000328,0000000156,000000000000100093,2000,0003,004,2024,7827.65,EUR
100,1000,0000000329,0000000040,000000000000100304,2000,0009,005,2023,9571.9,EUR
100,1000,0000000330,0000000269,000000000000100345,2000,0010,006,2024,7335.52,EUR
100,1000,0000000331,0000000178,000000000000100223,1000,0001,007,2023,1088.08,EUR
