MANDT,QMNUM,MATNR,WERKS,QMDAT,QMART,ERNAM
100,QM00000065,MAT000387,1200,20241004,Q1,USER026
100,QM00000066,MAT000499,1200,20250520,Q2,USER050
100,QM00000067,MAT000496,1100,20230723,Q2,USER028
100,QM00000068,MAT000472,1100,20230523,Q2,USER034
100,QM00000069,MAT000071,1000,20240118,Q2,USER049
100,QM00000070,MAT000033,1000,20230703,Q2,USER033
100,QM00000071,MAT000125,1200,20241207,Q2,USER045
100,QM00000072,MAT000219,1200,20230930,Q2,USER030
100,QM00000073,MAT000336,1000,20250731,Q1,USER029
100,QM00000074,MAT000472,1000,20230926,Q2,USER036
100,QM00000075,MAT000080,1100,20230115,Q3,USER020
100,QM00000076,MAT000400,1200,20240110,Q1,USER032
100,QM00000077,MAT000341,1000,20220127,Q3,USER039
100,QM00000078,MAT000499,1200,20230626,Q3,USER044
100,QM00000079,MAT000219,1000,20220116,Q3,USER036
100,QM00000080,MAT000079,1200,20251120,Q1,USER048
100,QM00000081,MAT000211,1100,20250618,Q1,USER001
100,QM00000082,MAT000398,1000,20240727,Q3,USER019
100,QM00000083,MAT000002,1000,20250904,Q2,USER015
100,QM00000084,MAT000065,1200,20240124,Q2,USER039
100,QM00000085,MAT000191,1100,20241110,Q3,USER027
100,QM00000086,MAT000481,1000,20231224,Q3,USER001
100,QM00000087,MAT000453,1000,20220429,Q3,USER026
100,QM00000088,MAT000116,1100,20220807,Q3,USER008
100,QM00000089,MAT000221,1000,20240911,Q1,USER003
100,QM00000090,MAT000301,1100,20250907,Q2,USER047
100,QM00000091,MAT000257,1100,20241212,Q2,USER041
100,QM00000092,MAT000459,1100,20250303,Q2,USER017
100,QM00000093,MAT000417,1100,20250118,Q3,USER020
100,QM00000094,MAT000262,1100,20240728,Q1,USER050
100,QM00000095,MAT000273,1200,20230815,Q2,USER004
100,QM00000096,MAT000473,1000,20251110,Q1,USER047
100,QM00000097,MAT000468,1200,20230825,Q1,USER005
100,QM00000098,MAT000339,1000,20221115,Q1,USER034
100,QM00000099,MAT000157,1100,20230221,Q2,USER034
100,QM00000100,MAT000382,1200,20220814,Q2,USER040
100,QM00000101,MAT000196,1100,20231106,Q2,USER017
100,QM00000102,MAT000121,1100,20250307,Q3,USER018
100,QM00000103,MAT000135,1200,20251129,Q2,USER039
100,QM00000104,MAT000195,1200,20220730,Q1,USER010
100,QM00000105,MAT000110,1000,20240529,Q2,USER033
100,QM00000106,MAT000341,1000,20240520,Q1,USER044
100,QM00000107,MAT000189,1200,20241019,Q2,USER022
100,QM00000108,MAT000114,1000,20220707,Q3,USER046
100,QM00000109,MAT000229,1200,20220313,Q1,USER049
100,QM00000110,MAT000153,1100,20240821,Q3,USER050
100,QM00000111,MAT000465,1000,20240722,Q2,USER022
100,QM00000112,MAT000191,1100,20250126,Q1,USER022
100,QM00000113,MAT000252,1100,20231026,Q1,USER049
100,QM00000114,MAT000244,1100,20231205,Q2,USER020
100,QM00000115,MAT000045,1000,20250802,Q2,USER009
100,QM00000116,MAT000314,1000,20220818,Q2,USER031
100,QM00000117,MAT000115,1000,20241223,Q1,USER015
100,QM00000118,MAT000221,1000,20240625,Q1,USER004
100,QM00000119,MAT000007,1200,20221224,Q3,USER015
100,QM00000120,MAT000274,1000,20220823,Q3,USER009
100,QM00000121,MAT000379,1200,20220620,Q1,USER017
100,QM00000122,MAT000046,1000,20241212,Q1,USER030
100,QM00000123,MAT000390,1200,20240711,Q2,USER025
100,QM00000124,MAT000042,1000,20221230,Q1,USER039
100,QM00000125,MAT000166,1100,20251115,Q3,USER043
100,QM00000126,MAT000115,1100,20221008,Q1,USER045
100,QM00000127,MAT000220,1200,20230809,Q2,USER028
100,QM00000128,MAT000499,1000,20220908,Q3,USER042
100,QM00000129,MAT000195,1200,20220408,Q2,USER035
100,QM00000130,MAT000352,1100,20250617,Q2,USER006
100,QM00000131,MAT000352,1100,20230628,Q3,USER041
100,QM00000132,MAT000339,1200,20240119,Q1,USER005
100,QM00000133,MAT000483,1200,20221010,Q3,USER005
100,QM00000134,MAT000037,1200,20220116,Q2,USER032
100,QM00000135,MAT000117,1000,20250507,Q2,USER009
100,QM00000136,MAT000392,1200,20220617,Q3,USER018
100,QM00000137,MAT000467,1200,20251028,Q2,USER043
100,QM00000138,MAT000398,1100,20230810,Q2,USER031
100,QM00000139,MAT000045,1000,20230726,Q3,USER002
100,QM00000140,MAT000084,1000,20251112,Q2,USER036
100,QM00000141,MAT000452,1200,20240219,Q2,USER020
100,QM00000142,MAT000195,1100,20251027,Q3,USER015
100,QM00000143,MAT000195,1100,20240304,Q3,USER026
100,QM00000144,MAT000480,1200,20241107,Q3,USER027
100,QM00000145,MAT000046,1100,20240624,Q2,USER012
100,QM00000146,MAT000181,1100,20221208,Q3,USER037
100,QM00000147,MAT000273,1100,20220430,Q1,USER050
100,QM00000148,MAT000164,1100,20230104,Q2,USER050
100,QM00000149,MAT000137,1000,20240220,Q1,USER008
100,QM00000150,MAT000412,1100,20230913,Q1,USER009
100,QM00000151,MAT000046,1100,20250804,Q1,USER033
100,QM00000152,MAT000035,1100,20250119,Q3,USER044
100,QM00000153,MAT000114,1000,20250216,Q1,USER042
100,QM00000154,MAT000150,1200,20230804,Q2,USER003
100,QM00000155,MAT000282,1100,20240730,Q2,USER008
100,QM00000156,MAT000085,1200,20230217,Q3,USER012
100,QM00000157,MAT000231,1100,20220503,Q2,USER043
100,QM00000158,MAT000234,1100,20250201,Q3,USER005
100,QM00000159,MAT000335,1200,20220731,Q3,USER029
100,QM00000160,MAT000221,1200,20220904,Q1,USER005
100,QM00000161,MAT000457,1100,20240501,Q3,USER021
100,QM00000162,MAT000400,1000,20250226,Q2,USER005
100,QM00000163,MAT000311,1100,20240430,Q3,USER025
100,QM00000164,MAT000351,1000,20240827,Q1,USER030
100,QM00000165,MAT000345,1200,20250318,Q1,USER042
100,QM00000166,MAT000100,1100,20251120,Q3,USER015
100,QM00000167,MAT000441,1100,20231219,Q3,USER001
100,QM00000168,MAT000096,1000,20250515,Q3,USER029
100,QM00000169,MAT000473,1100,20240808,Q1,USER005
100,QM00000170,MAT000036,1200,20251021,Q2,USER008
100,QM00000171,MAT000152,1100,20220301,Q2,USER037
100,QM00000172,MAT000242,1000,20230606,Q3,USER043
100,QM00000173,MAT000005,1000,20220602,Q2,USER038
100,QM00000174,MAT000036,1100,20230826,Q3,USER046
100,QM00000175,MAT000099,1200,20220120,Q1,USER024
100,QM00000176,MAT000382,1000,20240731,Q3,USER049
100,QM00000177,MAT000116,1200,20250103,Q1,USER041
100,QM00000178,MAT000493,1200,20230725,Q1,USER049
100,QM00000179,MAT000258,1100,20230902,Q3,USER030
100,QM00000180,MAT000295,1100,20230517,Q1,USER008
100,QM00000181,MAT000016,1200,20251026,Q1,USER048
100,QM00000182,MAT000208,1100,20240220,Q2,USER031
100,QM00000183,MAT000384,1000,20250716,Q2,USER036
100,QM00000184,MAT000252,1200,20241125,Q1,USER008
100,QM00000185,MAT000408,1000,20240922,Q3,USER001
100,QM00000186,MAT000473,1100,20220822,Q1,USER042
100,QM00000187,MAT000433,1000,20231205,Q1,USER033
100,QM00000188,MAT000166,1200,20251019,Q2,USER034
100,QM00000189,MAT000448,1200,20250913,Q2,USER016
100,QM00000190,MAT000192,1200,20240712,Q1,USER037
100,QM00000191,MAT000099,1200,20230902,Q1,USER003
100,QM00000192,MAT000424,1100,20221115,Q1,USER048
100,QM00000193,MAT000005,1000,20230706,Q1,USER002
100,QM00000194,MAT000413,1000,20251009,Q3,USER042
100,QM00000195,MAT000011,1200,20230610,Q1,USER043
100,QM00000196,MAT000185,1200,20250614,Q2,USER011
100,QM00000197,MAT000046,1000,20220802,Q3,USER039
100,QM00000198,MAT000420,1200,20240124,Q3,USER017
100,QM00000199,MAT000376,1000,20241130,Q2,USER036
100,QM00000200,MAT000416,1000,20231130,Q2,USER007
100,QM00000201,MAT000351,1100,20251030,Q3,USER018
100,QM00000202,MAT000266,1100,20240222,Q1,USER004
100,QM00000203,MAT000069,1100,20250319,Q3,USER004
100,QM00000204,MAT000048,1000,20221106,Q1,USER030
100,QM00000205,MAT000081,1200,20230516,Q2,USER011
100,QM00000206,MAT000094,1100,20230902,Q1,USER026
100,QM00000207,MAT000499,1200,20230904,Q1,USER033
100,QM00000208,MAT000394,1100,20240628,Q3,USER005
100,QM00000209,MAT000310,1000,20240101,Q1,USER007
100,QM00000210,MAT000441,1000,20220312,Q1,USER035
100,QM00000211,MAT000007,1000,20241230,Q3,USER041
100,QM00000212,MAT000414,1200,20220101,Q1,USER024
100,QM00000213,MAT000398,1000,20251126,Q3,USER027
100,QM00000214,MAT000430,1200,20221129,Q3,USER011
100,QM00000215,MAT000148,1000,20250914,Q1,USER028
100,QM00000216,MAT000044,1100,20231011,Q2,USER039
100,QM00000217,MAT000306,1100,20220405,Q1,USER027
100,QM00000218,MAT000414,1200,20230924,Q1,USER034
100,QM00000219,MAT000457,1100,20220415,Q3,USER025
100,QM00000220,MAT000153,1000,20220112,Q3,USER042
100,QM00000221,MAT000241,1200,20230716,Q2,USER047
100,QM00000222,MAT000431,1100,20250827,Q3,USER013
100,QM00000223,MAT000077,1200,20250713,Q1,USER037
100,QM00000224,MAT000147,1000,20250927,Q3,USER012
100,QM00000225,MAT000019,1000,20221211,Q1,USER027
100,QM00000226,MAT000205,1000,20231123,Q3,USER037
100,QM00000227,MAT000097,1200,20240811,Q2,USER024
100,QM00000228,MAT000290,1100,20230701,Q2,USER006
100,QM00000229,MAT000123,1100,20220929,Q1,USER049
100,QM00000230,MAT000043,1100,20221024,Q1,USER030
100,QM00000231,MAT000098,1200,20241212,Q3,USER015
100,QM00000232,MAT000231,1100,20250107,Q2,USER016
100,QM00000233,MAT000310,1000,20240725,Q1,USER047
100,QM00000234,MAT000357,1000,20221030,Q1,USER042
100,QM00000235,MAT000284,1000,20220212,Q2,USER019
100,QM00000236,MAT000351,1100,20250910,Q2,USER018
100,QM00000237,MAT000422,1100,20221212,Q3,USER032
100,QM00000238,MAT000357,1100,20230508,Q2,USER006
100,QM00000239,MAT000420,1000,20231208,Q2,USER038
100,QM00000240,MAT000485,1200,20230412,Q1,USER033
100,QM00000241,MAT000376,1200,20250224,Q2,USER002
100,QM00000242,MAT000197,1200,20240213,Q1,USER027
100,QM00000243,MAT000280,1000,20240701,Q2,USER016
100,QM00000244,MAT000336,1200,20250611,Q3,USER007
100,QM00000245,MAT000441,1100,20240505,Q2,USER022
100,QM00000246,MAT000252,1100,20221029,Q2,USER046
100,QM00000247,MAT000358,1000,20250206,Q3,USER030
100,QM00000248,MAT000288,1200,20231008,Q1,USER030
100,QM00000249,MAT000498,1000,20220525,Q3,USER003
100,QM00000250,MAT000252,1000,20240620,Q3,USER003
100,QM00000251,MAT000436,1100,20221016,Q2,USER040
100,QM00000252,MAT000440,1100,20250726,Q1,USER005
100,QM00000253,MAT000402,1100,20250119,Q2,USER010
100,QM00000254,MAT000049,1200,20250508,Q2,USER002
100,QM00000255,MAT000431,1200,20240327,Q3,USER028
100,QM00000256,MAT000269,1000,20250515,Q3,USER050
100,QM00000257,MAT000086,1100,20220422,Q2,USER049
100,QM00000258,MAT000038,1200,20251025,Q2,USER042
100,QM00000259,MAT000227,1200,20250227,Q3,USER019
100,QM00000260,MAT000136,1200,20231119,Q1,USER012
100,QM00000261,MAT000468,1000,20251218,Q2,USER008
100,QM00000262,MAT000304,1100,20240728,Q3,USER030
100,QM00000263,MAT000066,1000,20240116,Q1,USER019
100,QM00000264,MAT000497,1000,20230628,Q2,USER046
100,QM00000265,MAT000404,1000,20250804,Q3,USER045
100,QM00000266,MAT000051,1200,20220722,Q2,USER032
100,QM00000267,MAT000079,1000,20240405,Q2,USER035
100,QM00000268,MAT000136,1000,20230329,Q1,USER026
100,QM00000269,MAT000037,1200,20230919,Q3,USER014
100,QM00000270,MAT000500,1000,20220811,Q2,USER003
100,QM00000271,MAT000366,1000,20240414,Q3,USER043
100,QM00000272,MAT000041,1000,20230819,Q1,USER020
100,QM00000273,MAT000294,1200,20230811,Q2,USER028
100,QM00000274,MAT000387,1200,20250604,Q1,USER034
100,QM00000275,MAT000221,1000,20250628,Q1,USER035
100,QM00000276,MAT000065,1200,20230805,Q3,USER038
100,QM00000277,MAT000171,1100,20251024,Q1,USER036
100,QM00000278,MAT000472,1200,20240912,Q1,USER042
100,QM00000279,MAT000376,1000,20230804,Q3,USER002
100,QM00000280,MAT000036,1200,20241105,Q3,USER004
100,QM00000281,MAT000277,1200,20250307,Q1,USER049
100,QM00000282,MAT000135,1200,20230617,Q2,USER032
100,QM00000283,MAT000295,1200,20250524,Q3,USER037
100,QM00000284,MAT000201,1100,20250408,Q2,USER004
100,QM00000285,MAT000212,1000,20220807,Q1,USER042
100,QM00000286,MAT000050,1000,20230803,Q3,USER018
100,QM00000287,MAT000346,1200,20240510,Q2,USER047
100,QM00000288,MAT000192,1000,20230803,Q1,USER019
100,QM00000289,MAT000417,1000,20220720,Q2,USER028
100,QM00000290,MAT000457,1200,20250628,Q2,USER032
100,QM00000291,MAT000051,1100,20251213,Q2,USER035
100,QM00000292,MAT000176,1100,20231106,Q3,USER038
100,QM00000293,MAT000422,1000,20250504,Q1,USER044
100,QM00000294,MAT000370,1000,20231127,Q3,USER006
100,QM00000295,MAT000470,1200,20230730,Q2,USER006
100,QM00000296,MAT000262,1100,20220525,Q2,USER013
100,QM00000297,MAT000064,1100,20240718,Q3,USER007
100,QM00000298,MAT000306,1000,20231108,Q1,USER038
100,QM00000299,MAT000189,1200,20250830,Q2,USER036
100,QM00000300,MAT000094,1200,20250424,Q2,USER017
100,QM00000301,MAT000189,1200,20220103,Q3,USER003
100,QM00000302,MAT000001,1200,20241116,Q2,USER033
100,QM00000303,MAT000494,1000,20230310,Q1,USER042
100,QM00000304,MAT000336,1200,20231228,Q2,USER024
100,QM00000305,MAT000122,1000,20221116,Q2,USER012
100,QM00000306,MAT000185,1100,20230914,Q3,USER042
100,QM00000307,MAT000357,1200,20231201,Q1,USER040
100,QM00000308,MAT000392,1000,20230328,Q3,USER008
100,QM00000309,MAT000405,1200,20220210,Q3,USER030
100,QM00000310,MAT000297,1100,20241028,Q2,USER005
100,QM00000311,MAT000081,1200,20220219,Q2,USER024
100,QM00000312,MAT000409,1000,20231115,Q1,USER033
100,QM00000313,MAT000194,1000,20240314,Q2,USER034
100,QM00000314,MAT000150,1200,20250713,Q1,USER025
100,QM00000315,MAT000148,1100,20251219,Q1,USER008
100,QM00000316,MAT000398,1000,20240301,Q3,USER039
100,QM00000317,MAT000094,1000,20240425,Q1,USER034
100,QM00000318,MAT000339,1200,20240705,Q1,USER007
100,QM00000319,MAT000263,1200,20220103,Q3,USER017
100,QM00000320,MAT000081,1100,20230830,Q2,USER034
100,QM00000321,MAT000269,1100,20240620,Q1,USER018
100,QM00000322,MAT000457,1100,20231119,Q2,USER038
100,QM00000323,MAT000375,1100,20250213,Q2,USER007
100,QM00000324,MAT000004,1100,20250718,Q3,USER013
100,QM00000325,MAT000041,1200,20230514,Q2,USER017
100,QM00000326,MAT000040,1200,20230721,Q2,USER047
100,QM00000327,MAT000179,1000,20250130,Q2,USER013
100,QM00000328,MAT000066,1000,20221228,Q3,USER040
100,QM00000329,MAT000292,1000,20250518,Q2,USER013
100,QM00000330,MAT000208,1200,20230616,Q2,USER032
100,QM00000331,MAT000329,1200,20250105,Q2,USER001
100,QM00000332,MAT000109,1000,20240802,Q1,USER023
100,QM00000333,MAT000167,1100,20250519,Q3,USER013
100,QM00000334,MAT000499,1100,20230113,Q1,USER020
100,QM00000335,MAT000384,1100,20230525,Q2,USER004
100,QM00000336,MAT000263,1000,20250116,Q1,USER047
100,QM00000337,MAT000162,1200,20220202,Q1,USER014
100,QM00000338,MAT000372,1200,20251213,Q1,USER033
100,QM00000339,MAT000002,1200,20231118,Q3,USER033
100,QM00000340,MAT000222,1100,20220901,Q2,USER017
100,QM00000341,MAT000071,1100,20230112,Q2,USER001
100,QM00000342,MAT000162,1200,20230907,Q1,USER019
100,QM00000343,MAT000284,1100,20230127,Q3,USER008
100,QM00000344,MAT000122,1000,20221020,Q2,USER014
100,QM00000345,MAT000005,1100,20230803,Q3,USER030
100,QM00000346,MAT000395,1100,20241229,Q3,USER050
100,QM00000347,MAT000035,1000,20250216,Q2,USER048
100,QM00000348,MAT000040,1000,20250129,Q3,USER048
100,QM00000349,MAT000330,1200,20231006,Q3,USER027
100,QM00000350,MAT000288,1100,20230731,Q2,USER020
100,QM00000351,MAT000404,1100,20250126,Q3,USER026
100,QM00000352,MAT000290,1200,20250312,Q3,USER030
100,QM00000353,MAT000309,1100,20241229,Q2,USER033
100,QM00000354,MAT000157,1000,20240329,Q1,USER021
100,QM00000355,MAT000049,1000,20250307,Q3,USER035
100,QM00000356,MAT000324,1000,20231206,Q1,USER021
100,QM00000357,MAT000343,1000,20240313,Q3,USER035
100,QM00000358,MAT000137,1100,20220720,Q1,USER011
100,QM00000359,MAT000162,1000,20230105,Q3,USER007
100,QM00000360,MAT000348,1000,20250331,Q2,USER029
100,QM00000361,MAT000366,1000,20230909,Q3,USER008
100,QM00000362,MAT000005,1200,20240613,Q3,USER039
100,QM00000363,MAT000367,1200,20240629,Q3,USER032
100,QM00000364,MAT000032,1200,20220420,Q1,USER037
100,QM00000365,MAT000302,1100,20231211,Q1,USER039
100,QM00000366,MAT000095,1000,20240825,Q3,USER046
100,QM00000367,MAT000487,1000,20250613,Q3,USER006
100,QM00000368,MAT000311,1200,20221011,Q2,USER003
100,QM00000369,MAT000200,1200,20241104,Q2,USER035
100,QM00000370,MAT000185,1100,20240609,Q3,USER037
100,QM00000371,MAT000473,1000,20230312,Q3,USER034
100,QM00000372,MAT000292,1000,20221122,Q1,USER030
100,QM00000373,MAT000086,1000,20250724,Q2,USER021
100,QM00000374,MAT000398,1000,20230318,Q2,USER030
100,QM00000375,MAT000093,1200,20251022,Q3,USER013
100,QM00000376,MAT000339,1000,20230127,Q3,USER006
100,QM00000377,MAT000354,1100,20250222,Q1,USER039
100,QM00000378,MAT000121,1200,20240711,Q1,USER012
100,QM00000379,MAT000485,1200,20231206,Q3,USER024
100,QM00000380,MAT000334,1200,20231111,Q2,USER035
100,QM00000381,MAT000121,1200,20250927,Q1,USER047
100,QM00000382,MAT000135,1000,20230826,Q1,USER016
100,QM00000383,MAT000487,1200,20250702,Q3,USER044
100,QM00000384,MAT000008,1200,20230102,Q1,USER035
100,QM00000385,MAT000047,1100,20250422,Q1,USER031
100,QM00000386,MAT000258,1200,20221104,Q2,USER001
100,QM00000387,MAT000331,1000,20241108,Q3,USER012
100,QM00000388,MAT000221,1200,20221230,Q3,USER011
100,QM00000389,MAT000258,1100,20240909,Q1,USER025
100,QM00000390,MAT000086,1100,20251208,Q3,USER045
100,QM00000391,MAT000231,1000,20250730,Q1,USER016
100,QM00000392,MAT000037,1200,20220908,Q2,USER035
100,QM00000393,MAT000154,1000,20220706,Q2,USER043
100,QM00000394,MAT000389,1000,20240408,Q3,USER030
100,QM00000395,MAT000173,1100,20220704,Q3,USER002
100,QM00000396,MAT000471,1200,20241010,Q2,USER030
100,QM00000397,MAT000243,1200,20231204,Q2,USER030
100,QM00000398,MAT000052,1100,20250924,Q1,USER019
100,QM00000399,MAT000096,1200,20230305,Q3,USER009
100,QM00000400,MAT000084,1100,20250324,Q1,USER046
100,QM00000401,MAT000489,1200,20250921,Q1,USER032
100,QM00000402,MAT000273,1200,20220411,Q3,USER041
100,QM00000403,MAT000411,1200,20250319,Q1,USER021
100,QM00000404,MAT000189,1000,20250912,Q1,USER011
100,QM00000405,MAT000244,1100,20250617,Q2,USER035
100,QM00000406,MAT000344,1200,20250324,Q1,USER020
100,QM00000407,MAT000149,1100,20240526,Q2,USER030
100,QM00000408,MAT000015,1100,20250606,Q3,USER003
100,QM00000409,MAT000191,1100,20220402,Q3,USER002
100,QM00000410,MAT000354,1200,20251226,Q3,USER018
100,QM00000411,MAT000231,1000,20251004,Q2,USER012
100,QM00000412,MAT000236,1100,20230410,Q2,USER021
100,QM00000413,MAT000010,1100,20250607,Q1,USER013
100,QM00000414,MAT000347,1200,20240606,Q2,USER028
100,QM00000415,MAT000373,1000,20220808,Q2,USER047
100,QM00000416,MAT000496,1000,20220630,Q2,USER032
100,QM00000417,MAT000244,1200,20220412,Q1,USER046
100,QM00000418,MAT000088,1100,20220311,Q2,USER048
100,QM00000419,MAT000110,1200,20220928,Q3,USER043
100,QM00000420,MAT000407,1200,20231212,Q3,USER010
100,QM00000421,MAT000236,1100,20230519,Q3,USER029
100,QM00000422,MAT000109,1100,20240714,Q1,USER022
100,QM00000423,MAT000405,1200,20220927,Q1,USER016
100,QM00000424,MAT000304,1000,20220625,Q1,USER041
100,QM00000425,MAT000243,1000,20241020,Q3,USER002
100,QM00000426,MAT000069,1200,20251124,Q1,USER034
100,QM00000427,MAT000070,1000,20221129,Q2,USER005
100,QM00000428,MAT000286,1000,20230410,Q3,USER020
100,QM00000429,MAT000003,1100,20250703,Q1,USER049
100,QM00000430,MAT000288,1200,20250228,Q3,USER035
100,QM00000431,MAT000124,1000,20250722,Q1,USER027
100,QM00000432,MAT000413,1000,20251023,Q3,USER033
100,QM00000433,MAT000421,1100,20221228,Q2,USER007
100,QM00000434,MAT000281,1200,20220811,Q3,USER031
100,QM00000435,MAT000491,1000,20221020,Q2,USER050
100,QM00000436,MAT000053,1200,20230516,Q3,USER013
100,QM00000437,MAT000273,1000,20240105,Q1,USER027
100,QM00000438,MAT000362,1200,20220529,Q3,USER003
100,QM00000439,MAT000208,1100,20230815,Q2,USER042
100,QM00000440,MAT000292,1000,20220808,Q2,USER042
100,QM00000441,MAT000457,1100,20221102,Q2,USER002
100,QM00000442,MAT000431,1100,20221026,Q1,USER031
100,QM00000443,MAT000080,1100,20220908,Q2,USER039
100,QM00000444,MAT000083,1000,20250825,Q2,USER032
100,QM00000445,MAT000243,1200,20220325,Q2,USER050
100,QM00000446,MAT000081,1000,20250127,Q1,USER037
100,QM00000447,MAT000471,1200,20230211,Q2,USER001
100,QM00000448,MAT000043,1000,20250824,Q3,USER012
100,QM00000449,MAT000083,1200,20230622,Q2,USER022
100,QM00000450,MAT000277,1200,20250131,Q2,USER030
100,QM00000451,MAT000487,1200,20251022,Q3,USER040
100,QM00000452,MAT000220,1100,20221113,Q1,USER007
100,QM00000453,MAT000037,1000,20250502,Q2,USER040
100,QM00000454,MAT000258,1200,20230508,Q2,USER041
100,QM00000455,MAT000200,1100,20230814,Q1,USER023
100,QM00000456,MAT000070,1000,20230116,Q1,USER039
100,QM00000457,MAT000346,1100,20230714,Q1,USER042
100,QM00000458,MAT000123,1200,20231126,Q3,USER024
100,QM00000459,MAT000301,1100,20230207,Q3,USER002
100,QM00000460,MAT000258,1200,20250820,Q3,USER040
100,QM00000461,MAT000183,1000,20220209,Q1,USER040
100,QM00000462,MAT000416,1200,20240905,Q3,USER012
100,QM00000463,MAT000306,1000,20220706,Q3,USER045
100,QM00000464,MAT000333,1100,20240912,Q2,USER004
100,QM00000465,MAT000474,1100,20250805,Q3,USER030
100,QM00000466,MAT000213,1200,20220706,Q1,USER001
100,QM00000467,MAT000015,1000,20250809,Q2,USER018
100,QM00000468,MAT000341,1000,20250719,Q3,USER024
100,QM00000469,MAT000088,1100,20250210,Q2,USER047
100,QM00000470,MAT000197,1100,20220408,Q1,USER017
100,QM00000471,MAT000296,1000,20230403,Q2,USER021
100,QM00000472,MAT000383,1000,20251228,Q1,USER042
100,QM00000473,MAT000294,1200,20231106,Q3,USER025
100,QM00000474,MAT000257,1200,20220816,Q2,USER038
100,QM00000475,MAT000117,1000,20241216,Q1,USER009
100,QM00000476,MAT000271,1000,20240510,Q1,USER042
100,QM00000477,MAT000186,1100,20230418,Q2,USER005
100,QM00000478,MAT000263,1200,20220401,Q1,USER048
100,QM00000479,MAT000249,1100,20250527,Q2,USER024
100,QM00000480,MAT000445,1100,20220102,Q3,USER039
