MANDT,KUNNR,VKORG,VTWEG,SPART,KDGRP,WAERS
100,CUS000086,1000,10,00,03,EUR
100,CUS000087,1000,10,00,03,EUR
100,CUS000088,1000,10,00,03,EUR
100,CUS000089,1000,10,00,01,EUR
100,CUS000090,1000,10,00,03,EUR
100,CUS000091,1000,10,00,04,EUR
100,CUS000092,1000,10,00,04,EUR
100,CUS000093,1000,10,00,02,EUR
100,CUS000094,1000,10,00,02,EUR
100,CUS000095,1000,10,00,03,EUR
100,CUS000096,1000,10,00,02,EUR
100,CUS000097,1000,10,00,03,EUR
100,CUS000098,1000,10,00,01,EUR
100,CUS000099,1000,10,00,01,EUR
100,CUS000100,1000,10,00,01,EUR
100,CUS000101,1000,10,00,01,EUR
100,CUS000102,1000,10,00,04,EUR
100,CUS000103,1000,10,00,01,EUR
100,CUS000104,1000,10,00,01,EUR
100,CUS000105,1000,10,00,04,EUR
100,CUS000106,1000,10,00,03,EUR
100,CUS000107,1000,10,00,02,EUR
100,CUS000108,1000,10,00,03,EUR
100,CUS000109,1000,10,00,03,EUR
100,CUS000110,1000,10,00,02,EUR
100,CUS000111,1000,10,00,01,EUR
100,CUS000112,1000,10,00,01,EUR
100,CUS000113,1000,10,00,01,EUR
100,CUS000114,1000,10,00,01,EUR
100,CUS000115,1000,10,00,02,EUR
100,CUS000116,1000,10,00,01,EUR
100,CUS000117,1000,10,00,01,EUR
100,CUS000118,1000,10,00,01,EUR
100,CUS000119,1000,10,00,02,EUR
100,CUS000120,1000,10,00,04,EUR
100,CUS000121,1000,10,00,02,EUR
100,CUS000122,1000,10,00,01,EUR
100,CUS000123,1000,10,00,02,EUR
100,CUS000124,1000,10,00,03,EUR
100,CUS000125,1000,10,00,03,EUR
100,CUS000126,1000,10,00,04,EUR
100,CUS000127,1000,10,00,01,EUR
100,CUS000128,1000,10,00,04,EUR
100,CUS000129,1000,10,00,03,EUR
100,CUS000130,1000,10,00,04,EUR
100,CUS000131,1000,10,00,03,EUR
100,CUS000132,1000,10,00,03,EUR
100,CUS000133,1000,10,00,02,EUR
100,CUS000134,1000,10,00,01,EUR
100,CUS000135,1000,10,00,03,EUR
100,CUS000136,1000,10,00,01,EUR
100,CUS000137,1000,10,00,04,EUR
100,CUS000138,1000,10,00,04,EUR
100,CUS000139,1000,10,00,03,EUR
100,CUS000140,1000,10,00,01,EUR
100,CUS000141,1000,10,00,03,EUR
100,CUS000142,1000,10,00,03,EUR
100,CUS000143,1000,10,00,02,EUR
100,CUS000144,1000,10,00,04,EUR
100,CUS000145,1000,10,00,01,EUR
100,CUS000146,1000,10,00,04,EUR
100,CUS000147,1000,10,00,02,EUR
100,CUS000148,1000,10,00,04,EUR
100,CUS000149,1000,10,00,02,EUR
100,CUS000150,1000,10,00,04,EUR
100,CUS000151,1000,10,00,01,EUR
100,CUS000152,1000,10,00,02,EUR
100,CUS000153,1000,10,00,04,EUR
100,CUS000154,1000,10,00,02,EUR
100,CUS000155,1000,10,00,01,EUR
100,CUS000156,1000,10,00,04,EUR
100,CUS000157,1000,10,00,03,EUR
100,CUS000158,1000,10,00,01,EUR
100,CUS000159,1000,10,00,01,EUR
100,CUS000160,1000,10,00,01,EUR
100,CUS000161,1000,10,00,01,EUR
100,CUS000162,1000,10,00,03,EUR
100,CUS000163,1000,10,00,04,EUR
100,CUS000164,1000,10,00,01,EUR
100,CUS000165,1000,10,00,04,EUR
100,CUS000166,1000,10,00,02,EUR
100,CUS000167,1000,10,00,01,EUR
100,CUS000168,1000,10,00,01,EUR
100,CUS000169,1000,10,00,04,EUR
100,CUS000170,1000,10,00,03,EUR
100,CUS000171,1000,10,00,02,EUR
100,CUS000172,1000,10,00,03,EUR
100,CUS000173,1000,10,00,04,EUR
100,CUS000174,1000,10,00,01,EUR
100,CUS000175,1000,10,00,04,EUR
100,CUS000176,1000,10,00,04,EUR
100,CUS000177,1000,10,00,04,EUR
100,CUS000178,1000,10,00,04,EUR
100,CUS000179,1000,10,00,01,EUR
100,CUS000180,1000,10,00,02,EUR
100,CUS000181,1000,10,00,01,EUR
100,CUS000182,1000,10,00,04,EUR
100,CUS000183,1000,10,00,04,EUR
100,CUS000184,1000,10,00,01,EUR
100,CUS000185,1000,10,00,03,EUR
100,CUS000186,1000,10,00,03,EUR
100,CUS000187,1000,10,00,03,EUR
100,CUS000188,1000,10,00,04,EUR
100,CUS000189,1000,10,00,01,EUR
100,CUS000190,1000,10,00,01,EUR
100,CUS000191,1000,10,00,03,EUR
100,CUS000192,1000,10,00,03,EUR
100,CUS000193,1000,10,00,01,EUR
100,CUS000194,1000,10,00,04,EUR
100,CUS000195,1000,10,00,03,EUR
100,CUS000196,1000,10,00,02,EUR
100,CUS000197,1000,10,00,02,EUR
100,CUS000198,1000,10,00,01,EUR
100,CUS000199,1000,10,00,04,EUR
100,CUS000200,1000,10,00,02,EUR
