MANDT,LGNUM,IVNUM,IVPOS,MATNR,LGTYP,LGPLA
100,001,0000000043,0003,000000000000100350,A,0000000043
100,002,0000000044,0004,000000000000100730,B,0000000044
100,003,0000000045,0005,000000000000100185,C,0000000045
100,001,0000000046,0001,000000000000100297,A,0000000046
100,002,0000000047,0002,000000000000100524,B,0000000047
100,003,0000000048,0003,000000000000100176,C,0000000048
100,001,0000000049,0004,000000000000100398,A,0000000049
100,002,0000000050,0005,000000000000100230,B,0000000050
100,003,0000000051,0001,000000000000100983,C,0000000051
100,001,0000000052,0002,000000000000100929,A,0000000052
100,002,0000000053,0003,000000000000100435,B,0000000053
100,003,0000000054,0004,000000000000100173,C,0000000054
100,001,0000000055,0005,000000000000100888,A,0000000055
100,002,0000000056,0001,000000000000100559,B,0000000056
100,003,0000000057,0002,000000000000100387,C,0000000057
100,001,0000000058,0003,000000000000100182,A,0000000058
100,002,0000000059,0004,000000000000100960,B,0000000059
100,003,0000000060,0005,000000000000100294,C,0000000060
100,001,0000000061,0001,000000000000100697,A,0000000061
100,002,0000000062,0002,000000000000100864,B,0000000062
100,003,0000000063,0003,000000000000100530,C,0000000063
100,001,0000000064,0004,000000000000100137,A,0000000064
100,002,0000000065,0005,000000000000100687,B,0000000065
100,003,0000000066,0001,000000000000100158,C,0000000066
100,001,0000000067,0002,000000000000100273,A,0000000067
100,002,0000000068,0003,000000000000100975,B,0000000068
100,003,0000000069,0004,000000000000100663,C,0000000069
100,001,0000000070,0005,000000000000100338,A,0000000070
100,002,0000000071,0001,000000000000100761,B,0000000071
100,003,0000000072,0002,000000000000100905,C,0000000072
100,001,0000000073,0003,000000000000100075,A,0000000073
100,002,0000000074,0004,000000000000100398,B,0000000074
100,003,0000000075,0005,000000000000100795,C,0000000075
100,001,0000000076,0001,000000000000100622,A,0000000076
100,002,0000000077,0002,000000000000100573,B,0000000077
100,003,0000000078,0003,000000000000100068,C,0000000078
100,001,0000000079,0004,000000000000100335,A,0000000079
100,002,0000000080,0005,000000000000100429,B,0000000080
100,003,0000000081,0001,000000000000100930,C,0000000081
100,001,0000000082,0002,000000000000100767,A,0000000082
100,002,0000000083,0003,000000000000100268,B,0000000083
100,003,0000000084,0004,000000000000100233,C,0000000084
100,001,0000000085,0005,000000000000100237,A,0000000085
100,002,0000000086,0001,000000000000100432,B,0000000086
100,003,0000000087,0002,000000000000100667,C,0000000087
100,001,0000000088,0003,000000000000100559,A,0000000088
100,002,0000000089,0004,000000000000100019,B,0000000089
100,003,0000000090,0005,000000000000100677,C,0000000090
100,001,0000000091,0001,000000000000100458,A,0000000091
100,002,0000000092,0002,000000000000100036,B,0000000092
100,003,0000000093,0003,000000000000100587,C,0000000093
100,001,0000000094,0004,000000000000100741,A,0000000094
100,002,0000000095,0005,000000000000100802,B,0000000095
100,003,0000000096,0001,000000000000100154,C,0000000096
100,001,0000000097,0002,000000000000100484,A,0000000097
100,002,0000000098,0003,000000000000100264,B,0000000098
100,003,0000000099,0004,000000000000100446,C,0000000099
100,001,0000000100,0005,000000000000100223,A,0000000100
100,002,0000000101,0001,000000000000100724,B,0000000001
100,003,0000000102,0002,000000000000100013,C,0000000002
100,001,0000000103,0003,000000000000100557,A,0000000003
100,002,0000000104,0004,000000000000100623,B,0000000004
100,003,0000000105,0005,000000000000100195,C,0000000005
100,001,0000000106,0001,000000000000100005,A,0000000006
100,002,0000000107,0002,000000000000100948,B,0000000007
100,003,0000000108,0003,000000000000100220,C,0000000008
100,001,0000000109,0004,000000000000100567,A,0000000009
100,002,0000000110,0005,000000000000100173,B,0000000010
100,003,0000000111,0001,000000000000100795,C,0000000011
100,001,0000000112,0002,000000000000100098,A,0000000012
100,002,0000000113,0003,000000000000100838,B,0000000013
100,003,0000000114,0004,000000000000100590,C,0000000014
100,001,0000000115,0005,000000000000100017,A,0000000015
100,002,0000000116,0001,000000000000100603,B,0000000016
100,003,0000000117,0002,000000000000100729,C,0000000017
100,001,0000000118,0003,000000000000100100,A,0000000018
100,002,0000000119,0004,000000000000100461,B,0000000019
100,003,0000000120,0005,000000000000100891,C,0000000020
100,001,0000000121,0001,000000000000100222,A,0000000021
100,002,0000000122,0002,000000000000100650,B,0000000022
100,003,0000000123,0003,000000000000100430,C,0000000023
100,001,0000000124,0004,000000000000100262,A,0000000024
100,002,0000000125,0005,000000000000100631,B,0000000025
100,003,0000000126,0001,000000000000100401,C,0000000026
100,001,0000000127,0002,000000000000100845,A,0000000027
100,002,0000000128,0003,000000000000100427,B,0000000028
100,003,0000000129,0004,000000000000100753,C,0000000029
100,001,0000000130,0005,000000000000100326,A,0000000030
100,002,0000000131,0001,000000000000100605,B,0000000031
100,003,0000000132,0002,000000000000100787,C,0000000032
100,001,0000000133,0003,000000000000100487,A,0000000033
100,002,0000000134,0004,000000000000100897,B,0000000034
100,003,0000000135,0005,000000000000100190,C,0000000035
100,001,0000000136,0001,000000000000100060,A,0000000036
100,002,0000000137,0002,000000000000100823,B,0000000037
100,003,0000000138,0003,000000000000100316,C,0000000038
100,001,0000000139,0004,000000000000100422,A,0000000039
100,002,0000000140,0005,000000000000100668,B,0000000040
100,003,0000000141,0001,000000000000100137,C,0000000041
100,001,0000000142,0002,000000000000100387,A,0000000042
100,002,0000000143,0003,000000000000100086,B,0000000043
100,003,0000000144,0004,000000000000100239,C,0000000044
100,001,0000000145,0005,000000000000100763,A,0000000045
100,002,0000000146,0001,000000000000100936,B,0000000046
100,003,0000000147,0002,000000000000100609,C,0000000047
100,001,0000000148,0003,000000000000100798,A,0000000048
100,002,0000000149,0004,000000000000100350,B,0000000049
100,003,0000000150,0005,000000000000100407,C,0000000050
100,001,0000000151,0001,000000000000100950,A,0000000051
100,002,0000000152,0002,000000000000100604,B,0000000052
100,003,0000000153,0003,000000000000100799,C,0000000053
100,001,0000000154,0004,000000000000100005,A,0000000054
100,002,0000000155,0005,000000000000100517,B,0000000055
100,003,0000000156,0001,000000000000100496,C,0000000056
100,001,0000000157,0002,000000000000100809,A,0000000057
100,002,0000000158,0003,000000000000100956,B,0000000058
100,003,0000000159,0004,000000000000100617,C,0000000059
100,001,0000000160,0005,000000000000100397,A,0000000060
100,002,0000000161,0001,000000000000100023,B,0000000061
100,003,0000000162,0002,000000000000100005,C,0000000062
100,001,0000000163,0003,000000000000100368,A,0000000063
100,002,0000000164,0004,000000000000100716,B,0000000064
100,003,0000000165,0005,000000000000100926,C,0000000065
100,001,0000000166,0001,000000000000100864,A,0000000066
100,002,0000000167,0002,000000000000100318,B,0000000067
100,003,0000000168,0003,000000000000100525,C,0000000068
100,001,0000000169,0004,000000000000100349,A,0000000069
100,002,0000000170,0005,000000000000100374,B,0000000070
100,003,0000000171,0001,000000000000100972,C,0000000071
100,001,0000000172,0002,000000000000100500,A,0000000072
100,002,0000000173,0003,000000000000100660,B,0000000073
100,003,0000000174,0004,000000000000100246,C,0000000074
100,001,0000000175,0005,000000000000100030,A,0000000075
100,002,0000000176,0001,000000000000100728,B,0000000076
100,003,0000000177,0002,000000000000100092,C,0000000077
100,001,0000000178,0003,000000000000100654,A,0000000078
100,002,0000000179,0004,000000000000100184,B,0000000079
100,003,0000000180,0005,000000000000100335,C,0000000080
100,001,0000000181,0001,000000000000100594,A,0000000081
100,002,0000000182,0002,000000000000100734,B,0000000082
100,003,0000000183,0003,000000000000100386,C,0000000083
100,001,0000000184,0004,000000000000100159,A,0000000084
100,002,0000000185,0005,000000000000100406,B,0000000085
100,003,0000000186,0001,000000000000100720,C,0000000086
100,001,0000000187,0002,000000000000100021,A,0000000087
100,002,0000000188,0003,000000000000100482,B,0000000088
100,003,0000000189,0004,000000000000100402,C,0000000089
100,001,0000000190,0005,000000000000100316,A,0000000090
100,002,0000000191,0001,000000000000100854,B,0000000091
100,003,0000000192,0002,000000000000100588,C,0000000092
100,001,0000000193,0003,000000000000100606,A,0000000093
100,002,0000000194,0004,000000000000100934,B,0000000094
100,003,0000000195,0005,000000000000100471,C,0000000095
100,001,0000000196,0001,000000000000100342,A,0000000096
100,002,0000000197,0002,000000000000100749,B,0000000097
100,003,0000000198,0003,000000000000100683,C,0000000098
100,001,0000000199,0004,000000000000100512,A,0000000099
100,002,0000000200,0005,000000000000100077,B,0000000100
100,003,0000000201,0001,000000000000100105,C,0000000001
100,001,0000000202,0002,000000000000100086,A,0000000002
100,002,0000000203,0003,000000000000100632,B,0000000003
100,003,0000000204,0004,000000000000100989,C,0000000004
100,001,0000000205,0005,000000000000100754,A,0000000005
100,002,0000000206,0001,000000000000100860,B,0000000006
100,003,0000000207,0002,000000000000100012,C,0000000007
100,001,0000000208,0003,000000000000100599,A,0000000008
100,002,0000000209,0004,000000000000100882,B,0000000009
100,003,0000000210,0005,000000000000100131,C,0000000010
100,001,0000000211,0001,000000000000100968,A,0000000011
100,002,0000000212,0002,000000000000100648,B,0000000012
100,003,0000000213,0003,000000000000100602,C,0000000013
100,001,0000000214,0004,000000000000100805,A,0000000014
100,002,0000000215,0005,000000000000100349,B,0000000015
100,003,0000000216,0001,000000000000100857,C,0000000016
100,001,0000000217,0002,000000000000100066,A,0000000017
100,002,0000000218,0003,000000000000100871,B,0000000018
100,003,0000000219,0004,000000000000100455,C,0000000019
100,001,0000000220,0005,000000000000100372,A,0000000020
100,002,0000000221,0001,000000000000100283,B,0000000021
100,003,0000000222,0002,000000000000100391,C,0000000022
100,001,0000000223,0003,000000000000100860,A,0000000023
100,002,0000000224,0004,000000000000100353,B,0000000024
100,003,0000000225,0005,000000000000100869,C,0000000025
100,001,0000000226,0001,000000000000100635,A,0000000026
100,002,0000000227,0002,000000000000100334,B,0000000027
100,003,0000000228,0003,000000000000100833,C,0000000028
100,001,0000000229,0004,000000000000100208,A,0000000029
100,002,0000000230,0005,000000000000100708,B,0000000030
100,003,0000000231,0001,000000000000100051,C,0000000031
100,001,0000000232,0002,000000000000100884,A,0000000032
100,002,0000000233,0003,000000000000100888,B,0000000033
100,003,0000000234,0004,000000000000100449,C,0000000034
100,001,0000000235,0005,000000000000100122,A,0000000035
100,002,0000000236,0001,000000000000100341,B,0000000036
100,003,0000000237,0002,000000000000100247,C,0000000037
100,001,0000000238,0003,000000000000100771,A,0000000038
100,002,0000000239,0004,000000000000100078,B,0000000039
100,003,0000000240,0005,000000000000100545,C,0000000040
100,001,0000000241,0001,000000000000100253,A,0000000041
100,002,0000000242,0002,000000000000100226,B,0000000042
100,003,0000000243,0003,000000000000100498,C,0000000043
100,001,0000000244,0004,000000000000100643,A,0000000044
100,002,0000000245,0005,000000000000100658,B,0000000045
100,003,0000000246,0001,000000000000100735,C,0000000046
100,001,0000000247,0002,000000000000100832,A,0000000047
100,002,0000000248,0003,000000000000100741,B,0000000048
100,003,0000000249,0004,000000000000100958,C,0000000049
100,001,0000000250,0005,000000000000100631,A,0000000050
100,002,0000000251,0001,000000000000100772,B,0000000051
100,003,0000000252,0002,000000000000100911,C,0000000052
100,001,0000000253,0003,000000000000100680,A,0000000053
100,002,0000000254,0004,000000000000100406,B,0000000054
100,003,0000000255,0005,000000000000100374,C,0000000055
100,001,0000000256,0001,000000000000100052,A,0000000056
100,002,0000000257,0002,000000000000100849,B,0000000057
100,003,0000000258,0003,000000000000100148,C,0000000058
100,001,0000000259,0004,000000000000100822,A,0000000059
100,002,0000000260,0005,000000000000100559,B,0000000060
100,003,0000000261,0001,000000000000100872,C,0000000061
100,001,0000000262,0002,000000000000100997,A,0000000062
100,002,0000000263,0003,000000000000100858,B,0000000063
100,003,0000000264,0004,000000000000100182,C,0000000064
100,001,0000000265,0005,000000000000100320,A,0000000065
100,002,0000000266,0001,000000000000100913,B,0000000066
100,003,0000000267,0002,000000000000100417,C,0000000067
100,001,0000000268,0003,000000000000100884,A,0000000068
100,002,0000000269,0004,000000000000100029,B,0000000069
100,003,0000000270,0005,000000000000100317,C,0000000070
100,001,0000000271,0001,000000000000100881,A,0000000071
100,002,0000000272,0002,000000000000100965,B,0000000072
100,003,0000000273,0003,000000000000100017,C,0000000073
100,001,0000000274,0004,000000000000100483,A,0000000074
100,002,0000000275,0005,000000000000100622,B,0000000075
100,003,0000000276,0001,000000000000100600,C,0000000076
100,001,0000000277,0002,000000000000100280,A,0000000077
100,002,0000000278,0003,000000000000100032,B,0000000078
100,003,0000000279,0004,000000000000100074,C,0000000079
100,001,0000000280,0005,000000000000100616,A,0000000080
100,002,0000000281,0001,000000000000100922,B,0000000081
100,003,0000000282,0002,000000000000100080,C,0000000082
100,001,0000000283,0003,000000000000100832,A,0000000083
100,002,0000000284,0004,000000000000100993,B,0000000084
100,003,0000000285,0005,000000000000100595,C,0000000085
100,001,0000000286,0001,000000000000100366,A,0000000086
100,002,0000000287,0002,000000000000100683,B,0000000087
100,003,0000000288,0003,000000000000100862,C,0000000088
100,001,0000000289,0004,000000000000100684,A,0000000089
100,002,0000000290,0005,000000000000100131,B,0000000090
100,003,0000000291,0001,000000000000100148,C,0000000091
100,001,0000000292,0002,000000000000100918,A,0000000092
100,002,0000000293,0003,000000000000100208,B,0000000093
100,003,0000000294,0004,000000000000100888,C,0000000094
100,001,0000000295,0005,000000000000100762,A,0000000095
100,002,0000000296,0001,000000000000100812,B,0000000096
100,003,0000000297,0002,000000000000100628,C,0000000097
100,001,0000000298,0003,000000000000100875,A,0000000098
100,002,0000000299,0004,000000000000100512,B,0000000099
100,003,0000000300,0005,000000000000100210,C,0000000100
100,001,0000000301,0001,000000000000100947,A,0000000001
100,002,0000000302,0002,000000000000100704,B,0000000002
100,003,0000000303,0003,000000000000100320,C,0000000003
100,001,0000000304,0004,000000000000100827,A,0000000004
100,002,0000000305,0005,000000000000100585,B,0000000005
100,003,0000000306,0001,000000000000100632,C,0000000006
100,001,0000000307,0002,000000000000100764,A,0000000007
100,002,0000000308,0003,000000000000100922,B,0000000008
100,003,0000000309,0004,000000000000100538,C,0000000009
100,001,0000000310,0005,000000000000100303,A,0000000010
100,002,0000000311,0001,000000000000100156,B,0000000011
100,003,0000000312,0002,000000000000100249,C,0000000012
100,001,0000000313,0003,000000000000100011,A,0000000013
100,002,0000000314,0004,000000000000100458,B,0000000014
100,003,0000000315,0005,000000000000100943,C,0000000015
100,001,0000000316,0001,000000000000100587,A,0000000016
100,002,0000000317,0002,000000000000100510,B,0000000017
100,003,0000000318,0003,000000000000100294,C,0000000018
100,001,0000000319,0004,000000000000100421,A,0000000019
100,002,0000000320,0005,000000000000100214,B,0000000020
100,003,0000000321,0001,000000000000100966,C,0000000021
100,001,0000000322,0002,000000000000100752,A,0000000022
100,002,0000000323,0003,000000000000100100,B,0000000023
100,003,0000000324,0004,000000000000100698,C,0000000024
100,001,0000000325,0005,000000000000100944,A,0000000025
100,002,0000000326,0001,000000000000100952,B,0000000026
100,003,0000000327,0002,000000000000100436,C,0000000027
100,001,0000000328,0003,000000000000100788,A,0000000028
100,002,0000000329,0004,000000000000100652,B,0000000029
100,003,0000000330,0005,000000000000100626,C,0000000030
100,001,0000000331,0001,000000000000100798,A,0000000031
100,002,0000000332,0002,000000000000100518,B,0000000032
100,003,0000000333,0003,000000000000100240,C,0000000033
100,001,0000000334,0004,000000000000100690,A,0000000034
100,002,0000000335,0005,000000000000100896,B,0000000035
100,003,0000000336,0001,000000000000100981,C,0000000036
100,001,0000000337,0002,000000000000100237,A,0000000037
100,002,0000000338,0003,000000000000100283,B,0000000038
100,003,0000000339,0004,000000000000100177,C,0000000039
100,001,0000000340,0005,000000000000100033,A,0000000040
100,002,0000000341,0001,000000000000100116,B,0000000041
100,003,0000000342,0002,000000000000100240,C,0000000042
100,001,0000000343,0003,000000000000100261,A,0000000043
100,002,0000000344,0004,000000000000100369,B,0000000044
100,003,0000000345,0005,000000000000100843,C,0000000045
100,001,0000000346,0001,000000000000100645,A,0000000046
100,002,0000000347,0002,000000000000100236,B,0000000047
100,003,0000000348,0003,000000000000100629,C,0000000048
100,001,0000000349,0004,000000000000100361,A,0000000049
100,002,0000000350,0005,000000000000100704,B,0000000050
100,003,0000000351,0001,000000000000100877,C,0000000051
100,001,0000000352,0002,000000000000100365,A,0000000052
100,002,0000000353,0003,000000000000100201,B,0000000053
100,003,0000000354,0004,000000000000100094,C,0000000054
100,001,0000000355,0005,000000000000100729,A,0000000055
100,002,0000000356,0001,000000000000100410,B,0000000056
100,003,0000000357,0002,000000000000100735,C,0000000057
100,001,0000000358,0003,000000000000100866,A,0000000058
100,002,0000000359,0004,000000000000100393,B,0000000059
100,003,0000000360,0005,000000000000100174,C,0000000060
100,001,0000000361,0001,000000000000100203,A,0000000061
100,002,0000000362,0002,000000000000100490,B,0000000062
100,003,0000000363,0003,000000000000100704,C,0000000063
100,001,0000000364,0004,000000000000100368,A,0000000064
100,002,0000000365,0005,000000000000100036,B,0000000065
100,003,0000000366,0001,000000000000100228,C,0000000066
100,001,0000000367,0002,000000000000100665,A,0000000067
100,002,0000000368,0003,000000000000100007,B,0000000068
100,003,0000000369,0004,000000000000100411,C,0000000069
100,001,0000000370,0005,000000000000100018,A,0000000070
100,002,0000000371,0001,000000000000100228,B,0000000071
100,003,0000000372,0002,000000000000100103,C,0000000072
100,001,0000000373,0003,000000000000100400,A,0000000073
100,002,0000000374,0004,000000000000100360,B,0000000074
100,003,0000000375,0005,000000000000100522,C,0000000075
100,001,0000000376,0001,000000000000100023,A,0000000076
100,002,0000000377,0002,000000000000100687,B,0000000077
100,003,0000000378,0003,000000000000100037,C,0000000078
100,001,0000000379,0004,000000000000100776,A,0000000079
100,002,0000000380,0005,000000000000100794,B,0000000080
100,003,0000000381,0001,000000000000100455,C,0000000081
100,001,0000000382,0002,000000000000100357,A,0000000082
100,002,0000000383,0003,000000000000100381,B,0000000083
100,003,0000000384,0004,000000000000100461,C,0000000084
100,001,0000000385,0005,000000000000100833,A,0000000085
100,002,0000000386,0001,000000000000100023,B,0000000086
100,003,0000000387,0002,000000000000100230,C,0000000087
100,001,0000000388,0003,000000000000100321,A,0000000088
100,002,0000000389,0004,000000000000100315,B,0000000089
100,003,0000000390,0005,000000000000100986,C,0000000090
100,001,0000000391,0001,000000000000100067,A,0000000091
100,002,0000000392,0002,000000000000100270,B,0000000092
100,003,0000000393,0003,000000000000100835,C,0000000093
100,001,0000000394,0004,000000000000100156,A,0000000094
100,002,0000000395,0005,000000000000100527,B,0000000095
100,003,0000000396,0001,000000000000100613,C,0000000096
100,001,0000000397,0002,000000000000100366,A,0000000097
100,002,0000000398,0003,000000000000100231,B,0000000098
100,003,0000000399,0004,000000000000100402,C,0000000099
100,001,0000000400,0005,000000000000100662,A,0000000100
100,002,0000000401,0001,000000000000100575,B,0000000001
100,003,0000000402,0002,000000000000100842,C,0000000002
100,001,0000000403,0003,000000000000100979,A,0000000003
100,002,0000000404,0004,000000000000100053,B,0000000004
100,003,0000000405,0005,000000000000100209,C,0000000005
100,001,0000000406,0001,000000000000100053,A,0000000006
100,002,0000000407,0002,000000000000100314,B,0000000007
100,003,0000000408,0003,000000000000100746,C,0000000008
100,001,0000000409,0004,000000000000100008,A,0000000009
100,002,0000000410,0005,000000000000100625,B,0000000010
100,003,0000000411,0001,000000000000100910,C,0000000011
100,001,0000000412,0002,000000000000100577,A,0000000012
100,002,0000000413,0003,000000000000100759,B,0000000013
100,003,0000000414,0004,000000000000100294,C,0000000014
100,001,0000000415,0005,000000000000100865,A,0000000015
100,002,0000000416,0001,000000000000100599,B,0000000016
100,003,0000000417,0002,000000000000100291,C,0000000017
100,001,0000000418,0003,000000000000100957,A,0000000018
100,002,0000000419,0004,000000000000100703,B,0000000019
100,003,0000000420,0005,000000000000100288,C,0000000020
100,001,0000000421,0001,000000000000100250,A,0000000021
100,002,0000000422,0002,000000000000100876,B,0000000022
100,003,0000000423,0003,000000000000100229,C,0000000023
100,001,0000000424,0004,000000000000100552,A,0000000024
100,002,0000000425,0005,000000000000100965,B,0000000025
100,003,0000000426,0001,000000000000100318,C,0000000026
100,001,0000000427,0002,000000000000100920,A,0000000027
100,002,0000000428,0003,000000000000100719,B,0000000028
100,003,0000000429,0004,000000000000100674,C,0000000029
100,001,0000000430,0005,000000000000100683,A,0000000030
100,002,0000000431,0001,000000000000100883,B,0000000031
100,003,0000000432,0002,000000000000100484,C,0000000032
100,001,0000000433,0003,000000000000100590,A,0000000033
100,002,0000000434,0004,000000000000100194,B,0000000034
100,003,0000000435,0005,000000000000100760,C,0000000035
100,001,0000000436,0001,000000000000100751,A,0000000036
100,002,0000000437,0002,000000000000100574,B,0000000037
100,003,0000000438,0003,000000000000100049,C,0000000038
100,001,0000000439,0004,000000000000100491,A,0000000039
100,002,0000000440,0005,000000000000100254,B,0000000040
100,003,0000000441,0001,000000000000100279,C,0000000041
100,001,0000000442,0002,000000000000100282,A,0000000042
100,002,0000000443,0003,000000000000100346,B,0000000043
100,003,0000000444,0004,000000000000100392,C,0000000044
100,001,0000000445,0005,000000000000100812,A,0000000045
100,002,0000000446,0001,000000000000100298,B,0000000046
100,003,0000000447,0002,000000000000100965,C,0000000047
100,001,0000000448,0003,000000000000100557,A,0000000048
100,002,0000000449,0004,000000000000100206,B,0000000049
100,003,0000000450,0005,000000000000100801,C,0000000050
100,001,0000000451,0001,000000000000100013,A,0000000051
100,002,0000000452,0002,000000000000100821,B,0000000052
100,003,0000000453,0003,000000000000100852,C,0000000053
100,001,0000000454,0004,000000000000100548,A,0000000054
100,002,0000000455,0005,000000000000100352,B,0000000055
100,003,0000000456,0001,000000000000100591,C,0000000056
100,001,0000000457,0002,000000000000100876,A,0000000057
100,002,0000000458,0003,000000000000100655,B,0000000058
100,003,0000000459,0004,000000000000100290,C,0000000059
100,001,0000000460,0005,000000000000100125,A,0000000060
100,002,0000000461,0001,000000000000100091,B,0000000061
100,003,0000000462,0002,000000000000100417,C,0000000062
100,001,0000000463,0003,000000000000100803,A,0000000063
100,002,0000000464,0004,000000000000100963,B,0000000064
100,003,0000000465,0005,000000000000100542,C,0000000065
100,001,0000000466,0001,000000000000100340,A,0000000066
100,002,0000000467,0002,000000000000100057,B,0000000067
100,003,0000000468,0003,000000000000100121,C,0000000068
100,001,0000000469,0004,000000000000100507,A,0000000069
100,002,0000000470,0005,000000000000100289,B,0000000070
100,003,0000000471,0001,000000000000100728,C,0000000071
100,001,0000000472,0002,000000000000100980,A,0000000072
100,002,0000000473,0003,000000000000100031,B,0000000073
100,003,0000000474,0004,000000000000100608,C,0000000074
100,001,0000000475,0005,000000000000100330,A,0000000075
100,002,0000000476,0001,000000000000100488,B,0000000076
100,003,0000000477,0002,000000000000100527,C,0000000077
100,001,0000000478,0003,000000000000100411,A,0000000078
100,002,0000000479,0004,000000000000100093,B,0000000079
100,003,0000000480,0005,000000000000100644,C,0000000080
100,001,0000000481,0001,000000000000100527,A,0000000081
100,002,0000000482,0002,000000000000100447,B,0000000082
100,003,0000000483,0003,000000000000100223,C,0000000083
100,001,0000000484,0004,000000000000100575,A,0000000084
100,002,0000000485,0005,000000000000100421,B,0000000085
100,003,0000000486,0001,000000000000100304,C,0000000086
100,001,0000000487,0002,000000000000100685,A,0000000087
100,002,0000000488,0003,000000000000100516,B,0000000088
100,003,0000000489,0004,000000000000100219,C,0000000089
100,001,0000000490,0005,000000000000100411,A,0000000090
100,002,0000000491,0001,000000000000100717,B,0000000091
100,003,0000000492,0002,000000000000100993,C,0000000092
100,001,0000000493,0003,000000000000100720,A,0000000093
100,002,0000000494,0004,000000000000100161,B,0000000094
100,003,0000000495,0005,000000000000100164,C,0000000095
100,001,0000000496,0001,000000000000100526,A,0000000096
100,002,0000000497,0002,000000000000100597,B,0000000097
100,003,0000000498,0003,000000000000100002,C,0000000098
100,001,0000000499,0004,000000000000100227,A,0000000099
100,002,0000000500,0005,000000000000100295,B,0000000100
