MANDT,INFNR,MATNR,LIFNR,LOEKZ
100,0000000132,000000000000100629,0000000050,
100,0000000133,000000000000100622,0000000183,
100,0000000134,000000000000100779,0000000167,
100,0000000135,000000000000100707,0000000200,
100,0000000136,000000000000100796,0000000163,
100,0000000137,000000000000100601,0000000107,
100,0000000138,000000000000100639,0000000135,
100,0000000139,000000000000100762,0000000133,
100,0000000140,000000000000100522,0000000110,
100,0000000141,000000000000100514,0000000052,
100,0000000142,000000000000100691,0000000038,
100,0000000143,000000000000100788,0000000081,
100,0000000144,000000000000100693,0000000044,
100,0000000145,000000000000100527,0000000188,
100,0000000146,000000000000100570,0000000179,
100,0000000147,000000000000100702,0000000057,
100,0000000148,000000000000100542,0000000115,
100,0000000149,000000000000100676,0000000172,
100,0000000150,000000000000100684,0000000097,
100,0000000151,000000000000100542,0000000173,
100,0000000152,000000000000100609,0000000063,
100,0000000153,000000000000100754,0000000150,
100,0000000154,000000000000100695,0000000153,
100,0000000155,000000000000100666,0000000044,
100,0000000156,000000000000100634,0000000112,
100,0000000157,000000000000100742,0000000044,
100,0000000158,000000000000100727,0000000197,
100,0000000159,000000000000100743,0000000086,
100,0000000160,000000000000100718,0000000111,
100,0000000161,000000000000100599,0000000069,
100,0000000162,000000000000100684,0000000099,
100,0000000163,000000000000100569,0000000115,
100,0000000164,000000000000100697,0000000031,
100,0000000165,000000000000100718,0000000105,
100,0000000166,000000000000100604,0000000135,
100,0000000167,000000000000100616,0000000006,
100,0000000168,000000000000100706,0000000034,
100,0000000169,000000000000100517,0000000022,
100,0000000170,000000000000100672,0000000148,
100,0000000171,000000000000100545,0000000077,
100,0000000172,000000000000100605,0000000051,
100,0000000173,000000000000100674,0000000053,
100,0000000174,000000000000100707,0000000031,
100,0000000175,000000000000100713,0000000016,
100,0000000176,000000000000100524,0000000182,
100,0000000177,000000000000100757,0000000063,
100,0000000178,000000000000100568,0000000014,
100,0000000179,000000000000100655,0000000027,
100,0000000180,000000000000100787,0000000032,
100,0000000181,000000000000100707,0000000115,
100,0000000182,000000000000100544,0000000198,
100,0000000183,000000000000100706,0000000092,
100,0000000184,000000000000100628,0000000062,
100,0000000185,000000000000100524,0000000012,
100,0000000186,000000000000100557,0000000102,
100,0000000187,000000000000100762,0000000192,
100,0000000188,000000000000100537,0000000128,
100,0000000189,000000000000100690,0000000154,
100,0000000190,000000000000100651,0000000138,
100,0000000191,000000000000100525,0000000184,
100,0000000192,000000000000100587,0000000180,
100,0000000193,000000000000100718,0000000134,
100,0000000194,000000000000100573,0000000067,
100,0000000195,000000000000100705,0000000145,
100,0000000196,000000000000100524,0000000077,
100,0000000197,000000000000100778,0000000107,
100,0000000198,000000000000100779,0000000052,
100,0000000199,000000000000100773,0000000134,
100,0000000200,000000000000100506,0000000041,
100,0000000201,000000000000100732,0000000158,
100,0000000202,000000000000100571,0000000097,
100,0000000203,000000000000100505,0000000037,
100,0000000204,000000000000100700,0000000144,
100,0000000205,000000000000100610,0000000122,
100,0000000206,000000000000100639,0000000095,
100,0000000207,000000000000100631,0000000016,
100,0000000208,000000000000100628,0000000067,
100,0000000209,000000000000100715,0000000071,
100,0000000210,000000000000100599,0000000152,
100,0000000211,000000000000100562,0000000032,
100,0000000212,000000000000100574,0000000122,
100,0000000213,000000000000100727,0000000071,
100,0000000214,000000000000100544,0000000117,
100,0000000215,000000000000100540,0000000037,
100,0000000216,000000000000100705,0000000167,
100,0000000217,000000000000100569,0000000057,
100,0000000218,000000000000100571,0000000083,
100,0000000219,000000000000100644,0000000088,
100,0000000220,000000000000100726,0000000073,
100,0000000221,000000000000100784,0000000009,
100,0000000222,000000000000100701,0000000056,
100,0000000223,000000000000100795,0000000098,
100,0000000224,000000000000100577,0000000193,
100,0000000225,000000000000100713,0000000039,
100,0000000226,000000000000100763,0000000138,
100,0000000227,000000000000100680,0000000019,
100,0000000228,000000000000100724,0000000099,
100,0000000229,000000000000100558,0000000140,
100,0000000230,000000000000100587,0000000132,
100,0000000231,000000000000100501,0000000129,
100,0000000232,000000000000100527,0000000156,
100,0000000233,000000000000100728,0000000156,
100,0000000234,000000000000100710,0000000104,
100,0000000235,000000000000100770,0000000032,
100,0000000236,000000000000100640,0000000070,
100,0000000237,000000000000100760,0000000114,
100,0000000238,000000000000100592,0000000060,
100,0000000239,000000000000100621,0000000089,
100,0000000240,000000000000100664,0000000007,
100,0000000241,000000000000100692,0000000184,
100,0000000242,000000000000100536,0000000176,
100,0000000243,000000000000100756,0000000196,
100,0000000244,000000000000100630,0000000103,
100,0000000245,000000000000100613,0000000042,
100,0000000246,000000000000100596,0000000051,
100,0000000247,000000000000100726,0000000024,
100,0000000248,000000000000100567,0000000181,
100,0000000249,000000000000100691,0000000050,
100,0000000250,000000000000100771,0000000143,
100,0000000251,000000000000100638,0000000001,
100,0000000252,000000000000100518,0000000192,
100,0000000253,000000000000100570,0000000073,
100,0000000254,000000000000100576,0000000153,
100,0000000255,000000000000100604,0000000179,
100,0000000256,000000000000100539,0000000153,
100,0000000257,000000000000100536,0000000107,
100,0000000258,000000000000100612,0000000150,
100,0000000259,000000000000100568,0000000002,
100,0000000260,000000000000100674,0000000046,
100,0000000261,000000000000100686,0000000145,
100,0000000262,000000000000100617,0000000137,
100,0000000263,000000000000100770,0000000142,
100,0000000264,000000000000100557,0000000078,
100,0000000265,000000000000100728,0000000137,
100,0000000266,000000000000100501,0000000054,
100,0000000267,000000000000100509,0000000017,
100,0000000268,000000000000100557,0000000200,
100,0000000269,000000000000100650,0000000181,
100,0000000270,000000000000100759,0000000147,
100,0000000271,000000000000100626,0000000197,
100,0000000272,000000000000100680,0000000193,
100,0000000273,000000000000100642,0000000146,
100,0000000274,000000000000100551,0000000179,
100,0000000275,000000000000100762,0000000183,
100,0000000276,000000000000100621,0000000188,
100,0000000277,000000000000100647,0000000071,
100,0000000278,000000000000100628,0000000183,
100,0000000279,000000000000100552,0000000101,
100,0000000280,000000000000100707,0000000107,
100,0000000281,000000000000100553,0000000165,
100,0000000282,000000000000100685,0000000099,
100,0000000283,000000000000100696,0000000092,
100,0000000284,000000000000100605,0000000061,
100,0000000285,000000000000100678,0000000156,
100,0000000286,000000000000100527,0000000112,
100,0000000287,000000000000100696,0000000092,
100,0000000288,000000000000100746,0000000078,
100,0000000289,000000000000100635,0000000137,
100,0000000290,000000000000100777,0000000155,
100,0000000291,000000000000100614,0000000122,
100,0000000292,000000000000100766,0000000056,
100,0000000293,000000000000100686,0000000116,
100,0000000294,000000000000100695,0000000043,
100,0000000295,000000000000100769,0000000102,
100,0000000296,000000000000100761,0000000008,
100,0000000297,000000000000100545,0000000041,
100,0000000298,000000000000100633,0000000117,
100,0000000299,000000000000100764,0000000178,
100,0000000300,000000000000100657,0000000194,
